,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
10,uri,http://www.wikidata.org/entity/Q113814967,en,literal,Octopus,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
11,uri,http://www.wikidata.org/entity/Q26567998,en,literal,The Black Horse Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
12,uri,http://www.wikidata.org/entity/Q7557166,en,literal,Sold-Out Software,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
13,uri,http://www.wikidata.org/entity/Q26625265,en,literal,The Kings Arms,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
14,uri,http://www.wikidata.org/entity/Q80859652,en,literal,The Wern Fawr Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
15,uri,http://www.wikidata.org/entity/Q80856175,en,literal,Wheatsheaf,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
16,uri,http://www.wikidata.org/entity/Q80859329,en,literal,Lamb & Flag Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
17,uri,http://www.wikidata.org/entity/Q99592370,en,literal,King William,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
18,uri,http://www.wikidata.org/entity/Q80855144,en,literal,McLean's,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
19,uri,http://www.wikidata.org/entity/Q26634008,en,literal,The Fox Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
20,uri,http://www.wikidata.org/entity/Q26474603,en,literal,Ivy House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
21,uri,http://www.wikidata.org/entity/Q61915938,en,literal,Rosebud Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
22,uri,http://www.wikidata.org/entity/Q80476954,en,literal,Waterloo Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
23,uri,http://www.wikidata.org/entity/Q17534109,en,literal,The Royal Seven Stars Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
24,uri,http://www.wikidata.org/entity/Q20872953,en,literal,DoubleTree by Hilton Hotel Southampton,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,DoubleTree by Hilton Hotel Southampton,,,,,,,,,,,,,wd:Q145
25,uri,http://www.wikidata.org/entity/Q99592713,en,literal,The Red Admiral,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
26,uri,http://www.wikidata.org/entity/Q26622954,en,literal,Bell And Jorrocks Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
27,uri,http://www.wikidata.org/entity/Q79684439,en,literal,Portsmouth Arms,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
28,uri,http://www.wikidata.org/entity/Q3277439,en,literal,Co-op Food,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q18125,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1844-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
29,uri,http://www.wikidata.org/entity/Q26498787,en,literal,Turks Head Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
30,uri,http://www.wikidata.org/entity/Q13129402,en,literal,The Corner House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
31,uri,http://www.wikidata.org/entity/Q26489797,en,literal,The Old Well House Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
32,uri,http://www.wikidata.org/entity/Q26282380,en,literal,"Kings Head Inn, Woodbridge",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
33,uri,http://www.wikidata.org/entity/Q80584766,en,literal,Creigiau Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
34,uri,http://www.wikidata.org/entity/Q26470653,en,literal,The Black Horse Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
35,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,,,,,,,,,,,,,,,,wd:Q145
36,uri,http://www.wikidata.org/entity/Q44941890,en,literal,Fragrance Direct,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q131746,literal,,literal,,literal,http://www.wikidata.org/entity/Q868637,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-10-27T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
37,uri,http://www.wikidata.org/entity/Q546976,en,literal,University of Surrey,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2338,,,,,,,,,,,,,,,,wd:Q145
38,uri,http://www.wikidata.org/entity/Q80582971,en,literal,Ruperra Arms,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
39,uri,http://www.wikidata.org/entity/Q108280947,en,literal,Sternberg Press,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
40,uri,http://www.wikidata.org/entity/Q26300900,en,literal,The Spread Eagle Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
41,uri,http://www.wikidata.org/entity/Q26585569,en,literal,Owl and Hitchhiker Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
42,uri,http://www.wikidata.org/entity/Q80856060,en,literal,Red Lion,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
43,uri,http://www.wikidata.org/entity/Q29489822,en,literal,The Old House Inn PH,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
44,uri,http://www.wikidata.org/entity/Q80584686,en,literal,"The Royal George, Roath",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
45,uri,http://www.wikidata.org/entity/Q26490649,en,literal,Thomas Paine Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
46,uri,http://www.wikidata.org/entity/Q7810460,en,literal,Tivyside Advertiser,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
47,uri,http://www.wikidata.org/entity/Q1420500,en,literal,Swansea University,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,3045,,,,,,,,,,,,,,,,wd:Q145
48,uri,http://www.wikidata.org/entity/Q26644210,en,literal,The Coach And Horses Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
49,uri,http://www.wikidata.org/entity/Q80585087,en,literal,Tafarn Twrch,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
50,uri,http://www.wikidata.org/entity/Q80476938,en,literal,The Monkton Court Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
51,uri,http://www.wikidata.org/entity/Q26623392,en,literal,The Malthouse Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
52,uri,http://www.wikidata.org/entity/Q79684397,en,literal,Jolie Brise (JD Wetherspoon),uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
53,uri,http://www.wikidata.org/entity/Q26316777,en,literal,The George Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
54,uri,http://www.wikidata.org/entity/Q80855631,en,literal,The Cross Foxes,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
55,uri,http://www.wikidata.org/entity/Q51824364,en,literal,Hilton London Kensington,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,en,literal,Hilton London Kensington,,,,,,,,,,,,,wd:Q145
56,uri,http://www.wikidata.org/entity/Q26674732,en,literal,The Full Moon,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
57,uri,http://www.wikidata.org/entity/Q26527305,en,literal,The Old Ship Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
58,uri,http://www.wikidata.org/entity/Q7679879,en,literal,Talkmobile,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q655874,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
59,uri,http://www.wikidata.org/entity/Q17836275,en,literal,Weem Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
60,uri,http://www.wikidata.org/entity/Q26549666,en,literal,Old Castle Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
61,uri,http://www.wikidata.org/entity/Q99591912,en,literal,The Old Colonial Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
62,uri,http://www.wikidata.org/entity/Q80855434,en,literal,The Miners Arms,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
63,uri,http://www.wikidata.org/entity/Q80584626,en,literal,"The Blackweir Tavern, Maindy",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
64,uri,http://www.wikidata.org/entity/Q59770929,en,literal,HiTech2050 Center of Media & Information Technology LTD,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
65,uri,http://www.wikidata.org/entity/Q80584158,en,literal,Prince Llewelyn Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
66,uri,http://www.wikidata.org/entity/Q80582776,en,literal,The Piercefield,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
67,uri,http://www.wikidata.org/entity/Q8766,en,literal,British Airways,uri,http://www.wikidata.org/entity/Q145,literal,,literal,http://www.wikidata.org/entity/Q22003790,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1952000000,,,,,,,,,,wd:Q145
68,uri,http://www.wikidata.org/entity/Q80585462,en,literal,Gowerton Harvester,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
69,uri,http://www.wikidata.org/entity/Q80582488,en,literal,Dolau Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
70,uri,http://www.wikidata.org/entity/Q80585356,en,literal,"The Fountain Inn, Morriston",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
71,uri,http://www.wikidata.org/entity/Q61875589,en,literal,Roxy Ball Room,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
72,uri,http://www.wikidata.org/entity/Q80859231,en,literal,Revolucion de Cuba,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
73,uri,http://www.wikidata.org/entity/Q26673173,en,literal,Crystal Palace Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
74,uri,http://www.wikidata.org/entity/Q17462864,en,literal,Foers,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
75,uri,http://www.wikidata.org/entity/Q80584559,en,literal,"Ty Mawr Arms, Lisvane",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
76,uri,http://www.wikidata.org/entity/Q26297974,en,literal,The Commercial Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
77,uri,http://www.wikidata.org/entity/Q80584107,en,literal,"Quakers Yard Inn, Quakers Yard",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
78,uri,http://www.wikidata.org/entity/Q106675801,en,literal,Pixel Toys,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q546635,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-09-25T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
79,uri,http://www.wikidata.org/entity/Q5416645,en,literal,Glasgow Times,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1876-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
80,uri,http://www.wikidata.org/entity/Q88917067,en,literal,The Central Bar,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
81,uri,http://www.wikidata.org/entity/Q79684774,en,literal,Tides Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
82,uri,http://www.wikidata.org/entity/Q7994069,en,literal,Whistles,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
83,uri,http://www.wikidata.org/entity/Q106313219,en,literal,Subly,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-11-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
84,uri,http://www.wikidata.org/entity/Q7756670,en,literal,The Perch,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
85,uri,http://www.wikidata.org/entity/Q12019314,en,literal,Hawes & Curtis,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q242468,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1913-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
86,uri,http://www.wikidata.org/entity/Q108907377,en,literal,CBeebies,uri,http://www.wikidata.org/entity/Q145,literal,"http://www.wikidata.org/entity/Q1407228, http://www.wikidata.org/entity/Q11425",literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
87,uri,http://www.wikidata.org/entity/Q28406125,en,literal,Horse & Groom,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
88,uri,http://www.wikidata.org/entity/Q26579929,en,literal,The Old Ship Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
89,uri,http://www.wikidata.org/entity/Q80858807,en,literal,The Golden Lion,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
90,uri,http://www.wikidata.org/entity/Q80584507,en,literal,"The Master Gunner, Gabalfa",uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
91,uri,http://www.wikidata.org/entity/Q5315048,en,literal,Dunfermline Press,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1859-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
92,uri,http://www.wikidata.org/entity/Q80856043,en,literal,The Neptune,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
93,uri,http://www.wikidata.org/entity/Q7767101,en,literal,The Student,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16898562,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1887-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q145
94,uri,http://www.wikidata.org/entity/Q26388513,en,literal,Red Lion Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
95,uri,http://www.wikidata.org/entity/Q80584093,en,literal,Paddys Goose Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
96,uri,http://www.wikidata.org/entity/Q80585339,en,literal,Elysium,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
97,uri,http://www.wikidata.org/entity/Q6677525,en,literal,Cadbury,uri,http://www.wikidata.org/entity/Q145,literal,"http://www.wikidata.org/entity/Q107601756, http://www.wikidata.org/entity/Q29585019, http://www.wikidata.org/entity/Q540912",literal,http://www.wikidata.org/entity/Q449120,literal,,literal,http://www.wikidata.org/entity/Q988761,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1824-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,71657,,,,,,,,,,,,,,,,wd:Q145
98,uri,http://www.wikidata.org/entity/Q26396116,en,literal,The Highlander Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
99,uri,http://www.wikidata.org/entity/Q80583686,en,literal,Mackworth Arms,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
100,uri,http://www.wikidata.org/entity/Q26408280,en,literal,Golden Pheasant Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
101,uri,http://www.wikidata.org/entity/Q99593159,en,literal,The Bear Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
102,uri,http://www.wikidata.org/entity/Q99592589,en,literal,The Plough,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
103,uri,http://www.wikidata.org/entity/Q26443692,en,literal,The Lord Nelson Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
104,uri,http://www.wikidata.org/entity/Q80857803,en,literal,The Skerries,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
105,uri,http://www.wikidata.org/entity/Q26306461,en,literal,Lion And Lamb Public House,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
106,uri,http://www.wikidata.org/entity/Q79466044,en,literal,Olde Ship Hotel,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
107,uri,http://www.wikidata.org/entity/Q26504797,en,literal,The Old Dog Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
108,uri,http://www.wikidata.org/entity/Q26286134,en,literal,Castle Inn,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q145
