,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,country
17,uri,http://www.wikidata.org/entity/Q4050564,en,literal,TANESCO,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,,,,wd:Q924
18,uri,http://www.wikidata.org/entity/Q5013848,en,literal,CRDB Bank,uri,http://www.wikidata.org/entity/Q924,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,wd:Q924
19,uri,http://www.wikidata.org/entity/Q55263377,en,literal,Domoboiz Life,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q30, http://www.wikidata.org/entity/Q924, http://www.wikidata.org/entity/Q145",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-02-10T00:00:00Z,,,,wd:Q924
20,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Zipline International,wd:Q924
21,uri,http://www.wikidata.org/entity/Q106580836,en,literal,Vunjabei Group Limited,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q126793,literal,http://www.wikidata.org/entity/Q99769426,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,wd:Q924
22,uri,http://www.wikidata.org/entity/Q7857932,en,literal,Twiga Cement,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,,,,wd:Q924
23,uri,http://www.wikidata.org/entity/Q63208816,en,literal,DoubleTree Resort by Hilton Hotel Zanzibar - Nungwi,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q924
24,uri,http://www.wikidata.org/entity/Q111327287,en,literal,Bongo Times Now,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q11033,literal,http://www.wikidata.org/entity/Q110247071,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-09-23T00:00:00Z,,,,wd:Q924
25,uri,http://www.wikidata.org/entity/Q104775933,en,literal,Jackson Group,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q39809,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-05T00:00:00Z,,,,wd:Q924
26,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Romotive,wd:Q924
27,uri,http://www.wikidata.org/entity/Q106957508,en,literal,Kibo Peak Palace Hotel,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,http://www.wikidata.org/entity/Q458388,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-12-20T00:00:00Z,,,,wd:Q924
28,uri,http://www.wikidata.org/entity/Q6974322,en,literal,NMB Bank Plc,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,wd:Q924
29,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q1037,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Zipline International,wd:Q924
30,uri,http://www.wikidata.org/entity/Q54553825,en,literal,DoubleTree by Hilton Hotel Dar es Salaam - Oyster Bay,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,,literal,,,,,en,literal,DoubleTree by Hilton Hotel Dar es Salaam - Oyster Bay,wd:Q924
31,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q1037,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Romotive,wd:Q924
32,uri,http://www.wikidata.org/entity/Q7939274,en,literal,Vodacom Tanzania,uri,http://www.wikidata.org/entity/Q924,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1960,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,wd:Q924
33,uri,http://www.wikidata.org/entity/Q55263377,en,literal,Domoboiz Life,uri,http://www.wikidata.org/entity/Q924,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q924, http://www.wikidata.org/entity/Q145, http://www.wikidata.org/entity/Q30",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-02-10T00:00:00Z,,,,wd:Q924
34,uri,http://www.wikidata.org/entity/Q30271968,en,literal,Zipline International,uri,http://www.wikidata.org/entity/Q924,literal,http://www.wikidata.org/entity/Q177777,literal,,literal,,literal,http://www.wikidata.org/entity/Q983652,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,en,literal,Zipline International,wd:Q924
