,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,country
25,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,wd:Q258
26,uri,http://www.wikidata.org/entity/Q475700,en,literal,University of the Western Cape,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,af,literal,Universiteit van Wes-Kaapland,wd:Q258
27,uri,http://www.wikidata.org/entity/Q105526277,en,literal,AfriNat Pty (Ltd),,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q1069473,literal,,literal,,literal,http://www.wikidata.org/entity/Q5465,literal,,,,,,,,,,,wd:Q258
28,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,st,literal,Banka ya Sesiu ya Afrika Borwa,wd:Q258
29,uri,http://www.wikidata.org/entity/Q111184141,en,literal,The Bulb World,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q210064, http://www.wikidata.org/entity/Q11650",literal,,literal,,literal,http://www.wikidata.org/entity/Q3919,literal,,,,,,,,,,,wd:Q258
30,uri,http://www.wikidata.org/entity/Q82424010,en,literal,Moneyweb,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
31,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,wd:Q258
32,uri,http://www.wikidata.org/entity/Q7715781,en,literal,The Bassline,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
33,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,wd:Q258
34,uri,http://www.wikidata.org/entity/Q7753492,en,literal,The New Age,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
35,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q189,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,,,,,,,wd:Q258
36,uri,http://www.wikidata.org/entity/Q106689581,en,literal,Skybound Capital,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
37,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,wd:Q258
38,uri,http://www.wikidata.org/entity/Q61757094,en,literal,Studio Cypix,,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1576076,literal,,,,,,,,,,,wd:Q258
39,uri,http://www.wikidata.org/entity/Q2937243,en,literal,Cape Argus,http://www.w3.org/2001/XMLSchema#dateTime,literal,1857-01-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
40,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,,,,,,,wd:Q258
41,uri,http://www.wikidata.org/entity/Q1678733,en,literal,University of the Free State,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2900,,,,en,literal,University of the Free State,wd:Q258
42,uri,http://www.wikidata.org/entity/Q1856518,en,literal,Vodacom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q25245117,literal,http://www.wikidata.org/entity/Q29441787,literal,,literal,http://www.wikidata.org/entity/Q639518,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,7746,,,,en,literal,Vodacom Group Limited,wd:Q258
43,uri,http://www.wikidata.org/entity/Q3642635,en,literal,MultiChoice,,,,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q15078788,literal,,literal,,literal,http://www.wikidata.org/entity/Q5445046,literal,,,,,,,,,,,wd:Q258
44,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,,,,wd:Q258
45,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,ts,literal,Banginkulu ya Afrika-Dzonga,wd:Q258
46,uri,http://www.wikidata.org/entity/Q81336892,en,literal,Lim Studio(Pty)Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q19595701, http://www.wikidata.org/entity/Q746359",literal,,literal,,literal,http://www.wikidata.org/entity/Q3926,literal,,,,,,,,,,,wd:Q258
47,uri,http://www.wikidata.org/entity/Q16824660,en,literal,Aldermore,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q161491,literal,,,,,,,,,,,wd:Q258
48,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,xh,literal,iBhanki enguVimba yoMzantsi Afrika,wd:Q258
49,uri,http://www.wikidata.org/entity/Q21580706,en,literal,Cybatar,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,"http://www.wikidata.org/entity/Q21157865, http://www.wikidata.org/entity/Q862571",literal,http://www.wikidata.org/entity/Q21580140,literal,http://www.wikidata.org/entity/Q21580140,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
50,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1013,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,,,,wd:Q258
51,uri,http://www.wikidata.org/entity/Q5647664,en,literal,Handspring Puppet Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5465,literal,,,,,,,,,,,wd:Q258
52,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,nr,literal,lBulungelo-mali eliKhulu leSewula Afrika,wd:Q258
53,uri,http://www.wikidata.org/entity/Q4671528,en,literal,Academy of Science of South Africa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
54,uri,http://www.wikidata.org/entity/Q1678733,en,literal,University of the Free State,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2900,,,,af,literal,Universiteit van die Vrystaat,wd:Q258
55,uri,http://www.wikidata.org/entity/Q475700,en,literal,University of the Western Cape,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,University of the Western Cape,wd:Q258
56,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q193619,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,zu,literal,iBhange-ngodla laseNingizimu Afrika,wd:Q258
57,uri,http://www.wikidata.org/entity/Q58641733,en,literal,ABSA Group Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
58,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,,,,,,,,,,wd:Q258
59,uri,http://www.wikidata.org/entity/Q1678733,en,literal,University of the Free State,http://www.w3.org/2001/XMLSchema#dateTime,literal,1904-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2900,,,,sw,literal,Yunivesithi ya Freistata,wd:Q258
60,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q193619,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,ve,literal,Bannga ya Vhukati ya Afurika Tshipembe,wd:Q258
61,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,18,,,,,,,wd:Q258
62,uri,http://www.wikidata.org/entity/Q262625,en,literal,The Sowetan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-02-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
63,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,,,,,,,wd:Q258
64,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,18,,,,,,,wd:Q258
65,uri,http://www.wikidata.org/entity/Q912920,en,literal,South African Reserve Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-06-30T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,http://www.wikidata.org/entity/Q19666670,literal,http://www.wikidata.org/entity/Q59159622,literal,,,,,,,,ss,literal,liBhangi lesiLulu leNingizimu Afrika,wd:Q258
66,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q189,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,,,,,,,wd:Q258
67,uri,http://www.wikidata.org/entity/Q1998811,en,literal,North-West University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,af,literal,Noordwes-Universiteit,wd:Q258
68,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,23,,,,,,,wd:Q258
69,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,wd:Q258
70,uri,http://www.wikidata.org/entity/Q7769392,en,literal,The Times,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
71,uri,http://www.wikidata.org/entity/Q1093990,en,literal,City Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
72,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,23,,,,,,,wd:Q258
73,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,wd:Q258
74,uri,http://www.wikidata.org/entity/Q7190735,en,literal,Pick n Pay,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1030,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q5179456,literal,,,,,,,,,,,wd:Q258
75,uri,http://www.wikidata.org/entity/Q5453738,en,literal,First Rand,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
76,uri,http://www.wikidata.org/entity/Q6944793,en,literal,MyBroadband,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
77,uri,http://www.wikidata.org/entity/Q62563622,en,literal,Clicks,,,,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q258
78,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,23,,,,,,,wd:Q258
79,uri,http://www.wikidata.org/entity/Q3056765,en,literal,Steers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34647,literal,,,,,,,,,,,wd:Q258
