,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,country
23,uri,http://www.wikidata.org/entity/Q108897704,en,literal,Findatour.co,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q9323634, http://www.wikidata.org/entity/Q35127",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,fa,literal,فاینداتور,wd:Q794
24,uri,http://www.wikidata.org/entity/Q5941033,en,literal,Shahr Bank,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,wd:Q794
25,uri,http://www.wikidata.org/entity/Q5670370,en,literal,Young Journalists Club,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,wd:Q794
26,uri,http://www.wikidata.org/entity/Q7424291,en,literal,Sarmayeh Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,wd:Q794
27,uri,http://www.wikidata.org/entity/Q985091,en,literal,University of Yazd,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,wd:Q794
28,uri,http://www.wikidata.org/entity/Q7233625,en,literal,Post Bank of Iran,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,wd:Q794
29,uri,http://www.wikidata.org/entity/Q5944445,en,literal,Damdaran Company,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q637776, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,,,,,,,wd:Q794
30,uri,http://www.wikidata.org/entity/Q4117676,en,literal,Saman Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,wd:Q794
31,uri,http://www.wikidata.org/entity/Q82049530,en,literal,Khat Production,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
32,uri,http://www.wikidata.org/entity/Q113674732,en,literal,Fake Slap,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-12-29T00:00:00Z,,,,mul,literal,Fake Slap,wd:Q794
33,uri,http://www.wikidata.org/entity/Q2882608,en,literal,Bank Saderat Iran,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q7451857,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,,,,,,,wd:Q794
34,uri,http://www.wikidata.org/entity/Q1475722,en,literal,Mehr News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,wd:Q794
35,uri,http://www.wikidata.org/entity/Q737835,en,literal,University of Tehran,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1934-01-01T00:00:00Z,,,,fa,literal,دانشگاه تهران,wd:Q794
36,uri,http://www.wikidata.org/entity/Q108905070,en,literal,France Pastry,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
37,uri,http://www.wikidata.org/entity/Q10854129,en,literal,Mashhad University of Medical Sciences,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q121157,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,,,,,,,wd:Q794
38,uri,http://www.wikidata.org/entity/Q7695198,en,literal,Tejarat Bank,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,,,,wd:Q794
39,uri,http://www.wikidata.org/entity/Q5684450,en,literal,Cooperative Development Bank,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
40,uri,http://www.wikidata.org/entity/Q5962362,en,literal,Entekhab,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,,,,,,,wd:Q794
41,uri,http://www.wikidata.org/entity/Q6561387,en,literal,Mobin Net,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-11-01T00:00:00Z,,,,,,,wd:Q794
42,uri,http://www.wikidata.org/entity/Q6067296,en,literal,Iranian Labour News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,wd:Q794
43,uri,http://www.wikidata.org/entity/Q1397143,en,literal,Fars News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,wd:Q794
44,uri,http://www.wikidata.org/entity/Q5938144,en,literal,Ayandeh Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,wd:Q794
45,uri,http://www.wikidata.org/entity/Q111471674,en,literal,TalfigheHonar,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q188606, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q5671371,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-10-28T00:00:00Z,,,,,,,wd:Q794
46,uri,http://www.wikidata.org/entity/Q2410404,en,literal,Parsian Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,wd:Q794
47,uri,http://www.wikidata.org/entity/Q6628966,en,literal,Pars Online,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,wd:Q794
48,uri,http://www.wikidata.org/entity/Q112756217,en,literal,pesaranekarim,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q11707,literal,,literal,,literal,http://www.wikidata.org/entity/Q121157,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-06-17T00:00:00Z,,,,,,,wd:Q794
49,uri,http://www.wikidata.org/entity/Q112664214,en,literal,Company Peyatic,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q156849,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-08-26T00:00:00Z,,,,fa,literal,شرکت پیاتیک,wd:Q794
50,uri,http://www.wikidata.org/entity/Q10860246,en,literal,Sina Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,,,,,,,wd:Q794
51,uri,http://www.wikidata.org/entity/Q98079442,en,literal,Solomon Carpet,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q163446, http://www.wikidata.org/entity/Q28823",literal,,literal,,literal,http://www.wikidata.org/entity/Q42053,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1150,,,,wd:Q794
52,uri,http://www.wikidata.org/entity/Q6972890,en,literal,National Geographic Farsi,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,wd:Q794
53,uri,http://www.wikidata.org/entity/Q65096216,en,literal,hivasanat,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q867147,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,wd:Q794
54,uri,http://www.wikidata.org/entity/Q113459001,en,literal,Bidgol Publishing,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,,,,,,,fa,literal,نشر بيدگل,wd:Q794
55,uri,http://www.wikidata.org/entity/Q5728694,en,literal,Sunich,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q4899370,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,,,,wd:Q794
56,uri,http://www.wikidata.org/entity/Q4855962,en,literal,Bank Pasargad,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,wd:Q794
57,uri,http://www.wikidata.org/entity/Q649695,en,literal,Islamic Republic News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1925-01-01T00:00:00Z,,,,,,,wd:Q794
58,uri,http://www.wikidata.org/entity/Q106787268,en,literal,linkdoni,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q3220391,literal,,literal,,literal,http://www.wikidata.org/entity/Q6397066,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,fa,literal,لینکدونی,wd:Q794
59,uri,http://www.wikidata.org/entity/Q98665376,en,literal,IR-MPORG,uri,http://www.wikidata.org/entity/Q794,literal,,literal,http://www.wikidata.org/entity/Q98668844,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-04-01T00:00:00Z,,,,,,,wd:Q794
60,uri,http://www.wikidata.org/entity/Q6395007,en,literal,Keshavarzi Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,,,,,,,wd:Q794
61,uri,http://www.wikidata.org/entity/Q19744239,en,literal,Hiweb,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,"http://www.wikidata.org/entity/Q3367748, http://www.wikidata.org/entity/Q3616",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,wd:Q794
62,uri,http://www.wikidata.org/entity/Q461631,en,literal,Iran Air,uri,http://www.wikidata.org/entity/Q794,literal,,literal,http://www.wikidata.org/entity/Q106412347,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,,,,,,,wd:Q794
63,uri,http://www.wikidata.org/entity/Q74432832,en,literal,Pouyan Press,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
64,uri,http://www.wikidata.org/entity/Q7462298,en,literal,Shahrvand Chain Stores Inc.,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,,,,wd:Q794
65,uri,http://www.wikidata.org/entity/Q65098829,en,literal,Buran Cryogenic Industries,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,,,,,,,wd:Q794
66,uri,http://www.wikidata.org/entity/Q114822510,en,literal,irmelk_company,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q8148,literal,,literal,,literal,http://www.wikidata.org/entity/Q2629400,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-09-23T00:00:00Z,,,,fa,literal,ایران ملک,wd:Q794
67,uri,http://www.wikidata.org/entity/Q99659287,en,literal,Blue White Coworking,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q97486731,literal,,literal,,literal,http://www.wikidata.org/entity/Q42053,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,wd:Q794
68,uri,http://www.wikidata.org/entity/Q5580952,en,literal,Golrang industrial group,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q3246832,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,,,,wd:Q794
69,uri,http://www.wikidata.org/entity/Q5323768,en,literal,EN Bank,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,,,,,,,wd:Q794
70,uri,http://www.wikidata.org/entity/Q17070845,en,literal,Tasnim News Agency,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q56611639,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,wd:Q794
71,uri,http://www.wikidata.org/entity/Q106344938,en,literal,19kala,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-12-21T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,70,fa,literal,فروشگاه اینترنتی ۱۹کالا,wd:Q794
72,uri,http://www.wikidata.org/entity/Q5862987,en,literal,Mihan Company,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q637776, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,,,,,,,wd:Q794
73,uri,http://www.wikidata.org/entity/Q4855944,en,literal,Bank Mellat,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q2518196, http://www.wikidata.org/entity/Q1548025, http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,,,,,,,wd:Q794
74,uri,http://www.wikidata.org/entity/Q5687097,en,literal,Dadash Baradar Food Company,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q794
75,uri,http://www.wikidata.org/entity/Q4855942,en,literal,Bank Maskan,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,,,,wd:Q794
76,uri,http://www.wikidata.org/entity/Q806640,en,literal,Bank Melli Iran,uri,http://www.wikidata.org/entity/Q794,literal,http://www.wikidata.org/entity/Q837171,literal,http://www.wikidata.org/entity/Q16053240,literal,http://www.wikidata.org/entity/Q28093631,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1928-09-08T00:00:00Z,,,,,,,wd:Q794
77,uri,http://www.wikidata.org/entity/Q6445552,en,literal,Shatel,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,wd:Q794
78,uri,http://www.wikidata.org/entity/Q108897704,en,literal,Findatour.co,uri,http://www.wikidata.org/entity/Q794,literal,"http://www.wikidata.org/entity/Q9323634, http://www.wikidata.org/entity/Q35127",literal,,literal,,literal,http://www.wikidata.org/entity/Q3616,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,en,literal,Findatour.co,wd:Q794
