,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
11,uri,http://www.wikidata.org/entity/Q10895437,en,literal,Hikami parking area,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6157667,,,,,,,,,,,,,,,,,,,,,,wd:Q17
12,uri,http://www.wikidata.org/entity/Q11280272,en,literal,Yagenbori,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11528768,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1625-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
13,uri,http://www.wikidata.org/entity/Q1355621,en,literal,Wako,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q746052,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1881-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
14,uri,http://www.wikidata.org/entity/Q111271835,en,literal,MyDearest,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11508347,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-04-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
15,uri,http://www.wikidata.org/entity/Q11363706,en,literal,CHUO EIGABOEKI,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q746052,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,,,,ja,literal,中央映画貿易株式会社,,,,,,,,,,,,,wd:Q17
16,uri,http://www.wikidata.org/entity/Q11350551,en,literal,Robapan,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q37951,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-04-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
17,uri,http://www.wikidata.org/entity/Q52153468,en,literal,Meiji Onsen,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11446111,,,,,,,,,,,,,,,,,,,,,,wd:Q17
18,uri,http://www.wikidata.org/entity/Q11641509,en,literal,Roadside station Akagi-kogen,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-08-05T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
19,uri,http://www.wikidata.org/entity/Q4346585,en,literal,Tokyo Kagaku Dojin,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
20,uri,http://www.wikidata.org/entity/Q100253376,en,literal,Umekoji Potel Kyoto,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
21,uri,http://www.wikidata.org/entity/Q386773,en,literal,Korg,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q1955150,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-08-28T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,288,,,,,,,,,,,,,,,,wd:Q17
22,uri,http://www.wikidata.org/entity/Q89222522,en,literal,Jūsangatsu no Mushi,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
23,uri,http://www.wikidata.org/entity/Q186394,en,literal,Fujitsu,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q11650, http://www.wikidata.org/entity/Q418",literal,,literal,,literal,http://www.wikidata.org/entity/Q1134566,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-06-20T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,165612,ja,literal,富士通株式会社,http://www.w3.org/2001/XMLSchema#decimal,literal,1001000000,,,,,,,,,,wd:Q17
24,uri,http://www.wikidata.org/entity/Q111866427,en,literal,Matsushima Ichinobo,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
25,uri,http://www.wikidata.org/entity/Q85957868,en,literal,animate GAMES,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
26,uri,http://www.wikidata.org/entity/Q96145071,en,literal,Karayama,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
27,uri,http://www.wikidata.org/entity/Q1833953,en,literal,Kirin Beverage,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-04-15T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
28,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
29,uri,http://www.wikidata.org/entity/Q7818931,en,literal,Tomioka Silk Mill,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q7769551,http://www.w3.org/2001/XMLSchema#dateTime,literal,1872-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
30,uri,http://www.wikidata.org/entity/Q11643458,en,literal,Miyako Hotel Amagasaki,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
31,uri,http://www.wikidata.org/entity/Q1359773,en,literal,Shonan Monorail,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q21653727,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-04-11T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
32,uri,http://www.wikidata.org/entity/Q994356,en,literal,GA Bunko,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
33,uri,http://www.wikidata.org/entity/Q4698962,en,literal,Airport Transport Service,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q212704,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-12-16T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
34,uri,http://www.wikidata.org/entity/Q17224267,en,literal,Yamadaboku Wild Snow Park,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
35,uri,http://www.wikidata.org/entity/Q11231001,en,literal,MAPPA,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-06-14T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,310,,,,,,,,,,,,,,,,wd:Q17
36,uri,http://www.wikidata.org/entity/Q11265749,en,literal,ANA Holiday Inn Resort Shinano-omachi Kuroyon,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-07-02T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
37,uri,http://www.wikidata.org/entity/Q17213507,en,literal,Kiramune,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
38,uri,http://www.wikidata.org/entity/Q11290014,en,literal,Escu:de,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
39,uri,http://www.wikidata.org/entity/Q2633520,en,literal,Hakuhodo,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q39809,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1895-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
40,uri,http://www.wikidata.org/entity/Q5193457,en,literal,Culture Convenience Club,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q1756711,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
41,uri,http://www.wikidata.org/entity/Q17209629,en,literal,Sogo Yokohama,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-09-30T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
42,uri,http://www.wikidata.org/entity/Q11580462,en,literal,Hakuba Goryu Snow Resort,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
43,uri,http://www.wikidata.org/entity/Q8194074,en,literal,Kumagawa Rail Road,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q22667,literal,,literal,,literal,http://www.wikidata.org/entity/Q861292,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-04-26T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
44,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,,,,,,,,,,,,,,,,wd:Q17
45,uri,http://www.wikidata.org/entity/Q11619035,en,literal,Oginoya,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q22131695,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1885-10-15T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
46,uri,http://www.wikidata.org/entity/Q17216658,en,literal,Klon,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-08-29T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
47,uri,http://www.wikidata.org/entity/Q949610,en,literal,Shimano Kabushiki-kaisha,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q17018236, http://www.wikidata.org/entity/Q11828862, http://www.wikidata.org/entity/Q6520325",literal,"http://www.wikidata.org/entity/Q108858610, http://www.wikidata.org/entity/Q108858442, http://www.wikidata.org/entity/Q108858624, http://www.wikidata.org/entity/Q108858638, http://www.wikidata.org/entity/Q97496345",literal,,literal,http://www.wikidata.org/entity/Q193428,literal,http://www.wikidata.org/entity/Q1969854,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-01-01T00:00:00Z,,,,en,literal,Shimano Inc.,,,,,,,,,,,,,wd:Q17
48,uri,http://www.wikidata.org/entity/Q100152436,en,literal,The Prince Kyoto Takaragaike,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-10-09T00:00:00Z,,,,ja,literal,ザ・プリンス 京都宝ヶ池,,,,,,,,,,,,,wd:Q17
49,uri,http://www.wikidata.org/entity/Q111740090,en,literal,Waku Waku Games,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
50,uri,http://www.wikidata.org/entity/Q17209493,en,literal,Takayama Green Hotel,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-07-20T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
51,uri,http://www.wikidata.org/entity/Q7672604,en,literal,Yumeta Company,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q329754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
52,uri,http://www.wikidata.org/entity/Q11386312,en,literal,Shuzenji Onsen,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11508657,,,,,,,,,,,,,,,,,,,,,,wd:Q17
53,uri,http://www.wikidata.org/entity/Q726081,en,literal,Kodansha,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2085381,literal,,literal,,literal,"http://www.wikidata.org/entity/Q11664320, http://www.wikidata.org/entity/Q212713, http://www.wikidata.org/entity/Q1490",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1909-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,963,,,,,,,,,,,,,,,,wd:Q17
54,uri,http://www.wikidata.org/entity/Q28137494,en,literal,ANA Crowne Plaza Sapporo,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
55,uri,http://www.wikidata.org/entity/Q11251714,en,literal,U-NEXT,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q61056914,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-02-03T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
56,uri,http://www.wikidata.org/entity/Q11320039,en,literal,Disk Union,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1941-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
57,uri,http://www.wikidata.org/entity/Q3685133,en,literal,Compile Heart,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
58,uri,http://www.wikidata.org/entity/Q1361716,en,literal,D3 Publisher,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q3972943, http://www.wikidata.org/entity/Q941594",literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-02-05T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
59,uri,http://www.wikidata.org/entity/Q11253593,en,literal,Skylark,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-07-17T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
60,uri,http://www.wikidata.org/entity/Q11235089,en,literal,Tōyō Rapid Railway,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q22667,literal,,literal,,literal,http://www.wikidata.org/entity/Q11607735,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-09-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
61,uri,http://www.wikidata.org/entity/Q5503087,en,literal,Freshness Burger,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q81799,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
62,uri,http://www.wikidata.org/entity/Q10850991,en,literal,iDOL Street,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
63,uri,http://www.wikidata.org/entity/Q11505524,en,literal,NCR Japan,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-02-24T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
64,uri,http://www.wikidata.org/entity/Q108916391,en,literal,Ujikoen,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q6097,literal,,literal,,literal,http://www.wikidata.org/entity/Q990352,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1865-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
65,uri,http://www.wikidata.org/entity/Q11675936,en,literal,Tsuruya Yoshinobu,uri,http://www.wikidata.org/entity/Q1321824,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1321824, http://www.wikidata.org/entity/Q120730, http://www.wikidata.org/entity/Q34600",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
66,uri,http://www.wikidata.org/entity/Q42418606,en,literal,ANA Crowne Plaza Kyoto,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,ja,literal,京都全日空ホテル,,,,,,,,,,,,,wd:Q17
67,uri,http://www.wikidata.org/entity/Q85329888,en,literal,AnyColor,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q19595701,literal,,literal,,literal,http://www.wikidata.org/entity/Q11641777,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-05-02T00:00:00Z,,,,ja,literal,ANYCOLOR株式会社,,,,,,,,,,,,,wd:Q17
68,uri,http://www.wikidata.org/entity/Q11426141,en,literal,Kinosaki Onsen,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
69,uri,http://www.wikidata.org/entity/Q11559760,en,literal,Tankosha Publishing,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q120730,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-07T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
70,uri,http://www.wikidata.org/entity/Q11288502,en,literal,The Westin Miyako Kyoto,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1900-08-10T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
71,uri,http://www.wikidata.org/entity/Q11337885,en,literal,Hotel New Otani Osaka,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-06-07T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
72,uri,http://www.wikidata.org/entity/Q65665536,en,literal,Starbucks Reserve Roastery Tokyo,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
73,uri,http://www.wikidata.org/entity/Q2700742,en,literal,MTV Japan,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
74,uri,http://www.wikidata.org/entity/Q1076089,en,literal,Morinaga & Company,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1910-02-23T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
75,uri,http://www.wikidata.org/entity/Q322601,en,literal,Seiko,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q29585284,literal,,literal,,literal,http://www.wikidata.org/entity/Q746052,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1881-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
76,uri,http://www.wikidata.org/entity/Q1136386,en,literal,Shin-Ei Animation,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q242882,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
77,uri,http://www.wikidata.org/entity/Q11312595,en,literal,Yeti,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
78,uri,http://www.wikidata.org/entity/Q111406738,en,literal,The Yokohama Bay Hotel Tokyu,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2888684,,,,,,,,,,,,,,,,,,,,,,wd:Q17
79,uri,http://www.wikidata.org/entity/Q42829212,en,literal,Roadside station Hokuo-no-kaze Michinoeki Tobetsu,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-04-21T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
80,uri,http://www.wikidata.org/entity/Q11329793,en,literal,Park Hyatt Tokyo,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1348023,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-07-09T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
81,uri,http://www.wikidata.org/entity/Q839552,en,literal,SMC Corporation,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q7473516,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-04-27T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q17
82,uri,http://www.wikidata.org/entity/Q11614756,en,literal,Ashinoko Skyline,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1795217,literal,,,,,,,,,,,,,,,,,,,,,,,wd:Q17
83,uri,http://www.wikidata.org/entity/Q47574368,en,literal,ClubMed Hokkaido Tomamu,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11513061,,,,,,,,,,,,,,,,,,,,,,wd:Q17
