,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
10,uri,http://www.wikidata.org/entity/Q12218620,en,literal,Al Abdullatif Industrial Investment Co.,ar,literal,شركة العبداللطيف للإستثمار الصناعي,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-05-22T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1384107000,http://www.w3.org/2001/XMLSchema#decimal,literal,1184825000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
11,uri,http://www.wikidata.org/entity/Q20403406,en,literal,Electrical Industries Co.,ar,literal,شركة الصناعات الكهربائية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-08-07T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1016584410,http://www.w3.org/2001/XMLSchema#decimal,literal,551989400,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
12,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
13,uri,http://www.wikidata.org/entity/Q3433985,en,literal,Riyad Bank,ar,literal,بنك الرياض,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-11-23T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,265788878000,http://www.w3.org/2001/XMLSchema#decimal,literal,38622993000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
14,uri,http://www.wikidata.org/entity/Q5404584,en,literal,Etihad Atheeb Telecom Co.,ar,literal,شركة اتحاد عذيب للاتصالات,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-02-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1389383000,http://www.w3.org/2001/XMLSchema#decimal,literal,222238000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
15,uri,http://www.wikidata.org/entity/Q12218595,en,literal,National Gypsum Co.,ar,literal,شركة الجبس الأهلية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-04-30T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,464266000,http://www.w3.org/2001/XMLSchema#decimal,literal,444679000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
16,uri,http://www.wikidata.org/entity/Q97813574,en,literal,SMSA Express,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
17,uri,http://www.wikidata.org/entity/Q20401488,en,literal,National Medical Care Co.,ar,literal,الشركة الوطنية للرعاية الطبية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-10-27T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1356245000,http://www.w3.org/2001/XMLSchema#decimal,literal,996865000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
18,uri,http://www.wikidata.org/entity/Q20403318,en,literal,Al Hassan Ghazi Ibrahim Shaker Co.,ar,literal,شركة الحسن غازي إبراهيم شاكر,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-04-03T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1467271000,http://www.w3.org/2001/XMLSchema#decimal,literal,624012000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
19,uri,http://www.wikidata.org/entity/Q105714225,en,literal,dr.cafe Coffee,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
20,uri,http://www.wikidata.org/entity/Q12188894,en,literal,Saudi Fisheries Co.,ar,literal,الشركة السعودية للأسماك,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-03-24T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,186414000,http://www.w3.org/2001/XMLSchema#decimal,literal,51504000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q180538,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
21,uri,http://www.wikidata.org/entity/Q12188891,en,literal,Saudi Automotive Services Co.,ar,literal,الشركة السعودية لخدمات السيارات والمعدات,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-12-24T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2460907000,http://www.w3.org/2001/XMLSchema#decimal,literal,783497000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
22,uri,http://www.wikidata.org/entity/Q20403103,en,literal,Al Jouf Cement Co.,ar,literal,شركة أسمنت الجوف,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-08-05T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2319338000,http://www.w3.org/2001/XMLSchema#decimal,literal,1537745000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q811891,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
23,uri,http://www.wikidata.org/entity/Q1535171,en,literal,Saudi Telecom Company,ar,literal,شركة الاتصالات السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-05-02T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,32525893,http://www.w3.org/2001/XMLSchema#decimal,literal,59740405000,uri,http://www.wikidata.org/entity/Q851,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,http://www.wikidata.org/entity/Q4966205,http://www.w3.org/2001/XMLSchema#decimal,literal,17000,,,,,,,wd:Q851
24,uri,http://www.wikidata.org/entity/Q108537438,en,literal,Half Million,en,literal,Half Million Company for beverages,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-04-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q145,literal,"http://www.wikidata.org/entity/Q540912, http://www.wikidata.org/entity/Q30022, http://www.wikidata.org/entity/Q8486",literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
25,uri,http://www.wikidata.org/entity/Q12218575,en,literal,Zain Saudi Arabia,ar,literal,شركة الإتصالات المتنقلة السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-03-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,27738253000,http://www.w3.org/2001/XMLSchema#decimal,literal,3563561000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
26,uri,http://www.wikidata.org/entity/Q12218618,en,literal,The National Company for Glass Industries,ar,literal,شركة الصناعات الزجاجية الوطنية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-17T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,739154000,http://www.w3.org/2001/XMLSchema#decimal,literal,562277000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
27,uri,http://www.wikidata.org/entity/Q20403406,en,literal,Electrical Industries Co.,ar,literal,شركة الصناعات الكهربائية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-08-07T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1016584410,http://www.w3.org/2001/XMLSchema#decimal,literal,634723510,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
28,uri,http://www.wikidata.org/entity/Q20393897,en,literal,Riyadh Radio,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-03T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q15078788,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
29,uri,http://www.wikidata.org/entity/Q6721006,en,literal,Maaden,ar,literal,شركة التعدين العربية السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-03-23T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,97657597000,http://www.w3.org/2001/XMLSchema#decimal,literal,26097517000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q44497,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,6149,,,,,,,wd:Q851
30,uri,http://www.wikidata.org/entity/Q20403611,en,literal,Fawaz Abdulaziz Alhokair Co.,ar,literal,شركة فواز عبدالعزيز الحكير وشركاه,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-03-17T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,6707183000,http://www.w3.org/2001/XMLSchema#decimal,literal,2876079000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
31,uri,http://www.wikidata.org/entity/Q28715280,en,literal,Lazurde Company for Jewelry,ar,literal,شركة لازوردي للمجوهرات,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2015035000,http://www.w3.org/2001/XMLSchema#decimal,literal,418211000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q57262277,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
32,uri,http://www.wikidata.org/entity/Q20403421,en,literal,Mouwasat Medical Services Co.,ar,literal,شركة المواساة للخدمات الطبية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-02-21T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,3523245000,http://www.w3.org/2001/XMLSchema#decimal,literal,1490342000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
33,uri,http://www.wikidata.org/entity/Q20401488,en,literal,National Medical Care Co.,ar,literal,الشركة الوطنية للرعاية الطبية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-10-27T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1356245000,http://www.w3.org/2001/XMLSchema#decimal,literal,985625000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
34,uri,http://www.wikidata.org/entity/Q28715287,en,literal,Al Yamamah Steel Industries Co.,ar,literal,شركة اليمامة للصناعات الحديدية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-09T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1552125000,http://www.w3.org/2001/XMLSchema#decimal,literal,592255000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q811891,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
35,uri,http://www.wikidata.org/entity/Q4652322,en,literal,ALDREES Petroleum and Transport Services Company,ar,literal,شركة الدريس للخدمات البترولية و النقليات,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-09-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,3585220000,http://www.w3.org/2001/XMLSchema#decimal,literal,874767000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
36,uri,http://www.wikidata.org/entity/Q6160243,en,literal,Jarir Bookstore,ar,literal,شركة جرير للتسويق,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,4001527000,http://www.w3.org/2001/XMLSchema#decimal,literal,1626043000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
37,uri,http://www.wikidata.org/entity/Q5404584,en,literal,Etihad Atheeb Telecom Co.,ar,literal,شركة اتحاد عذيب للاتصالات,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-02-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1389383000,http://www.w3.org/2001/XMLSchema#decimal,literal,283949000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
38,uri,http://www.wikidata.org/entity/Q12218594,en,literal,Al-Jouf Agricultural Development Co.,ar,literal,شركة الجوف الزراعية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-12-03T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,774107000,http://www.w3.org/2001/XMLSchema#decimal,literal,685236000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
39,uri,http://www.wikidata.org/entity/Q113506053,en,literal,Core Coffee & Roastery,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
40,uri,http://www.wikidata.org/entity/Q3433985,en,literal,Riyad Bank,ar,literal,بنك الرياض,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-11-23T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,265788878000,http://www.w3.org/2001/XMLSchema#decimal,literal,40571462000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
41,uri,http://www.wikidata.org/entity/Q60565293,en,literal,Ajel News,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
42,uri,http://www.wikidata.org/entity/Q7408955,en,literal,Samba Financial Group,ar,literal,مجموعة سامبا المالية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-02-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,255603801000,http://www.w3.org/2001/XMLSchema#decimal,literal,44582668000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
43,uri,http://www.wikidata.org/entity/Q28456180,en,literal,Makkah Millennium Hotel,ar,literal,فندق ميلينيوم مكة,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
44,uri,http://www.wikidata.org/entity/Q20403142,en,literal,Dremas House Co.,ar,literal,شركة دريم هاوس,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-07T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2484328000,http://www.w3.org/2001/XMLSchema#decimal,literal,2056829000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q811891,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
45,uri,http://www.wikidata.org/entity/Q20403513,en,literal,Bawan Co.,ar,literal,شركة بوان,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-08-20T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2252904000,http://www.w3.org/2001/XMLSchema#decimal,literal,842037000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
46,uri,http://www.wikidata.org/entity/Q105886120,en,literal,Muvi Cinemas,ar,literal,موڤي سينما,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
47,uri,http://www.wikidata.org/entity/Q12218646,en,literal,Saudi Arabian Amiantit Co.,ar,literal,شركة أميانتيت العربية السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-06-13T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2418276000,http://www.w3.org/2001/XMLSchema#decimal,literal,1163845000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
48,uri,http://www.wikidata.org/entity/Q12188899,en,literal,Saudi Pharmaceutical Industries and Medical Appliances Corp.,ar,literal,الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-20T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,4623919000,http://www.w3.org/2001/XMLSchema#decimal,literal,2900674000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q507443,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
49,uri,http://www.wikidata.org/entity/Q16124094,en,literal,Saudi Ground Services Co.,ar,literal,الشركة السعودية للخدمات الأرضية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-07-14T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,4323052000,http://www.w3.org/2001/XMLSchema#decimal,literal,2945888000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
50,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q851
51,uri,http://www.wikidata.org/entity/Q12218575,en,literal,Zain Saudi Arabia,ar,literal,شركة الإتصالات المتنقلة السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-03-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,27738253000,http://www.w3.org/2001/XMLSchema#decimal,literal,4012248000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
52,uri,http://www.wikidata.org/entity/Q12218598,en,literal,Saudi Ceramic Co.,ar,literal,شركة الخزف السعودية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-04-14T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2860000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1409077000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
53,uri,http://www.wikidata.org/entity/Q7427147,en,literal,Saudi Payments Network (mada),,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
54,uri,http://www.wikidata.org/entity/Q6160243,en,literal,Jarir Bookstore,ar,literal,شركة جرير للتسويق,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,4001527000,http://www.w3.org/2001/XMLSchema#decimal,literal,1645090000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
55,uri,http://www.wikidata.org/entity/Q4652322,en,literal,ALDREES Petroleum and Transport Services Company,ar,literal,شركة الدريس للخدمات البترولية و النقليات,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-09-12T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,3585220000,http://www.w3.org/2001/XMLSchema#decimal,literal,655764000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
56,uri,http://www.wikidata.org/entity/Q20403103,en,literal,Al Jouf Cement Co.,ar,literal,شركة أسمنت الجوف,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-08-05T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2319338000,http://www.w3.org/2001/XMLSchema#decimal,literal,1592016000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q811891,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
57,uri,http://www.wikidata.org/entity/Q20403651,en,literal,Al Sorayai Trading and Industrial Group,ar,literal,مجموعة السريع التجارية الصناعية,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-02-20T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,519348000,http://www.w3.org/2001/XMLSchema#decimal,literal,150052000,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q851
58,uri,http://www.wikidata.org/entity/Q17069901,en,literal,Rotana Records,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,wd:Q851
59,uri,http://www.wikidata.org/entity/Q1518238,en,literal,The Saudi National Bank,ar,literal,البنك الأهلي السعودي,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,507263802000,http://www.w3.org/2001/XMLSchema#decimal,literal,64736917000,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q374365,literal,,,,,,,,,,,wd:Q851
