,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,officialname.xml:lang,officialname.type,officialname.value,equity.datatype,equity.type,equity.value,profit.datatype,profit.type,profit.value,country
10,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,,,,wd:Q878
11,uri,http://www.wikidata.org/entity/Q111978940,en,literal,Akhbar Al Aan,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
12,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
13,uri,http://www.wikidata.org/entity/Q5372575,en,literal,Emirates NBD,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-10-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
14,uri,http://www.wikidata.org/entity/Q166729,en,literal,ADNOC,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
15,uri,http://www.wikidata.org/entity/Q34204337,en,literal,Waldorf Astoria Dubai Palm Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,aeb-arab,literal,والدورف أستوريا دبى بالم جميرا,,,,,,,wd:Q878
16,uri,http://www.wikidata.org/entity/Q74527699,en,literal,Hilton Capital Grand Abu Dhabi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Capital Grand Abu Dhabi,,,,,,,wd:Q878
17,uri,http://www.wikidata.org/entity/Q111668405,,literal,Q111668405,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
18,uri,http://www.wikidata.org/entity/Q17521121,en,literal,Al Bayan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-05-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,http://www.wikidata.org/entity/Q54837,,,,,,,,,,,,,,,,wd:Q878
19,uri,http://www.wikidata.org/entity/Q20990737,en,literal,Abu Dhabi National Takaful Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q878,literal,,,,,,,,,,,,,,,,,wd:Q878
20,uri,http://www.wikidata.org/entity/Q22688437,en,literal,Souq.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
21,uri,http://www.wikidata.org/entity/Q63642510,en,literal,Hilton Ras Al Khaimah Beach Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,منتجع وسبا هيلتون رأس الخيمة,,,,,,,wd:Q878
22,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
23,uri,http://www.wikidata.org/entity/Q66437370,en,literal,DoubleTree by Hilton Dubai - Business Bay,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-07-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,فندق دبل تري باي هيلتون دبي، الخليج التجاري,,,,,,,wd:Q878
24,uri,http://www.wikidata.org/entity/Q212304,en,literal,Etihad Airways,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q21063995,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
25,uri,http://www.wikidata.org/entity/Q7281354,en,literal,Hilton Dubai Creek,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Dubai Creek,,,,,,,wd:Q878
26,uri,http://www.wikidata.org/entity/Q4765942,en,literal,Ankabut,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q878,literal,,,,,,,,,,,,,,,,,wd:Q878
27,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
28,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
29,uri,http://www.wikidata.org/entity/Q64933804,en,literal,Hilton Garden Inn Ras Al Khaimah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,هلتون غاردن إن رأس الخيمة,,,,,,,wd:Q878
30,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
31,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
32,uri,http://www.wikidata.org/entity/Q406798,en,literal,Air Arabia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q289693,literal,,,,,,,,,,,,,,,,,wd:Q878
33,uri,http://www.wikidata.org/entity/Q96754685,en,literal,World Wide Films,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q96754766,literal,,,,,,,,,,,,,,,,,wd:Q878
34,uri,http://www.wikidata.org/entity/Q27981667,en,literal,Hilton Garden Inn Dubai Mall of the Emirates,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Garden Inn Dubai Mall of the Emirates,,,,,,,wd:Q878
35,uri,http://www.wikidata.org/entity/Q64933804,en,literal,Hilton Garden Inn Ras Al Khaimah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Garden Inn Ras Al Khaimah,,,,,,,wd:Q878
36,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,uri,http://www.wikidata.org/entity/Q921,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q878
37,uri,http://www.wikidata.org/entity/Q59774496,en,literal,Bedouin Records,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
38,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,,,,wd:Q878
39,uri,http://www.wikidata.org/entity/Q5310570,en,literal,Dubai Islamic Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
40,uri,http://www.wikidata.org/entity/Q110221761,en,literal,"V Hotel Dubai, Curio Collection by Hilton",http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,"V Hotel Dubai, Curio Collection by Hilton",,,,,,,wd:Q878
41,uri,http://www.wikidata.org/entity/Q12198908,en,literal,Platinum Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
42,uri,http://www.wikidata.org/entity/Q33123648,en,literal,DoubleTree by Hilton Resort & Spa Marjan Island,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,DoubleTree by Hilton Resort & Spa Marjan Island,,,,,,,wd:Q878
43,uri,http://www.wikidata.org/entity/Q110221761,en,literal,"V Hotel Dubai, Curio Collection by Hilton",http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,فندق V دبي، أحد فنادق كوريو كولكشن باي هيلتون,,,,,,,wd:Q878
44,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
45,uri,http://www.wikidata.org/entity/Q66437370,en,literal,DoubleTree by Hilton Dubai - Business Bay,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-07-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,DoubleTree by Hilton Dubai - Business Bay,,,,,,,wd:Q878
46,uri,http://www.wikidata.org/entity/Q2896740,en,literal,Bentham Science Publishers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q188810,literal,,,,,,,,,,,,,,,,,wd:Q878
47,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q878
48,uri,http://www.wikidata.org/entity/Q3595390,en,literal,du,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,2000,,,,,,,,,,,,,wd:Q878
49,uri,http://www.wikidata.org/entity/Q22976715,en,literal,Hilton Dubai The Walk,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1495452,literal,,literal,,literal,,literal,,,,,,,,ar,literal,هيلتون دبي ذا ووك,,,,,,,wd:Q878
50,uri,http://www.wikidata.org/entity/Q6972890,en,literal,National Geographic Farsi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,,,,,,,,,,,,,,,,wd:Q878
51,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
52,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
53,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
54,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q878
55,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
56,uri,http://www.wikidata.org/entity/Q1579995,en,literal,Khaleej Times,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
57,uri,http://www.wikidata.org/entity/Q27981667,en,literal,Hilton Garden Inn Dubai Mall of the Emirates,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,هيلتون جاردن إن مول الإمارات,,,,,,,wd:Q878
58,uri,http://www.wikidata.org/entity/Q30525186,en,literal,Hilton Al Ain,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Al Ain,,,,,,,wd:Q878
59,uri,http://www.wikidata.org/entity/Q4118549,en,literal,OSN,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q209588,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
60,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
61,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
62,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
63,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
64,uri,http://www.wikidata.org/entity/Q108857496,en,literal,Erem Media,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q3972943,literal,http://www.wikidata.org/entity/Q40380593,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
65,uri,http://www.wikidata.org/entity/Q74527699,en,literal,Hilton Capital Grand Abu Dhabi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,ar,literal,هيلتون كابيتال جراند أبوظبي,,,,,,,wd:Q878
66,uri,http://www.wikidata.org/entity/Q109298709,en,literal,Tunes Arabia,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
67,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q1028,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
68,uri,http://www.wikidata.org/entity/Q63642510,en,literal,Hilton Ras Al Khaimah Beach Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,en,literal,Hilton Ras Al Khaimah Beach Resort,,,,,,,wd:Q878
69,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
70,uri,http://www.wikidata.org/entity/Q1964041,en,literal,Nakheel Properties,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,5000,,,,en,literal,Nakheel PJSC,,,,,,,wd:Q878
71,uri,http://www.wikidata.org/entity/Q6387088,en,literal,Kempinski Hotel Ajman,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
72,uri,http://www.wikidata.org/entity/Q848754,en,literal,Saudi Oger,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q385378,literal,http://www.wikidata.org/entity/Q21662949,literal,http://www.wikidata.org/entity/Q296771,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,,,,,,,wd:Q878
73,uri,http://www.wikidata.org/entity/Q3174592,en,literal,Rotana Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q19595701, http://www.wikidata.org/entity/Q746359",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
74,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
