,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
14,uri,http://www.wikidata.org/entity/Q4703331,en,literal,Al-Watan,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q398
15,uri,http://www.wikidata.org/entity/Q571182,en,literal,Central Bank of Bahrain,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,http://www.wikidata.org/entity/Q18647517,literal,http://www.wikidata.org/entity/Q3882,literal,,,,,,,,,,,wd:Q398
16,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q398
17,uri,http://www.wikidata.org/entity/Q42313285,en,literal,Ahmed Alkooheji Communications,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q398
18,uri,http://www.wikidata.org/entity/Q4842748,en,literal,Bahrain Mirror,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q398
19,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
20,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
21,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
22,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
23,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,wd:Q398
24,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,wd:Q398
25,uri,http://www.wikidata.org/entity/Q7907093,en,literal,Stc Bahrain,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q7445721,literal,http://www.wikidata.org/entity/Q4966205,,,,,,,,,,wd:Q398
26,uri,http://www.wikidata.org/entity/Q4842752,en,literal,Bahrain News Agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3882,literal,,,,,,,,,,,wd:Q398
27,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
28,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,wd:Q398
29,uri,http://www.wikidata.org/entity/Q60776486,en,literal,Texel Air,,,,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4166621,literal,,,,,,,,,,,wd:Q398
30,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,http://www.w3.org/2001/XMLSchema#decimal,literal,4328022000,wd:Q398
