,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,country
18,uri,http://www.wikidata.org/entity/Q54860002,en,literal,MailerLite,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,wd:Q30
19,uri,http://www.wikidata.org/entity/Q104531575,en,literal,Barnes & Noble Manassas,,,,,,,wd:Q30
20,uri,http://www.wikidata.org/entity/Q104531625,en,literal,Barnes & Noble Knoxville,,,,,,,wd:Q30
21,uri,http://www.wikidata.org/entity/Q578387,en,literal,Shaw's and Star Market,http://www.w3.org/2001/XMLSchema#dateTime,literal,1860-01-01T00:00:00Z,,,,wd:Q30
22,uri,http://www.wikidata.org/entity/Q104539423,en,literal,Johnny Rad's Pizzeria Tavern,,,,,,,wd:Q30
23,uri,http://www.wikidata.org/entity/Q6331112,en,literal,KISR,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,,,,wd:Q30
24,uri,http://www.wikidata.org/entity/Q7950515,en,literal,WHYN,http://www.w3.org/2001/XMLSchema#dateTime,literal,1941-01-01T00:00:00Z,,,,wd:Q30
25,uri,http://www.wikidata.org/entity/Q7954771,en,literal,WQRL,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,wd:Q30
26,uri,http://www.wikidata.org/entity/Q7955254,en,literal,WGEE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,wd:Q30
27,uri,http://www.wikidata.org/entity/Q115022889,en,literal,The Greek Garden,,,,,,,wd:Q30
28,uri,http://www.wikidata.org/entity/Q849363,en,literal,The Vanguard Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-05-01T00:00:00Z,,,,wd:Q30
29,uri,http://www.wikidata.org/entity/Q2790678,en,literal,Cozi TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,wd:Q30
30,uri,http://www.wikidata.org/entity/Q1065024,en,literal,Hearst Communications,http://www.w3.org/2001/XMLSchema#dateTime,literal,1920-07-13T00:00:00Z,,,,wd:Q30
31,uri,http://www.wikidata.org/entity/Q115048716,en,literal,Osmow's Shawarma,,,,,,,wd:Q30
32,uri,http://www.wikidata.org/entity/Q107147963,en,literal,Red Games Co.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,wd:Q30
33,uri,http://www.wikidata.org/entity/Q104636206,en,literal,Serenity Forge,,,,,,,wd:Q30
34,uri,http://www.wikidata.org/entity/Q52159646,en,literal,North of Earth,,,,,,,wd:Q30
35,uri,http://www.wikidata.org/entity/Q76433480,en,literal,Delve Fonts,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,wd:Q30
36,uri,http://www.wikidata.org/entity/Q3564813,en,literal,WTVD,http://www.w3.org/2001/XMLSchema#dateTime,literal,1954-01-01T00:00:00Z,,,,wd:Q30
37,uri,http://www.wikidata.org/entity/Q104650360,en,literal,Formidable Labs,,,,,,,wd:Q30
38,uri,http://www.wikidata.org/entity/Q6335381,en,literal,KOZZ-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,,,,wd:Q30
39,uri,http://www.wikidata.org/entity/Q22079521,en,literal,Comfort Dental,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,,,,wd:Q30
40,uri,http://www.wikidata.org/entity/Q19864361,en,literal,BAYADA Home Health Care,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
41,uri,http://www.wikidata.org/entity/Q7955325,en,literal,WRTP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,wd:Q30
42,uri,http://www.wikidata.org/entity/Q14705172,en,literal,KHSV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,,,,wd:Q30
43,uri,http://www.wikidata.org/entity/Q6336743,en,literal,KRIV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,,,,wd:Q30
44,uri,http://www.wikidata.org/entity/Q2852675,en,literal,Antenna TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,wd:Q30
45,uri,http://www.wikidata.org/entity/Q111168039,en,literal,Amelio's On the River,http://www.w3.org/2001/XMLSchema#dateTime,literal,1871-01-01T00:00:00Z,,,,wd:Q30
46,uri,http://www.wikidata.org/entity/Q7954378,en,literal,WIPL,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,wd:Q30
47,uri,http://www.wikidata.org/entity/Q6337960,en,literal,KSMQ-TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,,,,wd:Q30
48,uri,http://www.wikidata.org/entity/Q7899831,en,literal,UrbanLab,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,,,,wd:Q30
49,uri,http://www.wikidata.org/entity/Q39055049,en,literal,"Navan, Inc.",http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,wd:Q30
50,uri,http://www.wikidata.org/entity/Q63417942,en,literal,Benchling,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,wd:Q30
51,uri,http://www.wikidata.org/entity/Q2986833,en,literal,Commonwealth Edison,http://www.w3.org/2001/XMLSchema#dateTime,literal,1907-01-01T00:00:00Z,,,,wd:Q30
52,uri,http://www.wikidata.org/entity/Q83743863,en,literal,dd's Discounts,,,,,,,wd:Q30
53,uri,http://www.wikidata.org/entity/Q73398072,en,literal,Strange Creatures Studio LLC,,,,,,,wd:Q30
54,uri,http://www.wikidata.org/entity/Q105686457,en,literal,Tracer,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,wd:Q30
55,uri,http://www.wikidata.org/entity/Q6335950,en,literal,KPTZ,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,wd:Q30
56,uri,http://www.wikidata.org/entity/Q16840077,en,literal,GigaSpaces,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,wd:Q30
57,uri,http://www.wikidata.org/entity/Q104854884,en,literal,Mango Publishing,,,,,,,wd:Q30
58,uri,http://www.wikidata.org/entity/Q6340990,en,literal,KWYE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,,,,wd:Q30
59,uri,http://www.wikidata.org/entity/Q55360040,en,literal,SiTime,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,wd:Q30
60,uri,http://www.wikidata.org/entity/Q1240741,en,literal,Donatos Pizza,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,,,,wd:Q30
61,uri,http://www.wikidata.org/entity/Q3198045,en,literal,Knott's Soak City,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,wd:Q30
62,uri,http://www.wikidata.org/entity/Q5308179,en,literal,Droga5,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,,,,wd:Q30
63,uri,http://www.wikidata.org/entity/Q7934437,en,literal,Virginia Opera,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,,,,wd:Q30
64,uri,http://www.wikidata.org/entity/Q2867944,en,literal,Association of Universities for Research in Astronomy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,,,,wd:Q30
65,uri,http://www.wikidata.org/entity/Q7338215,en,literal,Riverhead Books,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,wd:Q30
66,uri,http://www.wikidata.org/entity/Q6327361,en,literal,KCSS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
67,uri,http://www.wikidata.org/entity/Q815817,en,literal,Bellator MMA,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,wd:Q30
68,uri,http://www.wikidata.org/entity/Q3191570,en,literal,KXLU,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,,,,wd:Q30
69,uri,http://www.wikidata.org/entity/Q6339946,en,literal,KVCT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,,,,wd:Q30
70,uri,http://www.wikidata.org/entity/Q483959,en,literal,PayPal,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,en,literal,"PayPal Holdings, Inc.",wd:Q30
71,uri,http://www.wikidata.org/entity/Q6908680,en,literal,Moosejaw,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,wd:Q30
72,uri,http://www.wikidata.org/entity/Q568940,en,literal,Jet,,,,,,,wd:Q30
73,uri,http://www.wikidata.org/entity/Q106435940,en,literal,Exagen Inc.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,en,literal,Exagen Inc.,wd:Q30
74,uri,http://www.wikidata.org/entity/Q52635547,en,literal,Virginia Tech University Libraries,,,,,,,wd:Q30
75,uri,http://www.wikidata.org/entity/Q52636313,en,literal,"Cureus, Inc.",,,,,,,wd:Q30
76,uri,http://www.wikidata.org/entity/Q121436109,en,literal,Pinch A Penny Pool Patio Spa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
77,uri,http://www.wikidata.org/entity/Q6806006,en,literal,Mediabase,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,,,,wd:Q30
78,uri,http://www.wikidata.org/entity/Q6970817,en,literal,National Athletic Trainers' Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-01-01T00:00:00Z,,,,wd:Q30
79,uri,http://www.wikidata.org/entity/Q52670253,en,literal,Code4Lib,,,,,,,wd:Q30
80,uri,http://www.wikidata.org/entity/Q502333,en,literal,Preservation Hall,,,,,,,wd:Q30
81,uri,http://www.wikidata.org/entity/Q64138262,en,literal,The Little Clinic,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,wd:Q30
82,uri,http://www.wikidata.org/entity/Q6945209,en,literal,My Damn Channel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-07-31T00:00:00Z,,,,wd:Q30
83,uri,http://www.wikidata.org/entity/Q766647,en,literal,Metrolink,,,,,,,wd:Q30
84,uri,http://www.wikidata.org/entity/Q73790504,en,literal,Mill Top Tavern,,,,,,,wd:Q30
85,uri,http://www.wikidata.org/entity/Q3191320,en,literal,KAIT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,,,,wd:Q30
86,uri,http://www.wikidata.org/entity/Q60656247,en,literal,Court TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-05-08T00:00:00Z,,,,wd:Q30
87,uri,http://www.wikidata.org/entity/Q60768270,en,literal,Honey,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-10-01T00:00:00Z,,,,wd:Q30
88,uri,http://www.wikidata.org/entity/Q115691367,en,literal,BreakThrough News,,,,,,,wd:Q30
89,uri,http://www.wikidata.org/entity/Q6764360,en,literal,Mariner Books,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,wd:Q30
90,uri,http://www.wikidata.org/entity/Q105287172,en,literal,MahoganyBooks,,,,,,,wd:Q30
91,uri,http://www.wikidata.org/entity/Q7624785,en,literal,Stroock & Stroock & Lavan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1876-01-01T00:00:00Z,,,,wd:Q30
92,uri,http://www.wikidata.org/entity/Q17087777,en,literal,Two Leaves Tea Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,wd:Q30
93,uri,http://www.wikidata.org/entity/Q122936821,en,literal,Numis Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,wd:Q30
94,uri,http://www.wikidata.org/entity/Q7947764,en,literal,WCGQ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,,,,wd:Q30
95,uri,http://www.wikidata.org/entity/Q5433101,en,literal,Family Dollar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,,,,wd:Q30
96,uri,http://www.wikidata.org/entity/Q6326102,en,literal,KBOO,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,,,,wd:Q30
97,uri,http://www.wikidata.org/entity/Q6326114,en,literal,KBOX,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,,,,wd:Q30
98,uri,http://www.wikidata.org/entity/Q7949243,en,literal,WFDL,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,,,,wd:Q30
99,uri,http://www.wikidata.org/entity/Q17034962,en,literal,Lodge,http://www.w3.org/2001/XMLSchema#dateTime,literal,1896-01-01T00:00:00Z,,,,wd:Q30
100,uri,http://www.wikidata.org/entity/Q7952554,en,literal,WLVT-TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,wd:Q30
101,uri,http://www.wikidata.org/entity/Q5114023,en,literal,Chronicle Books,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,en,literal,Chronicle Books LLC,wd:Q30
102,uri,http://www.wikidata.org/entity/Q7953776,en,literal,WOCR,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
103,uri,http://www.wikidata.org/entity/Q122971323,en,literal,Zurvita,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,wd:Q30
104,uri,http://www.wikidata.org/entity/Q12014467,en,literal,Gluster,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-06-01T00:00:00Z,en,literal,Gluster,wd:Q30
105,uri,http://www.wikidata.org/entity/Q3301958,en,literal,Overstock.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,wd:Q30
106,uri,http://www.wikidata.org/entity/Q12014467,en,literal,Gluster,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-06-01T00:00:00Z,en,literal,Z RESEARCH,wd:Q30
107,uri,http://www.wikidata.org/entity/Q3492619,en,literal,Sonos,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,wd:Q30
108,uri,http://www.wikidata.org/entity/Q7956417,en,literal,WTSP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,wd:Q30
109,uri,http://www.wikidata.org/entity/Q106485350,en,literal,Grandata,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-06-26T00:00:00Z,,,,wd:Q30
110,uri,http://www.wikidata.org/entity/Q7956824,en,literal,WVGS,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
111,uri,http://www.wikidata.org/entity/Q124457729,en,literal,SKUChain,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,wd:Q30
112,uri,http://www.wikidata.org/entity/Q7957374,en,literal,WWMJ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,,,,wd:Q30
113,uri,http://www.wikidata.org/entity/Q2876788,en,literal,BBVA Argentina,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,wd:Q30
114,uri,http://www.wikidata.org/entity/Q5583655,en,literal,Goodwill Industries,http://www.w3.org/2001/XMLSchema#dateTime,literal,1902-01-01T00:00:00Z,,,,wd:Q30
115,uri,http://www.wikidata.org/entity/Q7957707,en,literal,WXKB,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,,,,wd:Q30
116,uri,http://www.wikidata.org/entity/Q122958754,en,literal,Uptown Cheapskate,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,wd:Q30
117,uri,http://www.wikidata.org/entity/Q1072620,en,literal,Chikara,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,wd:Q30
118,uri,http://www.wikidata.org/entity/Q6337116,en,literal,KRSP-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,wd:Q30
119,uri,http://www.wikidata.org/entity/Q64616155,en,literal,Sky Terrace Sushi Bar,,,,,,,wd:Q30
120,uri,http://www.wikidata.org/entity/Q3009079,en,literal,Mass Media Inc.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,,,,wd:Q30
121,uri,http://www.wikidata.org/entity/Q7520642,en,literal,Simple,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,wd:Q30
122,uri,http://www.wikidata.org/entity/Q6339425,en,literal,KUAF,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,wd:Q30
123,uri,http://www.wikidata.org/entity/Q5244012,en,literal,DeMarini,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,wd:Q30
124,uri,http://www.wikidata.org/entity/Q25303120,en,literal,Etouches,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,wd:Q30
125,uri,http://www.wikidata.org/entity/Q123058874,en,literal,Freedom Equity Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,wd:Q30
126,uri,http://www.wikidata.org/entity/Q6340262,en,literal,KVSC,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,wd:Q30
127,uri,http://www.wikidata.org/entity/Q5250057,en,literal,DeepDyve,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,wd:Q30
128,uri,http://www.wikidata.org/entity/Q7079111,en,literal,OfficeMax,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,wd:Q30
129,uri,http://www.wikidata.org/entity/Q7195535,en,literal,Pinellas Suncoast Transit Authority,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,,,,wd:Q30
130,uri,http://www.wikidata.org/entity/Q7845792,en,literal,Tropical Financial Credit Union,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,,,,wd:Q30
131,uri,http://www.wikidata.org/entity/Q60385221,en,literal,Samuel Hubbard Shoe Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,wd:Q30
132,uri,http://www.wikidata.org/entity/Q98686778,en,literal,Visible,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,wd:Q30
133,uri,http://www.wikidata.org/entity/Q124381715,en,literal,QuantumSocials.net Digital Marketing Agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,2023-01-01T00:00:00Z,,,,wd:Q30
134,uri,http://www.wikidata.org/entity/Q125074,en,literal,Anheuser-Busch,http://www.w3.org/2001/XMLSchema#dateTime,literal,1852-01-01T00:00:00Z,,,,wd:Q30
135,uri,http://www.wikidata.org/entity/Q98713364,en,literal,American School Counselor Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,,,,wd:Q30
136,uri,http://www.wikidata.org/entity/Q2496825,en,literal,Great Escape,,,,,,,wd:Q30
137,uri,http://www.wikidata.org/entity/Q3564814,en,literal,WUAB,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-09-15T00:00:00Z,,,,wd:Q30
138,uri,http://www.wikidata.org/entity/Q116990338,en,literal,Sonemic,,,,,,,wd:Q30
139,uri,http://www.wikidata.org/entity/Q1846049,en,literal,Tropicana Products,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,,,,wd:Q30
140,uri,http://www.wikidata.org/entity/Q116404129,en,literal,Ice Age Records,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,wd:Q30
141,uri,http://www.wikidata.org/entity/Q64877852,en,literal,The Children's Courtyard,,,,,,,wd:Q30
142,uri,http://www.wikidata.org/entity/Q116689843,en,literal,North American Shipbuilding,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-01T00:00:00Z,,,,wd:Q30
143,uri,http://www.wikidata.org/entity/Q1320443,en,literal,Sony Pictures Classics,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,,,,wd:Q30
144,uri,http://www.wikidata.org/entity/Q420947,en,literal,Disney Cruise Line,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,wd:Q30
145,uri,http://www.wikidata.org/entity/Q30285756,en,literal,Arcadia Biosciences (United States),http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,wd:Q30
146,uri,http://www.wikidata.org/entity/Q14682555,en,literal,KCPR,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,,,,wd:Q30
147,uri,http://www.wikidata.org/entity/Q6108744,en,literal,KJTV-TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,,,,wd:Q30
148,uri,http://www.wikidata.org/entity/Q88886907,en,literal,Bleu Duck Kitchen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,wd:Q30
149,uri,http://www.wikidata.org/entity/Q122949890,en,literal,Vollara,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,wd:Q30
150,uri,http://www.wikidata.org/entity/Q107014907,en,literal,WALT Wines,,,,,,,wd:Q30
151,uri,http://www.wikidata.org/entity/Q20714256,en,literal,Davis Graham & Stubbs,http://www.w3.org/2001/XMLSchema#dateTime,literal,1915-01-01T00:00:00Z,,,,wd:Q30
152,uri,http://www.wikidata.org/entity/Q122916541,en,literal,Big Interview,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-03-01T00:00:00Z,,,,wd:Q30
153,uri,http://www.wikidata.org/entity/Q38076,en,literal,McDonald’s,http://www.w3.org/2001/XMLSchema#dateTime,literal,1940-05-15T00:00:00Z,en,literal,McDonald's Corporation,wd:Q30
154,uri,http://www.wikidata.org/entity/Q18636413,en,literal,Sweetgreen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,wd:Q30
155,uri,http://www.wikidata.org/entity/Q65095575,en,literal,LCNB National Bank,,,,,,,wd:Q30
156,uri,http://www.wikidata.org/entity/Q27816,en,literal,University of California Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1893-01-01T00:00:00Z,en,literal,University of California Press,wd:Q30
157,uri,http://www.wikidata.org/entity/Q65118218,en,literal,Clark's Pump-N-Shop,,,,,,,wd:Q30
158,uri,http://www.wikidata.org/entity/Q16994839,en,literal,Harps Food Stores,http://www.w3.org/2001/XMLSchema#dateTime,literal,1930-01-01T00:00:00Z,,,,wd:Q30
159,uri,http://www.wikidata.org/entity/Q7381087,en,literal,Russ's Market,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,,,,wd:Q30
160,uri,http://www.wikidata.org/entity/Q798819,en,literal,Huntington Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1866-01-01T00:00:00Z,,,,wd:Q30
161,uri,http://www.wikidata.org/entity/Q744182,en,literal,Random House,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-01-01T00:00:00Z,,,,wd:Q30
162,uri,http://www.wikidata.org/entity/Q6902090,en,literal,Monro Muffler Brake,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,,,,wd:Q30
163,uri,http://www.wikidata.org/entity/Q11130954,en,literal,Indiana University Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-01-01T00:00:00Z,,,,wd:Q30
164,uri,http://www.wikidata.org/entity/Q6660478,en,literal,LizardTech,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,wd:Q30
165,uri,http://www.wikidata.org/entity/Q60787150,en,literal,Prana,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,en,literal,prAna Living LLC,wd:Q30
