,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,country
72,en,literal,WBZZ,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
73,en,literal,WDCH-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
74,en,literal,National Gallery of Art,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q61,literal,,wd:Q30
75,en,literal,WMXS,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
76,en,literal,Major League Baseball,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,wd:Q30
77,en,literal,The Inspiration Networks,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
78,en,literal,Bonifas Arts Center,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
79,en,literal,Outdoor Cover Warehouse,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
80,en,literal,Precision Tune Auto Care,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
81,en,literal,Bell Resources,uri,http://www.wikidata.org/entity/Q408,literal,"http://www.wikidata.org/entity/Q99529212, http://www.wikidata.org/entity/Q37929123, http://www.wikidata.org/entity/Q15847894, http://www.wikidata.org/entity/Q2140665",literal,http://www.wikidata.org/entity/Q69393305,literal,http://www.wikidata.org/entity/Q6394494,literal,"http://www.wikidata.org/entity/Q3224, http://www.wikidata.org/entity/Q3130",literal,http://www.wikidata.org/entity/Q295382,wd:Q30
82,en,literal,Society of Economic Geologists,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q953583,literal,,wd:Q30
83,en,literal,WUTM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
84,en,literal,KAUT-TV,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34863,literal,,wd:Q30
85,en,literal,WDIA,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
86,en,literal,Kabbage,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q23556,literal,,wd:Q30
87,en,literal,Mountaineers Books,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
88,en,literal,Getaround,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q847201,literal,,literal,,literal,http://www.wikidata.org/entity/Q62,literal,,wd:Q30
89,en,literal,Tyson Foods,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q955043, http://www.wikidata.org/entity/Q11451",literal,,literal,,literal,http://www.wikidata.org/entity/Q79724,literal,http://www.wikidata.org/entity/Q242345,wd:Q30
90,en,literal,Telestream,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,http://www.wikidata.org/entity/Q667268,literal,,wd:Q30
91,en,literal,The Hoover Company,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q586285,literal,,wd:Q30
92,en,literal,Kermit's,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
93,en,literal,Snyder's of Hanover,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1182166,literal,,wd:Q30
94,en,literal,U.S. Steel,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q2285982,literal,"http://www.wikidata.org/entity/Q6251718, http://www.wikidata.org/entity/Q55819254, http://www.wikidata.org/entity/Q7794637, http://www.wikidata.org/entity/Q16731607",literal,,literal,http://www.wikidata.org/entity/Q1342,literal,,wd:Q30
95,en,literal,Mandeville Films,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q1415395,literal,,literal,,literal,http://www.wikidata.org/entity/Q39561,literal,,wd:Q30
96,en,literal,KATJ-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
97,en,literal,USRobotics,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q1067601,literal,,literal,,literal,http://www.wikidata.org/entity/Q988162,literal,,wd:Q30
98,en,literal,United Federal Credit Union,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q2205508,literal,,wd:Q30
99,en,literal,WFDC-DT,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
100,en,literal,WGLO,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
101,en,literal,WLII-DT,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
102,en,literal,DreamBox,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q1068473,literal,http://www.wikidata.org/entity/Q24248203,literal,,literal,http://www.wikidata.org/entity/Q214164,literal,,wd:Q30
103,en,literal,Haymarket Books,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1297,literal,,wd:Q30
104,en,literal,WBPT,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
105,en,literal,Schweitzer Engineering Laboratories,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q11660269, http://www.wikidata.org/entity/Q193040",literal,,literal,,literal,http://www.wikidata.org/entity/Q983540,literal,,wd:Q30
106,en,literal,Sell My House 7,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
107,en,literal,Judy's Book,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
108,en,literal,Gilbane Building Company,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q811501,literal,,literal,,literal,http://www.wikidata.org/entity/Q18383,literal,,wd:Q30
109,en,literal,Battelle Memorial Institute,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q16567,literal,,wd:Q30
110,en,literal,Symbotic,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q170978,literal,,literal,,literal,,literal,,wd:Q30
111,en,literal,WGTS,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
112,en,literal,Plazm,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6106,literal,,wd:Q30
113,en,literal,Comet,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,wd:Q30
114,en,literal,Dalkey Archive Press,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q577964,literal,,wd:Q30
115,en,literal,AMC Networks International Latin America,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q8652, http://www.wikidata.org/entity/Q1486",literal,,wd:Q30
116,en,literal,Lonely Planet,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,wd:Q30
117,en,literal,WLBT,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q28198,literal,,wd:Q30
118,en,literal,Fedcap Rehabilitation Services,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1384,literal,,wd:Q30
119,en,literal,KOUT,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
120,en,literal,WHFX,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
121,en,literal,Vuzix,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q49218,literal,,wd:Q30
122,en,literal,The Willy Wonka Candy Company,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1297,literal,,wd:Q30
123,en,literal,Checkmarx,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q97466080,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,wd:Q30
124,en,literal,Crunch Fitness,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,wd:Q30
125,en,literal,Poloniex,uri,http://www.wikidata.org/entity/Q30,literal,,literal,http://www.wikidata.org/entity/Q57314571,literal,,literal,http://www.wikidata.org/entity/Q174224,literal,,wd:Q30
126,en,literal,"Nautilus, Inc.",uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q234053,literal,,wd:Q30
127,en,literal,Mendocino Farms,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q11707,literal,,literal,,literal,,literal,,wd:Q30
128,en,literal,KUTX,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
129,en,literal,Broken Earth Winery,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
130,en,literal,Milwaukee Career College,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
131,en,literal,WLLR-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
132,en,literal,CatholicTV,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q54172,literal,,wd:Q30
133,en,literal,George Blood Audio LP,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1345,literal,,wd:Q30
134,en,literal,EmpRes,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
135,en,literal,United States Department of Agriculture,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q61,literal,,wd:Q30
136,en,literal,"Moneylion, Inc.",uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q16319025,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,wd:Q30
137,en,literal,Woodward,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3798668,literal,,literal,,literal,http://www.wikidata.org/entity/Q490732,literal,,wd:Q30
138,en,literal,Trunk Club,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1297,literal,,wd:Q30
139,en,literal,Super Villain Games,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q988159,literal,,wd:Q30
140,en,literal,University of Pittsburgh Press,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1342,literal,,wd:Q30
141,en,literal,KDUR,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
142,en,literal,Noodles & Company,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q492819,literal,,wd:Q30
143,en,literal,Valkyrie Entertainment,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
144,en,literal,WVKS,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
145,en,literal,Invenergy,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q1297,literal,,wd:Q30
146,en,literal,WDHA-FM,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,wd:Q30
147,en,literal,Mah Ze Dahr,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q30022,literal,,literal,,literal,,literal,,wd:Q30
148,en,literal,BlueCrest Metals,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q99529212, http://www.wikidata.org/entity/Q44497",literal,,literal,,literal,"http://www.wikidata.org/entity/Q16555, http://www.wikidata.org/entity/Q1439",literal,http://www.wikidata.org/entity/Q295382,wd:Q30
149,en,literal,Cinemark,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q16144339,literal,,literal,,literal,http://www.wikidata.org/entity/Q51689,literal,,wd:Q30
150,en,literal,Lewis Brisbois Bisgaard & Smith,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,wd:Q30
151,en,literal,Quirk Books,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q1345,literal,,wd:Q30
152,en,literal,Larson O'Brien,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,wd:Q30
153,en,literal,Havertys,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23556,literal,,wd:Q30
154,en,literal,Orbital Insight,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q47265,literal,,wd:Q30
155,en,literal,WTTG,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q61,literal,,wd:Q30
156,en,literal,Original Roadhouse Grill,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q41958,literal,,literal,,literal,http://www.wikidata.org/entity/Q485716,literal,,wd:Q30
157,en,literal,"Hopoo Games, LLC",uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
158,en,literal,Foss Swim School,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q985558,literal,,wd:Q30
159,en,literal,Zojoi,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q123766,literal,,wd:Q30
160,en,literal,Blair,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q49229,literal,,wd:Q30
161,en,literal,Rubicon Project,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,wd:Q30
162,en,literal,BRC Acoustics & Audiovisual Design,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5083,literal,,wd:Q30
163,en,literal,Indiana University – Purdue University Indianapolis,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6346,literal,,wd:Q30
