,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
39,uri,http://www.wikidata.org/entity/Q117348376,en,literal,Rocket Adrift,,,,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
40,uri,http://www.wikidata.org/entity/Q6858427,en,literal,Mill Street Brewery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q869095,literal,,literal,,literal,http://www.wikidata.org/entity/Q1025401,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
41,uri,http://www.wikidata.org/entity/Q124377649,en,literal,Li-Cycle Holdings Corp.,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
42,uri,http://www.wikidata.org/entity/Q5422367,en,literal,Extreme Pita,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q50816,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
43,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,,,,,,,,,,,,,,,,wd:Q16
44,uri,http://www.wikidata.org/entity/Q2931471,en,literal,CHRO-TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-08-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1075086,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
45,uri,http://www.wikidata.org/entity/Q3343536,en,literal,Norco Performance Bikes,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q643326,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
46,uri,http://www.wikidata.org/entity/Q112570683,en,literal,Dance Umbrella of Ontario,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,en,literal,Dance Umbrella of Ontario,,,,,,,,,,,,,wd:Q16
47,uri,http://www.wikidata.org/entity/Q7424351,en,literal,Sarnia Transit,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
48,uri,http://www.wikidata.org/entity/Q5010410,en,literal,CFAC,http://www.w3.org/2001/XMLSchema#dateTime,literal,1922-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
49,uri,http://www.wikidata.org/entity/Q7180716,en,literal,PharmaChoice,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
50,uri,http://www.wikidata.org/entity/Q105953305,en,literal,Double Stallion,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
51,uri,http://www.wikidata.org/entity/Q4025357,en,literal,Leméac,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,fr,literal,Leméac éditeur,,,,,,,,,,,,,wd:Q16
52,uri,http://www.wikidata.org/entity/Q55858235,en,literal,AgileBits,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-07-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,400,,,,,,,,,,,,,,,,wd:Q16
53,uri,http://www.wikidata.org/entity/Q7495372,en,literal,Sherritt International,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q44497,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
54,uri,http://www.wikidata.org/entity/Q18379784,en,literal,NeWest Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2096,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
55,uri,http://www.wikidata.org/entity/Q5011965,en,literal,CIYN-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
56,uri,http://www.wikidata.org/entity/Q2931476,en,literal,CHUO-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
57,uri,http://www.wikidata.org/entity/Q109381268,en,literal,Yunshang Rice Noodle,,,,uri,http://www.wikidata.org/entity/Q30,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
58,uri,http://www.wikidata.org/entity/Q3504127,en,literal,Super C,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
59,uri,http://www.wikidata.org/entity/Q3356778,en,literal,J.Lindeberg,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q11828862, http://www.wikidata.org/entity/Q126793, http://www.wikidata.org/entity/Q5377",literal,,literal,,literal,http://www.wikidata.org/entity/Q1754,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
60,uri,http://www.wikidata.org/entity/Q876720,en,literal,VIA Rail Canada,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,"http://www.wikidata.org/entity/Q3565868, http://www.wikidata.org/entity/Q1433891",literal,,literal,http://www.wikidata.org/entity/Q3086411,literal,"http://www.wikidata.org/entity/Q1344856, http://www.wikidata.org/entity/Q340",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3248,,,,,,,,,,,,,,,,wd:Q16
61,uri,http://www.wikidata.org/entity/Q5011244,en,literal,CHNU-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-09-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1249798,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
62,uri,http://www.wikidata.org/entity/Q5011255,en,literal,CHOK,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
63,uri,http://www.wikidata.org/entity/Q7830764,en,literal,Toyota Canada Inc.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1937-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
64,uri,http://www.wikidata.org/entity/Q22575812,en,literal,Canadian Sociological Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,en,literal,Canadian Sociology and Anthropology Association,,,,,,,,,,,,,wd:Q16
65,uri,http://www.wikidata.org/entity/Q2931029,en,literal,CBLFT-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-03-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
66,uri,http://www.wikidata.org/entity/Q56254765,en,literal,La Roche à Veillon,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
67,uri,http://www.wikidata.org/entity/Q1142327,en,literal,Global Television Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-01-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
68,uri,http://www.wikidata.org/entity/Q4735945,en,literal,AltaLink,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q1951366,literal,,literal,,literal,http://www.wikidata.org/entity/Q36312,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
69,uri,http://www.wikidata.org/entity/Q109648461,en,literal,Alfred A. Knopf Canada,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q172,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
70,uri,http://www.wikidata.org/entity/Q28971909,en,literal,North Star Air,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34116,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
71,uri,http://www.wikidata.org/entity/Q6801272,en,literal,McGill-Queen's University Press,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
72,uri,http://www.wikidata.org/entity/Q116794071,,literal,Q116794071,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2123,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
73,uri,http://www.wikidata.org/entity/Q101247243,en,literal,Dolcezza,,,,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q2912428,literal,,literal,,literal,http://www.wikidata.org/entity/Q340,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
74,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,,,,,,,,,,,,,,,,wd:Q16
75,uri,http://www.wikidata.org/entity/Q7544706,en,literal,Smiley Guy Studios,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
76,uri,http://www.wikidata.org/entity/Q5010482,en,literal,CFCN-DT,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-09-09T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36312,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
77,uri,http://www.wikidata.org/entity/Q155223,en,literal,National Basketball Association,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-08-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
78,uri,http://www.wikidata.org/entity/Q7716358,en,literal,The Beguiling,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1904, http://www.wikidata.org/entity/Q172",literal,,,,,,,,,,,,,,,,,,,,wd:Q16
79,uri,http://www.wikidata.org/entity/Q5012526,en,literal,CKRU-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1942-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
80,uri,http://www.wikidata.org/entity/Q5012180,en,literal,CJQQ-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
81,uri,http://www.wikidata.org/entity/Q6851623,en,literal,Milestones Grill and Bar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q11707,literal,,literal,,literal,http://www.wikidata.org/entity/Q44013,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
82,uri,http://www.wikidata.org/entity/Q5012501,en,literal,CKPM-FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
83,uri,http://www.wikidata.org/entity/Q118744458,en,literal,Añejo Restaurant,,,,uri,http://www.wikidata.org/entity/Q16,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q16
