,business.type,business.value,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,businessLabel.xml:lang,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,country
35,uri,http://www.wikidata.org/entity/Q62739250,literal,Planet Sushi,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q234743,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
36,uri,http://www.wikidata.org/entity/Q2871914,literal,Q2871914,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q30158092,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
37,uri,http://www.wikidata.org/entity/Q3210916,literal,La Musardine,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165919,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
38,uri,http://www.wikidata.org/entity/Q3047660,literal,Editis,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
39,uri,http://www.wikidata.org/entity/Q98278043,literal,Intermarché Express,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
40,uri,http://www.wikidata.org/entity/Q2459910,literal,Paris Première,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
41,uri,http://www.wikidata.org/entity/Q120729636,literal,Jet Solidaire,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q15449252, http://www.wikidata.org/entity/Q206814",literal,,literal,,literal,"http://www.wikidata.org/entity/Q270230, http://www.wikidata.org/entity/Q194420, http://www.wikidata.org/entity/Q135265",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-10-01T00:00:00Z,fr,literal,Jet Solidaire,,,,,,,,,,,,,,,,wd:Q142
42,uri,http://www.wikidata.org/entity/Q105946020,literal,Au Pont 9,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
43,uri,http://www.wikidata.org/entity/Q1550912,literal,GMV Innovating Solutions,uri,http://www.wikidata.org/entity/Q833,literal,"http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q5268834, http://www.wikidata.org/entity/Q3510521, http://www.wikidata.org/entity/Q2729047, http://www.wikidata.org/entity/Q508378",literal,"http://www.wikidata.org/entity/Q26637897, http://www.wikidata.org/entity/Q26638506",literal,http://www.wikidata.org/entity/Q26639858,literal,http://www.wikidata.org/entity/Q910410,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,es,literal,GMV Innovating Solutions,http://www.w3.org/2001/XMLSchema#decimal,literal,2792,http://www.w3.org/2001/XMLSchema#decimal,literal,6605351.15,,,,,,,,,,wd:Q142
44,uri,http://www.wikidata.org/entity/Q2819353,literal,AREP,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q142
45,uri,http://www.wikidata.org/entity/Q99689204,literal,Naturo Phonia,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q266117,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
46,uri,http://www.wikidata.org/entity/Q19903637,literal,Shiro Games,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1479,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
47,uri,http://www.wikidata.org/entity/Q96782095,literal,Koalabs,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165968,literal,,literal,,literal,http://www.wikidata.org/entity/Q193370,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
48,uri,http://www.wikidata.org/entity/Q3080642,literal,France Bleu RCFM,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
49,uri,http://www.wikidata.org/entity/Q3300085,literal,Mauboussin,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165817, http://www.wikidata.org/entity/Q161439",literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1827-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
50,uri,http://www.wikidata.org/entity/Q2877455,literal,BRED People's Bank,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165989,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
51,uri,http://www.wikidata.org/entity/Q3579685,literal,Éditions Édilivre,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
52,uri,http://www.wikidata.org/entity/Q123474616,literal,Hatinh Interactive,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-02-24T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
53,uri,http://www.wikidata.org/entity/Q116689207,literal,BeReal SAS,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165934, http://www.wikidata.org/entity/Q2988038, http://www.wikidata.org/entity/Q880371",literal,http://www.wikidata.org/.well-known/genid/b2172053b009050a5ae8dbf14bd7bc51,literal,http://www.wikidata.org/entity/Q115063653,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,fr,literal,BeReal SAS,,,,,,,,,,,,,,,,wd:Q142
54,uri,http://www.wikidata.org/entity/Q3195358,literal,Keosys,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q112166041, http://www.wikidata.org/entity/Q27712906, http://www.wikidata.org/entity/Q931309, http://www.wikidata.org/entity/Q638608, http://www.wikidata.org/entity/Q327092, http://www.wikidata.org/entity/Q214963, http://www.wikidata.org/entity/Q30612",literal,,literal,,literal,"http://www.wikidata.org/entity/Q273922, http://www.wikidata.org/entity/Q142, http://www.wikidata.org/entity/Q60",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,en,literal,KEOSYS,,,,,,,,,,,,,,,,wd:Q142
55,uri,http://www.wikidata.org/entity/Q274591,literal,Électricité de France,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165525, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q556539, http://www.wikidata.org/entity/Q33104614",literal,,literal,http://www.wikidata.org/entity/Q90,literal,http://www.wikidata.org/entity/Q648828,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-01-01T00:00:00Z,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,-17940000000,,,,,,,,,,wd:Q142
56,uri,http://www.wikidata.org/entity/Q46996006,literal,Onfido,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q23311, http://www.wikidata.org/entity/Q90",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
57,uri,http://www.wikidata.org/entity/Q2883429,literal,Banque Palatine,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165989,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1780-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
58,uri,http://www.wikidata.org/entity/Q117786969,literal,Neoplants,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166054,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-11-18T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,20,,,,,,,,,,,,,wd:Q142
59,uri,http://www.wikidata.org/entity/Q104059755,literal,C&F éditions,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165919,literal,,literal,,literal,http://www.wikidata.org/entity/Q41185,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-05-21T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2,,,,,,,,,,,,,wd:Q142
60,uri,http://www.wikidata.org/entity/Q16679334,literal,Q16679334,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166094,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
61,uri,http://www.wikidata.org/entity/Q106768328,literal,Bioclinic,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166146,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
62,uri,http://www.wikidata.org/entity/Q29122865,literal,Gemalto (France),uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q234735,literal,,en,,,,,,,,,,,,,,,,,,,,,,wd:Q142
63,uri,http://www.wikidata.org/entity/Q120802024,literal,TÉTHYS INVEST,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165992,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-12-15T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
64,uri,http://www.wikidata.org/entity/Q3006209,literal,Credit du Nord,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165989, http://www.wikidata.org/entity/Q29584334",literal,,literal,,literal,http://www.wikidata.org/entity/Q648,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1848-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
65,uri,http://www.wikidata.org/entity/Q2824189,literal,Q2824189,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165998,literal,,literal,,literal,,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
66,uri,http://www.wikidata.org/entity/Q92942133,literal,SYTRAL Mobilités,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166116,literal,,literal,,literal,http://www.wikidata.org/entity/Q3348,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-02-14T00:00:00Z,fr,literal,SYTRAL Mobilités,,,,,,,,,,,,,,,,wd:Q142
67,uri,http://www.wikidata.org/entity/Q20736197,literal,Click and Boat,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165981,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
68,uri,http://www.wikidata.org/entity/Q3331225,literal,My Major Company,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q348303,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
69,uri,http://www.wikidata.org/entity/Q109587972,literal,Red Art Games,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165709,literal,,literal,,literal,http://www.wikidata.org/entity/Q242536,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-12-19T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
70,uri,http://www.wikidata.org/entity/Q3546518,literal,téléGrenoble Isère,uri,http://www.wikidata.org/entity/Q142,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
71,uri,http://www.wikidata.org/entity/Q3235252,literal,Les Rêveurs de Runes,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112165919,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,fr,literal,Les Rêveurs,,,,,,,,,,,,,,,,wd:Q142
72,uri,http://www.wikidata.org/entity/Q3382454,literal,Picard Surgelés,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q112165742, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q182872,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1906-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
73,uri,http://www.wikidata.org/entity/Q58109810,literal,Martin Belaysoud Expansion,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166038,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1829-01-01T00:00:00Z,,,,,,,,,,,,,,,,,,,wd:Q142
