,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,markcap.datatype,markcap.type,markcap.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
17,uri,http://www.wikidata.org/entity/Q61125176,,literal,Q61125176,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
18,uri,http://www.wikidata.org/entity/Q5656834,en,literal,Harel Insurance Investments & Financial Services Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q43183,literal,,literal,,literal,http://www.wikidata.org/entity/Q192807,literal,,he,literal,הראל השקעות בביטוח ושרותים פיננסים בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,7253105000,,,,,,,wd:Q801
19,uri,http://www.wikidata.org/entity/Q6743833,en,literal,Tzomet Sfarim,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q221447,literal,,,,,,,,,,,,,,wd:Q801
20,uri,http://www.wikidata.org/entity/Q2896801,en,literal,The Israeli Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q152436,literal,,,,,,,,,,,,,,wd:Q801
21,uri,http://www.wikidata.org/entity/Q16132374,en,literal,Sami VeSusu,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
22,uri,http://www.wikidata.org/entity/Q2904541,en,literal,College of Management Academic Studies,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
23,uri,http://www.wikidata.org/entity/Q16129483,en,literal,Shaanan College,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
24,uri,http://www.wikidata.org/entity/Q25496335,en,literal,UVision,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2594036,literal,,,,,,,,,,,,,,wd:Q801
25,uri,http://www.wikidata.org/entity/Q1265181,en,literal,Dun & Bradstreet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1841-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q3472467, http://www.wikidata.org/entity/Q16568",literal,,,,,,,,,,,,,,wd:Q801
26,uri,http://www.wikidata.org/entity/Q2907743,en,literal,Radware,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3510521,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1635175, http://www.wikidata.org/entity/Q33935",literal,,,,,,,,,,,,,,wd:Q801
27,uri,http://www.wikidata.org/entity/Q96739624,en,literal,Rabbi Interactive,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-06-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,en,literal,Rabbi Interactive ltd,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,50,,,,wd:Q801
28,uri,http://www.wikidata.org/entity/Q97208452,en,literal,Agam Books,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q168202,literal,,,,,,,,,,,,,,wd:Q801
29,uri,http://www.wikidata.org/entity/Q1995995,en,literal,Dan Bus Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q294362,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
30,uri,http://www.wikidata.org/entity/Q104844406,en,literal,SentinelOne,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q3510521,literal,,literal,,literal,http://www.wikidata.org/entity/Q486860,literal,,,,,,,,,,,,,,wd:Q801
31,uri,http://www.wikidata.org/entity/Q106946293,en,literal,BigID,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q880371,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,,,,wd:Q801
32,uri,http://www.wikidata.org/entity/Q13612085,en,literal,i24NEWS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-07-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q11030,literal,http://www.wikidata.org/entity/Q3082719,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
33,uri,http://www.wikidata.org/entity/Q2120877,en,literal,Strauss Group Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q627371,literal,,literal,,literal,http://www.wikidata.org/entity/Q190828,literal,,he,literal,"שטראוס גרופ בע""מ",http://www.w3.org/2001/XMLSchema#decimal,literal,10215546000,,,,,,,wd:Q801
34,uri,http://www.wikidata.org/entity/Q124038890,en,literal,Webz.io,,,,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q110702998,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
35,uri,http://www.wikidata.org/entity/Q7939183,en,literal,VocalTec,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q192225,literal,,,,,,,,,,,,,,wd:Q801
36,uri,http://www.wikidata.org/entity/Q6784385,en,literal,Menora Mivtachim Holdings Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q43183,literal,,literal,,literal,,literal,,he,literal,מנורה מבטחים החזקות בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,4464859000,,,,,,,wd:Q801
37,uri,http://www.wikidata.org/entity/Q2900227,en,literal,Bank Of Jerusalem L.t.d.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,he,literal,בנק ירושלים בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,901217000,,,,,,,wd:Q801
38,uri,http://www.wikidata.org/entity/Q6585645,en,literal,Israel Film Service,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
39,uri,http://www.wikidata.org/entity/Q2903995,en,literal,Steimatzky,http://www.w3.org/2001/XMLSchema#dateTime,literal,1925-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q152659,literal,,,,,,,,,,,,,,wd:Q801
40,uri,http://www.wikidata.org/entity/Q30527111,en,literal,Gemara Sdura,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q2085381,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
41,uri,http://www.wikidata.org/entity/Q12408351,en,literal,Yeshivat Sha'alvim,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
42,uri,http://www.wikidata.org/entity/Q118342561,en,literal,B.Y5 Gallery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
43,uri,http://www.wikidata.org/entity/Q13220217,en,literal,Super-Pharm,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q152491,literal,,,,,,,,,,,,,,wd:Q801
44,uri,http://www.wikidata.org/entity/Q123477392,en,literal,Sira Pub,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-05-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
45,uri,http://www.wikidata.org/entity/Q6896869,,literal,Q6896869,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q1495452,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
46,uri,http://www.wikidata.org/entity/Q97207795,,literal,Q97207795,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q190828,literal,,,,,,,,,,,,,,wd:Q801
47,uri,http://www.wikidata.org/entity/Q6620913,,literal,Q6620913,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
48,uri,http://www.wikidata.org/entity/Q96249637,en,literal,Fat Cow,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
49,uri,http://www.wikidata.org/entity/Q56876015,en,literal,Bar-David Museum of Art and Judaica,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
50,uri,http://www.wikidata.org/entity/Q12411090,en,literal,KAPULSKI,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
51,uri,http://www.wikidata.org/entity/Q61126139,,literal,Q61126139,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
52,uri,http://www.wikidata.org/entity/Q6897102,,literal,Q6897102,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q19595701,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
53,uri,http://www.wikidata.org/entity/Q48969811,en,literal,Argus Cyber Security,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
54,uri,http://www.wikidata.org/entity/Q122863861,en,literal,Radio Al-Nas,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
55,uri,http://www.wikidata.org/entity/Q6635912,,literal,Q6635912,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
56,uri,http://www.wikidata.org/entity/Q110460017,en,literal,Aquarius Engines (A.m) Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,אקוואריוס מנועים (א.מ) בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,147350000,,,,,,,wd:Q801
57,uri,http://www.wikidata.org/entity/Q7049190,en,literal,Reshet Bet,,,,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
58,uri,http://www.wikidata.org/entity/Q6982667,en,literal,Beer Sheva Ice Cream,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q41843,literal,,,,,,,,,,,,,,wd:Q801
59,uri,http://www.wikidata.org/entity/Q59016148,en,literal,Nener & Co.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
60,uri,http://www.wikidata.org/entity/Q6827573,en,literal,Thai House restaurant,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
61,uri,http://www.wikidata.org/entity/Q105620678,,literal,Q105620678,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
62,uri,http://www.wikidata.org/entity/Q2910200,en,literal,Channel 9,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-11-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2916719,literal,,,,,,,,,,,,,,wd:Q801
63,uri,http://www.wikidata.org/entity/Q333705,en,literal,Technion – Israel Institute of Technology,http://www.w3.org/2001/XMLSchema#dateTime,literal,1924-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q41621,literal,,,,,,,,,,,,,,wd:Q801
64,uri,http://www.wikidata.org/entity/Q58207104,en,literal,Yotpo,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,,,,wd:Q801
65,uri,http://www.wikidata.org/entity/Q1049887,en,literal,Castro Model Ltd.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q12684,literal,,literal,,literal,http://www.wikidata.org/entity/Q208725,literal,,he,literal,קסטרו מודל בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,700636000,http://www.w3.org/2001/XMLSchema#decimal,literal,1457,,,,wd:Q801
66,uri,http://www.wikidata.org/entity/Q96407472,en,literal,TIPA Corp,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
67,uri,http://www.wikidata.org/entity/Q154610,en,literal,Rafael Advanced Defense Systems,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q392933,literal,http://www.wikidata.org/entity/Q213123,literal,,literal,"http://www.wikidata.org/entity/Q152374, http://www.wikidata.org/entity/Q801",literal,,en,literal,Rafael Advanced Defense Systems Ltd.,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8000,http://www.w3.org/2001/XMLSchema#decimal,literal,133000000,wd:Q801
68,uri,http://www.wikidata.org/entity/Q61717632,en,literal,VoisFarsi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
69,uri,http://www.wikidata.org/entity/Q7026334,en,literal,Fattal Holdings (1998) Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,http://www.wikidata.org/entity/Q555350,literal,,he,literal,פתאל החזקות (1998) בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,6140013000,,,,,,,wd:Q801
70,uri,http://www.wikidata.org/entity/Q105549224,en,literal,The National Authority for Yiddish Culture,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
71,uri,http://www.wikidata.org/entity/Q671700,en,literal,Israel Postal Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,http://www.wikidata.org/entity/Q1218,literal,,,,,,,,,,,,,,wd:Q801
72,uri,http://www.wikidata.org/entity/Q7161751,en,literal,Pelter Winery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q105944541,literal,,literal,,literal,http://www.wikidata.org/entity/Q2909997,literal,,,,,,,,,,,,,,wd:Q801
73,uri,http://www.wikidata.org/entity/Q117424639,en,literal,Clover Bite,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q41621,literal,,,,,,,,,,,,,,wd:Q801
74,uri,http://www.wikidata.org/entity/Q553149,en,literal,Sun d'Or International Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
75,uri,http://www.wikidata.org/entity/Q99632665,en,literal,Comikaza,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-09-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
76,uri,http://www.wikidata.org/entity/Q6979325,en,literal,The Eight Note,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
77,uri,http://www.wikidata.org/entity/Q61126718,en,literal,Golan Brewery,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1736959,literal,,,,,,,,,,,,,,wd:Q801
78,uri,http://www.wikidata.org/entity/Q6891113,en,literal,AM:PM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
79,uri,http://www.wikidata.org/entity/Q6564842,en,literal,Victory Supermarket Chain Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,he,literal,ויקטורי רשת סופרמרקטים בע''מ,http://www.w3.org/2001/XMLSchema#decimal,literal,614252000,,,,,,,wd:Q801
80,uri,http://www.wikidata.org/entity/Q6604030,en,literal,Reshet Moreshet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
81,uri,http://www.wikidata.org/entity/Q6561327,en,literal,Yenot Bitan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q801
82,uri,http://www.wikidata.org/entity/Q47481944,en,literal,Endemol Shine Israel,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q801,literal,http://www.wikidata.org/entity/Q289,literal,,literal,,literal,http://www.wikidata.org/entity/Q33935,literal,,,,,,,,,,,,,,wd:Q801
