,business.type,business.value,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,businessLabel.xml:lang,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
10,uri,http://www.wikidata.org/entity/Q5392048,literal,University of Caxias do Sul,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
11,uri,http://www.wikidata.org/entity/Q10310944,literal,Jovem Pan FM São Paulo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,,,,,,,,,,,,,,,,wd:Q155
12,uri,http://www.wikidata.org/entity/Q10376840,literal,TV Aldeia,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q171612,literal,,en,,,,,,,,,,,,,,,,wd:Q155
13,uri,http://www.wikidata.org/entity/Q7232169,literal,Porto Seguro S.A.,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
14,uri,http://www.wikidata.org/entity/Q10377377,literal,TV Morena,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q168929,literal,,en,,,,,,,,,,,,,,,,wd:Q155
15,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,wd:Q155
16,uri,http://www.wikidata.org/entity/Q28679515,literal,Thermas dos Laranjais,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
17,uri,http://www.wikidata.org/entity/Q10377506,literal,RecordTV Interior RJ,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q689868,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-07-16T00:00:00Z,,,,,,,,,,,,,wd:Q155
18,uri,http://www.wikidata.org/entity/Q9669704,literal,CBN São Paulo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-10-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
19,uri,http://www.wikidata.org/entity/Q5440477,literal,Federal University of Maranhão,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-10-21T00:00:00Z,,,,,,,,,,,,,wd:Q155
20,uri,http://www.wikidata.org/entity/Q1428656,literal,Vivo,uri,http://www.wikidata.org/entity/Q155,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8386,,,,,,,wd:Q155
21,uri,http://www.wikidata.org/entity/Q746413,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,wd:Q155
22,uri,http://www.wikidata.org/entity/Q20053339,literal,Cinematográfica Araújo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1926-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
23,uri,http://www.wikidata.org/entity/Q20060839,literal,Reserva,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
24,uri,http://www.wikidata.org/entity/Q794939,literal,B&B Hotels,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,en,literal,B&B Hotels,,,,,,,,,,wd:Q155
25,uri,http://www.wikidata.org/entity/Q10366210,literal,Q10366210,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,wd:Q155
26,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q45,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,wd:Q155
27,uri,http://www.wikidata.org/entity/Q7553274,literal,Sodimac,uri,http://www.wikidata.org/entity/Q77,literal,http://www.wikidata.org/entity/Q26643,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
28,uri,http://www.wikidata.org/entity/Q10376968,literal,Q10376968,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,wd:Q155
29,uri,http://www.wikidata.org/entity/Q10383264,literal,Top TV,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
30,uri,http://www.wikidata.org/entity/Q110255110,literal,Comix Book Shop,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-10-31T00:00:00Z,,,,,,,,,,,,,wd:Q155
31,uri,http://www.wikidata.org/entity/Q16496450,literal,State Bank of Para,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q12829733,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
32,uri,http://www.wikidata.org/entity/Q10356783,literal,RPC Cascavel,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q205681,literal,,en,,,,,,,,,,,,,,,,wd:Q155
33,uri,http://www.wikidata.org/entity/Q2840233,literal,Rio de Janeiro State University,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1950-12-04T00:00:00Z,,,,,,,,,,,,,wd:Q155
34,uri,http://www.wikidata.org/entity/Q10366003,literal,Q10366003,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,wd:Q155
35,uri,http://www.wikidata.org/entity/Q16492860,literal,Aperipê TV,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q170578,literal,,en,,,,,,,,,,,,,,,,wd:Q155
36,uri,http://www.wikidata.org/entity/Q10377383,literal,TV Mossoró,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q694845,literal,,en,,,,,,,,,,,,,,,,wd:Q155
37,uri,http://www.wikidata.org/entity/Q109562493,literal,Bio Mundo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
38,uri,http://www.wikidata.org/entity/Q10377476,literal,TV Ponta Negra,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q131620,literal,,en,,,,,,,,,,,,,,,,wd:Q155
39,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q1183,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,wd:Q155
40,uri,http://www.wikidata.org/entity/Q10303066,literal,Q10303066,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q194338,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-08-07T00:00:00Z,,,,,,,,,,,,,wd:Q155
41,uri,http://www.wikidata.org/entity/Q116460186,literal,Ludic Studios,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
42,uri,http://www.wikidata.org/entity/Q10376941,literal,TV Bandeirantes Triângulo,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q381733, http://www.wikidata.org/entity/Q194328",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-06-09T00:00:00Z,,,,,,,,,,,,,wd:Q155
43,uri,http://www.wikidata.org/entity/Q18472024,literal,Q18472024,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,wd:Q155
44,uri,http://www.wikidata.org/entity/Q56377600,literal,Super Liga Americana de Rugby,uri,http://www.wikidata.org/entity/Q733,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
45,uri,http://www.wikidata.org/entity/Q10365727,literal,Q10365727,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132997,literal,,,,,,,,,,,,,,,,,,wd:Q155
46,uri,http://www.wikidata.org/entity/Q113686579,literal,Pulsatrix Studios,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,,,,,,,,,,,,,,,,wd:Q155
47,uri,http://www.wikidata.org/entity/Q56350351,literal,QuintoAndar,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q1660132,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,,,,,,,,,,,,,,,,wd:Q155
48,uri,http://www.wikidata.org/entity/Q10365678,literal,Radio RB2,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4361,literal,,en,,,,,,,,,,,,,,,,wd:Q155
49,uri,http://www.wikidata.org/entity/Q106752739,literal,BMart,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
50,uri,http://www.wikidata.org/entity/Q10377510,literal,RecordTV Rio Preto,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q192181,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-09-15T00:00:00Z,,,,,,,,,,,,,wd:Q155
51,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q733,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,wd:Q155
52,uri,http://www.wikidata.org/entity/Q10376936,literal,TV Bandeirantes Rio de Janeiro,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-09-09T00:00:00Z,,,,,,,,,,,,,wd:Q155
53,uri,http://www.wikidata.org/entity/Q10272036,literal,Elo,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q461773,literal,,en,,,,,,,,,,,,,,,,wd:Q155
54,uri,http://www.wikidata.org/entity/Q6176628,literal,Livraria Leitura,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q42800,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
55,uri,http://www.wikidata.org/entity/Q10294613,literal,Q10294613,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43463,literal,,,,,,,,,,,,,,,,,,wd:Q155
56,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q45,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,wd:Q155
57,uri,http://www.wikidata.org/entity/Q10374898,literal,Super Rádio Tupi,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q8678,literal,,en,,,,,,,,,,,,,,,,wd:Q155
58,uri,http://www.wikidata.org/entity/Q9672077,literal,IESSI Music Entertainment,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q36947,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
59,uri,http://www.wikidata.org/entity/Q52831109,literal,Banana da Terra,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
60,uri,http://www.wikidata.org/entity/Q112148938,literal,Naoka Games,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
61,uri,http://www.wikidata.org/entity/Q48861155,literal,Moviemax,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
62,uri,http://www.wikidata.org/entity/Q60633910,literal,Galope,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
63,uri,http://www.wikidata.org/entity/Q10377607,literal,TV Tiradentes,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q40236,literal,,en,,,,,,,,,,,,,,,,wd:Q155
64,uri,http://www.wikidata.org/entity/Q56377600,literal,Super Liga Americana de Rugby,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
65,uri,http://www.wikidata.org/entity/Q665537,literal,RBS TV,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q289,literal,,literal,,literal,http://www.wikidata.org/entity/Q40269,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-12-29T00:00:00Z,,,,,,,,,,,,,wd:Q155
66,uri,http://www.wikidata.org/entity/Q746413,literal,Elsevier BV,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,wd:Q155
67,uri,http://www.wikidata.org/entity/Q18499737,literal,Q18499737,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4361,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-02T00:00:00Z,,,,,,,,,,,,,wd:Q155
68,uri,http://www.wikidata.org/entity/Q10365626,literal,Q10365626,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q193016,literal,,,,,,,,,,,,,,,,,,wd:Q155
69,uri,http://www.wikidata.org/entity/Q18486519,literal,TV UFSC,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132997,literal,http://www.wikidata.org/entity/Q1851075,en,,,,,,,,,,,,,,,,wd:Q155
70,uri,http://www.wikidata.org/entity/Q6729763,literal,Magazine Luiza,uri,http://www.wikidata.org/entity/Q155,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q504587,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,30000,,,,,,,wd:Q155
71,uri,http://www.wikidata.org/entity/Q110920533,literal,TV Cidade,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1807313,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-05-13T00:00:00Z,,,,,,,,,,,,,wd:Q155
72,uri,http://www.wikidata.org/entity/Q9645540,literal,Q9645540,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2844,literal,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-06-19T00:00:00Z,,,,,,,,,,,,,wd:Q155
73,uri,http://www.wikidata.org/entity/Q10302571,literal,Mises Brazil Institute,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q6092447,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
74,uri,http://www.wikidata.org/entity/Q10303075,literal,InterTV Serra+Mar,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q468563,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-05-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
75,uri,http://www.wikidata.org/entity/Q10300990,literal,Adore FM,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,,,,,,,,,,,,,,,,wd:Q155
76,uri,http://www.wikidata.org/entity/Q10335736,literal,Nativa FM,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-03-10T00:00:00Z,,,,,,,,,,,,,wd:Q155
77,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,wd:Q155
78,uri,http://www.wikidata.org/entity/Q20052760,literal,Behold Studios,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
79,uri,http://www.wikidata.org/entity/Q122981703,literal,Measuring Masters,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
80,uri,http://www.wikidata.org/entity/Q10300984,literal,Iguatemi Empresa de Shopping Centers S.A.,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
81,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q733,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,,,,wd:Q155
82,uri,http://www.wikidata.org/entity/Q5091543,literal,Faculdade Cásper Líbero,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
83,uri,http://www.wikidata.org/entity/Q510648,literal,Beto Carrero World,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-12-28T00:00:00Z,,,,,,,,,,,,,wd:Q155
84,uri,http://www.wikidata.org/entity/Q10377464,literal,TV PinGuim,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q11425,literal,,literal,,literal,http://www.wikidata.org/entity/Q174,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
85,uri,http://www.wikidata.org/entity/Q109774525,literal,Amazônia Real,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q11024,literal,,literal,,literal,http://www.wikidata.org/entity/Q40236,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-10-21T00:00:00Z,,,,,,,,,,,,,wd:Q155
86,uri,http://www.wikidata.org/entity/Q421023,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q736,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,,,,wd:Q155
87,uri,http://www.wikidata.org/entity/Q16497238,literal,Baterias Moura,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q949079,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
88,uri,http://www.wikidata.org/entity/Q109007293,literal,Lunic Games,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q81882,literal,,en,,,,,,,,,,,,,,,,wd:Q155
89,uri,http://www.wikidata.org/entity/Q10366357,literal,SBT Central,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1759235,literal,,en,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-01-01T00:00:00Z,,,,,,,,,,,,,wd:Q155
90,uri,http://www.wikidata.org/entity/Q10377579,literal,TV Sul Bahia,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q282335,literal,,en,,,,,,,,,,,,,,,,wd:Q155
91,uri,http://www.wikidata.org/entity/Q7008268,literal,Rede Gospel,uri,http://www.wikidata.org/entity/Q155,literal,,literal,,literal,,literal,,literal,,en,,,,,,,,,,,,,,,,wd:Q155
