,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,officialname.xml:lang,officialname.type,officialname.value,country
11,uri,http://www.wikidata.org/entity/Q106219885,en,literal,Kaspi.kz Joint Stock Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q16319025,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3621,,,,,,,,,,,,,wd:Q232
12,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q159,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
13,uri,http://www.wikidata.org/entity/Q117351534,en,literal,Solva,,,,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
14,uri,http://www.wikidata.org/entity/Q4153367,en,literal,Bereke Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
15,uri,http://www.wikidata.org/entity/Q2363611,en,literal,Nashe Radio,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q159,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
16,uri,http://www.wikidata.org/entity/Q71027149,en,literal,INTERTOP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1899,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1600,,,,,,,,,,,,,wd:Q232
17,uri,http://www.wikidata.org/entity/Q1388078,en,literal,Kazakhstan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-03-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
18,uri,http://www.wikidata.org/entity/Q115575403,en,literal,Home Credit Bank Kazakhstan,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,5875,,,,,,,,,,,,,wd:Q232
19,uri,http://www.wikidata.org/entity/Q4341877,en,literal,A. P. Chekhov Drama Theatre,,,,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
20,uri,http://www.wikidata.org/entity/Q1388078,en,literal,Kazakhstan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-03-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q168811,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
21,uri,http://www.wikidata.org/entity/Q1069105,en,literal,Kazakhstan Temir Zholy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-03-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q7590,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,146000,,,,,,,,,,,,,wd:Q232
22,uri,http://www.wikidata.org/entity/Q4881566,en,literal,Bek Air,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q487439,literal,,,,,,,,,,,,,,,,,wd:Q232
23,uri,http://www.wikidata.org/entity/Q1046186,en,literal,Halyk Bank of Kazakhstan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-08-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,16131,http://www.w3.org/2001/XMLSchema#decimal,literal,539111000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1886514000000,,,,,,,wd:Q232
24,uri,http://www.wikidata.org/entity/Q122158735,,literal,Q122158735,,,,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
25,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q184,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
26,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
27,uri,http://www.wikidata.org/entity/Q2363611,en,literal,Nashe Radio,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q33,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
28,uri,http://www.wikidata.org/entity/Q4407014,en,literal,Samruk-Kazyna,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q12162227, http://www.wikidata.org/entity/Q773103",literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,262200,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,60600000000,,,,wd:Q232
29,uri,http://www.wikidata.org/entity/Q4044677,en,literal,MuzzOne,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
30,uri,http://www.wikidata.org/entity/Q4030316,en,literal,Khabar 24,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-09-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
31,uri,http://www.wikidata.org/entity/Q406828,en,literal,Air Astana,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,4600,,,,,,,,,,,,,wd:Q232
32,uri,http://www.wikidata.org/entity/Q1548349,,literal,Q1548349,,,,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
33,uri,http://www.wikidata.org/entity/Q21843640,en,literal,Bank RBK,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
34,uri,http://www.wikidata.org/entity/Q27628221,en,literal,Kazakhstan Engineering,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-03-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q392933,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,en,literal,JSC National Company Kazakhstan Engineering,wd:Q232
35,uri,http://www.wikidata.org/entity/Q120483504,en,literal,Radio Azattyq,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-03-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q35493, http://www.wikidata.org/entity/Q1520",literal,http://www.wikidata.org/entity/Q485500,,,,,,,,,,,,,,,,wd:Q232
36,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q229,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
37,uri,http://www.wikidata.org/entity/Q25485074,en,literal,Jýsan Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
38,uri,http://www.wikidata.org/entity/Q115921434,en,literal,Cofix Global,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,http://www.wikidata.org/entity/Q115921261,literal,,literal,http://www.wikidata.org/entity/Q229,literal,,,,,,,,,,,,,,,,,wd:Q232
39,uri,http://www.wikidata.org/entity/Q110635099,en,literal,Sister's Aroma,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q212,literal,http://www.wikidata.org/entity/Q12752882,literal,,literal,,literal,http://www.wikidata.org/entity/Q1899,literal,,,,,,,,,,,,,,en,literal,Sisters Aroma,wd:Q232
40,uri,http://www.wikidata.org/entity/Q2363611,en,literal,Nashe Radio,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
41,uri,http://www.wikidata.org/entity/Q13421587,en,literal,Kaznetmedia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
42,uri,http://www.wikidata.org/entity/Q127745,en,literal,L. N. Gumilyov Eurasian National University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1678,,,,,,,,,,,,,wd:Q232
43,uri,http://www.wikidata.org/entity/Q118489552,en,literal,The Television and Radio Complex of the President of the Republic of Kazakhstan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q5256775,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,ru,literal,"Некоммерческое акционерное общество ""Телерадиокомплекс Президента Республики Казахстан""",wd:Q232
44,uri,http://www.wikidata.org/entity/Q1590386,en,literal,Kazatomprom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-07-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q44497,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,21000,http://www.w3.org/2001/XMLSchema#decimal,literal,472963000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1696503000000,,,,,,,wd:Q232
45,uri,http://www.wikidata.org/entity/Q45906,en,literal,Jibek Joly TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1520,literal,,,,,,,,,,,,,,,,,wd:Q232
46,uri,http://www.wikidata.org/entity/Q1336498,en,literal,ForteBank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q43015,literal,,literal,,literal,"http://www.wikidata.org/entity/Q35493, http://www.wikidata.org/entity/Q1520",literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,3492,,,,,,,,,,,,,wd:Q232
47,uri,http://www.wikidata.org/entity/Q4289246,en,literal,Mektep,http://www.w3.org/2001/XMLSchema#dateTime,literal,1947-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q232
48,uri,http://www.wikidata.org/entity/Q110635099,en,literal,Sister's Aroma,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q12752882,literal,,literal,,literal,http://www.wikidata.org/entity/Q1899,literal,,,,,,,,,,,,,,en,literal,Sisters Aroma,wd:Q232
49,uri,http://www.wikidata.org/entity/Q746263,en,literal,Kazpost,http://www.w3.org/2001/XMLSchema#dateTime,literal,1883-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,http://www.wikidata.org/entity/Q49845,literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
50,uri,http://www.wikidata.org/entity/Q101436234,en,literal,rabotanur.kz,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q232,literal,"http://www.wikidata.org/entity/Q629194, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q35493,literal,,,,,,,,,,,,,,,,,wd:Q232
