,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,assets.datatype,assets.type,assets.value,country
10,uri,http://www.wikidata.org/entity/Q21018770,en,literal,CyberZ,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q11639523,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
11,uri,http://www.wikidata.org/entity/Q110037739,en,literal,npckc,,,,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
12,uri,http://www.wikidata.org/entity/Q1368019,en,literal,Citizen Watch,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q41767,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18000,,,,,,,,,,,,,wd:Q17
13,uri,http://www.wikidata.org/entity/Q843734,en,literal,Setonaikai Broadcasting,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q1254874,literal,,literal,,literal,http://www.wikidata.org/entity/Q200707,literal,,ja,literal,株式会社瀬戸内海放送,,,,,,,,,,,,,,,,wd:Q17
14,uri,http://www.wikidata.org/entity/Q11564419,en,literal,Tameike Goro,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
15,uri,http://www.wikidata.org/entity/Q11656610,en,literal,Hankyu Ferry,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-04-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q11640494,literal,,literal,,literal,http://www.wikidata.org/entity/Q123258,literal,,ja,literal,阪九フェリー株式会社,,,,,,,,,,,,,,,,wd:Q17
16,uri,http://www.wikidata.org/entity/Q111986134,en,literal,Boundary,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q234087,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
17,uri,http://www.wikidata.org/entity/Q843353,en,literal,Ryukyu Asahi Broadcasting,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q1254874,literal,,literal,,literal,http://www.wikidata.org/entity/Q181966,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
18,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1326594, http://www.wikidata.org/entity/Q1341477",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q1230458, http://www.wikidata.org/entity/Q6571804",,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,,,,,,,wd:Q17
19,uri,http://www.wikidata.org/entity/Q11330257,en,literal,Human Holdings,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-08-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
20,uri,http://www.wikidata.org/entity/Q11590836,en,literal,Kamiya Bar,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
21,uri,http://www.wikidata.org/entity/Q11283839,en,literal,United Performers’ Studio,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
22,uri,http://www.wikidata.org/entity/Q28691848,en,literal,Happy Elements,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q393454,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,651,,,,,,,,,,,,,wd:Q17
23,uri,http://www.wikidata.org/entity/Q11343494,,literal,Q11343494,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-02-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q617375,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
24,uri,http://www.wikidata.org/entity/Q111516144,en,literal,Bandai Namco Amusement,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-03-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q190088,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
25,uri,http://www.wikidata.org/entity/Q684783,en,literal,Kanazawa University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-05-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q191130,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
26,uri,http://www.wikidata.org/entity/Q11402749,en,literal,Hokkaido Takushoku Bus,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-12-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q35581,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
27,uri,http://www.wikidata.org/entity/Q11234491,en,literal,Tenryu Hamanako Railroad,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-08-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q22667,literal,,literal,,literal,http://www.wikidata.org/entity/Q5370092,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
28,uri,http://www.wikidata.org/entity/Q11487454,en,literal,Yayoi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
29,uri,http://www.wikidata.org/entity/Q1150494,en,literal,New Japan Pro-Wrestling,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-13T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q131359,literal,,literal,,literal,http://www.wikidata.org/entity/Q234087,literal,,en,literal,"New Japan Pro-Wrestling Co., Ltd.",http://www.w3.org/2001/XMLSchema#decimal,literal,78,,,,,,,,,,,,,wd:Q17
30,uri,http://www.wikidata.org/entity/Q5368597,en,literal,Tokyo Summerland,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-09-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
31,uri,http://www.wikidata.org/entity/Q1557223,en,literal,Lawson,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-04-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q15825471,literal,,literal,,literal,http://www.wikidata.org/entity/Q11301680,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
32,uri,http://www.wikidata.org/entity/Q11227455,en,literal,KAJIMOTO,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-05-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
33,uri,http://www.wikidata.org/entity/Q11530220,en,literal,Matsuzaki Onsen,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
34,uri,http://www.wikidata.org/entity/Q11305613,en,literal,Sanzigen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q232631,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
35,uri,http://www.wikidata.org/entity/Q40893923,en,literal,CULEN Inc.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-07-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q190088,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
36,uri,http://www.wikidata.org/entity/Q3077400,en,literal,Luxman,http://www.w3.org/2001/XMLSchema#dateTime,literal,1925-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q581105,literal,,literal,,literal,http://www.wikidata.org/entity/Q38283,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
37,uri,http://www.wikidata.org/entity/Q65071046,en,literal,Maho Film,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-05-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q232631,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
38,uri,http://www.wikidata.org/entity/Q111893481,en,literal,Implausible Industries,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
39,uri,http://www.wikidata.org/entity/Q11580457,en,literal,Hakuba Cortina Snow Resort,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
40,uri,http://www.wikidata.org/entity/Q11653633,en,literal,Nagaragawa Onsen,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
41,uri,http://www.wikidata.org/entity/Q72515975,en,literal,Dairy Farming Kingdom Oratche,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
42,uri,http://www.wikidata.org/entity/Q11272835,en,literal,Debonosu Works,,,,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
43,uri,http://www.wikidata.org/entity/Q607621,en,literal,Tokyo Marui,http://www.w3.org/2001/XMLSchema#dateTime,literal,1965-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q213464,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
44,uri,http://www.wikidata.org/entity/Q11639489,en,literal,Zushi Marina,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
45,uri,http://www.wikidata.org/entity/Q11254147,en,literal,Weblio,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-08-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
46,uri,http://www.wikidata.org/entity/Q11634467,en,literal,Kaikake Onsen,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
47,uri,http://www.wikidata.org/entity/Q5509800,en,literal,Furukawa Electric,http://www.w3.org/2001/XMLSchema#dateTime,literal,1884-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
48,uri,http://www.wikidata.org/entity/Q1355621,en,literal,Wako,http://www.w3.org/2001/XMLSchema#dateTime,literal,1881-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q746052,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
49,uri,http://www.wikidata.org/entity/Q22118993,en,literal,Japanese Soba Noodles Tsuta,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
50,uri,http://www.wikidata.org/entity/Q11517910,en,literal,Kinoya Ishinomaki Suisan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-05-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q47896,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
51,uri,http://www.wikidata.org/entity/Q11383305,en,literal,Sado Steam Ship,http://www.w3.org/2001/XMLSchema#dateTime,literal,1913-02-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q11362657,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
52,uri,http://www.wikidata.org/entity/Q107656732,en,literal,OperaHouse,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q214051,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
53,uri,http://www.wikidata.org/entity/Q1188230,en,literal,Nankai Electric Railway,http://www.w3.org/2001/XMLSchema#dateTime,literal,1884-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q65269337,literal,,en,literal,"Nankai Electric Railway Co., Ltd.",,,,,,,,,,,,,,,,wd:Q17
54,uri,http://www.wikidata.org/entity/Q47542352,en,literal,Sasanoyuki,http://www.w3.org/2001/XMLSchema#dateTime,literal,1691-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11536292,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
55,uri,http://www.wikidata.org/entity/Q65142438,en,literal,Hokuriku Electric Power Transmission & Distribution Company,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
56,uri,http://www.wikidata.org/entity/Q11304138,en,literal,CyberAgent,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-03-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q56611700,literal,,literal,,literal,http://www.wikidata.org/entity/Q11641777,literal,,ja,literal,株式会社サイバーエージェント,,,,,,,,,,,,,,,,wd:Q17
57,uri,http://www.wikidata.org/entity/Q5010964,en,literal,CGC Japan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
58,uri,http://www.wikidata.org/entity/Q11522605,en,literal,Kyorindo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-02-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q131320,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
59,uri,http://www.wikidata.org/entity/Q11517725,en,literal,Asarigawaonsen Ski Resort,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
60,uri,http://www.wikidata.org/entity/Q11541601,en,literal,Rakuten Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,"http://www.wikidata.org/entity/Q42913661, http://www.wikidata.org/entity/Q71142467",literal,http://www.wikidata.org/entity/Q56702850,literal,http://www.wikidata.org/entity/Q1490,literal,,en,literal,"Rakuten Bank, Ltd.",,,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,25954000000,,,,wd:Q17
61,uri,http://www.wikidata.org/entity/Q11244229,en,literal,Spotted Productions,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-02-08T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
62,uri,http://www.wikidata.org/entity/Q11318300,en,literal,CHARM,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
63,uri,http://www.wikidata.org/entity/Q4670567,en,literal,AbukumaExpress,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-04-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q858423,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
64,uri,http://www.wikidata.org/entity/Q1030691,en,literal,NTT Data Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q1540863, http://www.wikidata.org/entity/Q1481411",literal,,literal,,literal,http://www.wikidata.org/entity/Q3536037,literal,,ja,literal,株式会社NTTデータグループ,,,,,,,,,,,,,,,,wd:Q17
65,uri,http://www.wikidata.org/entity/Q17193392,en,literal,Inageya,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-05-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
66,uri,http://www.wikidata.org/entity/Q47004383,en,literal,Akatsuki,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-02-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q232631,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
67,uri,http://www.wikidata.org/entity/Q11305612,en,literal,Saint-Germain,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-05-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
68,uri,http://www.wikidata.org/entity/Q1057199,en,literal,Hokkaido University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1918-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,"http://www.wikidata.org/entity/Q47536230, http://www.wikidata.org/entity/Q101521838",literal,http://www.wikidata.org/entity/Q1134013,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
69,uri,http://www.wikidata.org/entity/Q11272065,en,literal,Chiyoda Sushi,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
70,uri,http://www.wikidata.org/entity/Q3062870,en,literal,Nakajima Racing,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-02-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
71,uri,http://www.wikidata.org/entity/Q117018057,en,literal,BUG FILMS,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-09-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q2575347,literal,,literal,,literal,http://www.wikidata.org/entity/Q232631,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
72,uri,http://www.wikidata.org/entity/Q909044,en,literal,Nagoya Broadcasting Network,http://www.w3.org/2001/XMLSchema#dateTime,literal,1961-09-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11751,literal,,ja,literal,名古屋テレビ放送株式会社,,,,,,,,,,,,,,,,wd:Q17
73,uri,http://www.wikidata.org/entity/Q54569524,en,literal,Swift Xi Inc.,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,"http://www.wikidata.org/entity/Q936518, http://www.wikidata.org/entity/Q11661",literal,http://www.wikidata.org/entity/Q4387781,literal,,literal,http://www.wikidata.org/entity/Q48320,literal,,en,literal,Swift Xi Inc.,,,,,,,,,,,,,,,,wd:Q17
74,uri,http://www.wikidata.org/entity/Q22123678,,literal,Q22123678,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
75,uri,http://www.wikidata.org/entity/Q1188274,en,literal,Keihan Electric Railway,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q178512,literal,,literal,,literal,http://www.wikidata.org/entity/Q11439997,literal,,ja,literal,京阪電気鉄道株式会社,,,,,,,,,,,,,,,,wd:Q17
76,uri,http://www.wikidata.org/entity/Q97342063,en,literal,Creation Gallery G8,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
77,uri,http://www.wikidata.org/entity/Q11120884,en,literal,Royal Host,,,,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
78,uri,http://www.wikidata.org/entity/Q11336885,en,literal,KK Bestsellers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-11-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q17,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q212713,literal,,,,,,,,,,,,,,,,,,,,wd:Q17
