,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,officialname.xml:lang,officialname.type,officialname.value,country
10,uri,http://www.wikidata.org/entity/Q1150302,en,literal,Mandarin Airlines,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
11,uri,http://www.wikidata.org/entity/Q15909249,en,literal,Aloha Bus,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q181557,literal,,,,,,,,,,,,,,,,,wd:Q865
12,uri,http://www.wikidata.org/entity/Q324901,en,literal,Transcend Information,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q193395,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
13,uri,http://www.wikidata.org/entity/Q10891540,en,literal,E-LIFE Mall Corporation,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
14,uri,http://www.wikidata.org/entity/Q15897293,en,literal,I-Mei Foods,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
15,uri,http://www.wikidata.org/entity/Q30946058,en,literal,Farglory Life,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q626608,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
16,uri,http://www.wikidata.org/entity/Q5434486,en,literal,Far EasTone,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
17,uri,http://www.wikidata.org/entity/Q10915540,en,literal,"The Eastern Publishing Co., Ltd.",,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1945-10-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
18,uri,http://www.wikidata.org/entity/Q60996201,en,literal,My Formosa,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-12-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
19,uri,http://www.wikidata.org/entity/Q113449759,en,literal,Eastern Top Transportation,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-06-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q713381,literal,,,,,,,,,,,,,,zh-tw,literal,東台灣汽車客運股份有限公司,wd:Q865
20,uri,http://www.wikidata.org/entity/Q142054,en,literal,Kumon,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q884,literal,http://www.wikidata.org/entity/Q8434,literal,,literal,,literal,http://www.wikidata.org/entity/Q35765,literal,,,,,,,,,,,,,,,,,wd:Q865
21,uri,http://www.wikidata.org/entity/Q48927961,en,literal,Yuanta Life Insurance,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-02T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q626608,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
22,uri,http://www.wikidata.org/entity/Q16241445,en,literal,Atayal Resort,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,zh-tw,literal,泰雅渡假村,wd:Q865
23,uri,http://www.wikidata.org/entity/Q711934,en,literal,Nankang Rubber Tire,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-02-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
24,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,en,literal,Hello Health Group Pte. Ltd,wd:Q865
25,uri,http://www.wikidata.org/entity/Q4642867,en,literal,President Chain Store Corporation,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-06-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,zh-tw,literal,統一超商股份有限公司,wd:Q865
26,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,en,literal,Hello Health Group Pte. Ltd,wd:Q865
27,uri,http://www.wikidata.org/entity/Q107183588,en,literal,Chung Kuo Insurance,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q844385,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
28,uri,http://www.wikidata.org/entity/Q4648764,en,literal,A.mart,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
29,uri,http://www.wikidata.org/entity/Q697130,en,literal,Central News Agency,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1924-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,en,literal,Central News Agency,wd:Q865
30,uri,http://www.wikidata.org/entity/Q13640980,en,literal,Kaohsiung Grand Hotel,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
31,uri,http://www.wikidata.org/entity/Q6136958,en,literal,Taichung Commercial Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1953-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q245023,literal,,,,,,,,,,,,,,,,,wd:Q865
32,uri,http://www.wikidata.org/entity/Q4806490,en,literal,Asia University,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
33,uri,http://www.wikidata.org/entity/Q17012917,en,literal,Joint Publishing (Hong Kong),,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-10-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q956,literal,,,,,,,,,,,,,,,,,wd:Q865
34,uri,http://www.wikidata.org/entity/Q56273145,,literal,Q56273145,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
35,uri,http://www.wikidata.org/entity/Q700435,en,literal,China Television,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-09-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q15078788,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,http://www.wikidata.org/entity/Q15895901,,,,,,,,,,,,,,,,wd:Q865
36,uri,http://www.wikidata.org/entity/Q711850,en,literal,Evergreen Group,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1968-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q1757562, http://www.wikidata.org/entity/Q320020, http://www.wikidata.org/entity/Q177777, http://www.wikidata.org/entity/Q155930, http://www.wikidata.org/entity/Q41958, http://www.wikidata.org/entity/Q27686",literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
37,uri,http://www.wikidata.org/entity/Q48901157,,literal,Q48901157,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-08-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
38,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,,,,uri,http://www.wikidata.org/entity/Q921,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q865
39,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,en,literal,Hello Health Group Pte. Ltd,wd:Q865
40,uri,http://www.wikidata.org/entity/Q3113598,en,literal,The Splendor Hotel Taichung,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
41,uri,http://www.wikidata.org/entity/Q66817734,en,literal,Shuzhou Bookstore,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
42,uri,http://www.wikidata.org/entity/Q17026399,en,literal,Gloria Prince Hotel,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
43,uri,http://www.wikidata.org/entity/Q701761,en,literal,Uni Air,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-08-06T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q271167,literal,,,,,,,,,,,,,,,,,wd:Q865
44,uri,http://www.wikidata.org/entity/Q502935,en,literal,Micro-Star International,http://www.w3.org/2001/XMLSchema#decimal,literal,18000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q11650,literal,,literal,,literal,http://www.wikidata.org/entity/Q197859,literal,,,,,,,,,,,,,,,,,wd:Q865
45,uri,http://www.wikidata.org/entity/Q15910512,,literal,Q15910512,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-11-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
46,uri,http://www.wikidata.org/entity/Q97253116,en,literal,COMEBUY,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q4899370,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
47,uri,http://www.wikidata.org/entity/Q48897456,,literal,Q48897456,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-06-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
48,uri,http://www.wikidata.org/entity/Q93894,en,literal,ASRock,http://www.w3.org/2001/XMLSchema#decimal,literal,190,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q3966,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,en,literal,ASRock Inc.,wd:Q865
49,uri,http://www.wikidata.org/entity/Q108366217,en,literal,Mr. Mark,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
50,uri,http://www.wikidata.org/entity/Q7212656,en,literal,Hsinta Power Plant,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
51,uri,http://www.wikidata.org/entity/Q15715284,en,literal,TKK Fried Chicken,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-07-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q2095,literal,,literal,,literal,http://www.wikidata.org/entity/Q244898,literal,,,,,,,,,,,,,,,,,wd:Q865
52,uri,http://www.wikidata.org/entity/Q703557,en,literal,Giant Bicycles,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q17018236,literal,,literal,,literal,http://www.wikidata.org/entity/Q569611,literal,,,,,,,,,,,,,,,,,wd:Q865
53,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q424,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,en,literal,Hello Health Group Pte. Ltd,wd:Q865
54,uri,http://www.wikidata.org/entity/Q697130,en,literal,Central News Agency,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1924-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,zh-tw,literal,財團法人中央通訊社,wd:Q865
55,uri,http://www.wikidata.org/entity/Q1888861,en,literal,Mandarin Daily News,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
56,uri,http://www.wikidata.org/entity/Q10915433,en,literal,Taiwan Taxi Corp.,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
57,uri,http://www.wikidata.org/entity/Q95720330,en,literal,Xing Fu Tang,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
58,uri,http://www.wikidata.org/entity/Q15916325,en,literal,Cashbox Partyworld,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-03-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
59,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,,,,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q865
60,uri,http://www.wikidata.org/entity/Q31663580,en,literal,Red Candle Games,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-09-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q175581,literal,,,,,,,,,,,,,,,,,wd:Q865
61,uri,http://www.wikidata.org/entity/Q15927616,en,literal,Windsor Hotel Taichung,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,zh-tw,literal,裕元花園酒店,wd:Q865
62,uri,http://www.wikidata.org/entity/Q10883132,en,literal,King's Town Bank,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1951-07-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q140631,literal,,,,,,,,,,,,,,,,,wd:Q865
63,uri,http://www.wikidata.org/entity/Q11132721,en,literal,Bank SinoPac,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
64,uri,http://www.wikidata.org/entity/Q10921200,en,literal,Ve Wong,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-07-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
65,uri,http://www.wikidata.org/entity/Q106706866,en,literal,The Epicurean Caf'e (Lanyu),,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
66,uri,http://www.wikidata.org/entity/Q76099070,en,literal,Tiger Sugar,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q4899370, http://www.wikidata.org/entity/Q540912",literal,,literal,,literal,http://www.wikidata.org/entity/Q569548,literal,,,,,,,,,,,,,,,,,wd:Q865
67,uri,http://www.wikidata.org/entity/Q16829306,en,literal,Chatime,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q4899370,literal,,literal,,literal,http://www.wikidata.org/entity/Q29624,literal,,,,,,,,,,,,,,,,,wd:Q865
68,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q881,literal,http://www.wikidata.org/entity/Q12147,literal,,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,,,,,,,,,,,,,en,literal,Hello Health Group Pte. Ltd,wd:Q865
69,uri,http://www.wikidata.org/entity/Q24702031,en,literal,Noble Steak,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
70,uri,http://www.wikidata.org/entity/Q28417394,en,literal,YuLoong,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
71,uri,http://www.wikidata.org/entity/Q108166589,en,literal,Tin Tin Drugstore,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
72,uri,http://www.wikidata.org/entity/Q5635861,en,literal,HSBC Bank (Taiwan),,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q806718,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,35000000000,en,literal,HSBC Bank (Taiwan) Limited,wd:Q865
73,uri,http://www.wikidata.org/entity/Q10938792,en,literal,"Commonwealth Publishing Co., Ltd.",,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-11-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
74,uri,http://www.wikidata.org/entity/Q10907520,en,literal,Nan Shan Life,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q865
75,uri,http://www.wikidata.org/entity/Q15914108,en,literal,Tonlin Plaza,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
76,uri,http://www.wikidata.org/entity/Q51756,en,literal,China Airlines,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-09-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5008640,literal,,,,,,,,,,,,,,,,,wd:Q865
77,uri,http://www.wikidata.org/entity/Q97191988,en,literal,Aegis,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-04-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q865,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q865
