,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
10,uri,http://www.wikidata.org/entity/Q7559722,en,literal,Someplace Else,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-08-19T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3183236,literal,,,,,,,,,,,wd:Q668
11,uri,http://www.wikidata.org/entity/Q18391894,en,literal,Saintgits College of Engineering,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
12,uri,http://www.wikidata.org/entity/Q121140209,en,literal,Digi Friction,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-08-12T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q11661,literal,,literal,,literal,http://www.wikidata.org/entity/Q213026,literal,,en,literal,Digi Friction,,,,,,,wd:Q668
13,uri,http://www.wikidata.org/entity/Q106548103,en,literal,Brixial,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q325421,literal,,literal,,literal,http://www.wikidata.org/entity/Q200718,literal,,,,,,,,,,,wd:Q668
14,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,wd:Q668
15,uri,http://www.wikidata.org/entity/Q109985545,en,literal,Razorpay,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,"http://www.wikidata.org/entity/Q986008, http://www.wikidata.org/entity/Q880371",literal,,literal,,literal,http://www.wikidata.org/entity/Q1355,literal,,,,,,,,,,,wd:Q668
16,uri,http://www.wikidata.org/entity/Q906943,en,literal,Grasim Industries,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q668,literal,,,,,,,,,,,wd:Q668
17,uri,http://www.wikidata.org/entity/Q349806,en,literal,DD News,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q987,literal,,,,,,,,,,,wd:Q668
18,uri,http://www.wikidata.org/entity/Q4822431,en,literal,Aurobindo Pharma,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q507443,literal,,literal,,literal,http://www.wikidata.org/entity/Q1361,literal,,,,,,,,,,,wd:Q668
19,uri,http://www.wikidata.org/entity/Q2003797,en,literal,Bank of Baroda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1908-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q11909,literal,,,,,,,,,,,wd:Q668
20,uri,http://www.wikidata.org/entity/Q7687835,en,literal,Tata Technologies,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1538,literal,,,,,,,,,,,wd:Q668
21,uri,http://www.wikidata.org/entity/Q24951713,en,literal,Axilor Ventures,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-11-18T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1355,literal,,,,,,,,,,,wd:Q668
22,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q39,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,ar,literal,منظمة الصحة العالمية,,,,,,,wd:Q668
23,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q884,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
24,uri,http://www.wikidata.org/entity/Q5016462,en,literal,Cadila Healthcare,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1952-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q507443,literal,,literal,,literal,http://www.wikidata.org/entity/Q1070,literal,,,,,,,,,,,wd:Q668
25,uri,http://www.wikidata.org/entity/Q3519827,en,literal,Radio Mirchi,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
26,uri,http://www.wikidata.org/entity/Q17080523,en,literal,ShopClues,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-07-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q5620004,literal,,,,,,,,,,,wd:Q668
27,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q27,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q668
28,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q27,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
29,uri,http://www.wikidata.org/entity/Q69906,en,literal,Air India,http://www.w3.org/2001/XMLSchema#decimal,literal,20956,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-07-29T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1156, http://www.wikidata.org/entity/Q987",literal,,,,,,,,,,,wd:Q668
30,uri,http://www.wikidata.org/entity/Q65684234,en,literal,MedPlus Pharmacy,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
31,uri,http://www.wikidata.org/entity/Q7512926,en,literal,Signet Press,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1943-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q129286,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1348,literal,,,,,,,,,,,wd:Q668
32,uri,http://www.wikidata.org/entity/Q19891598,en,literal,Gobindgarh Fort,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1760-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
33,uri,http://www.wikidata.org/entity/Q7924435,en,literal,Viacom 18 Motion Pictures,,,,,,,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
34,uri,http://www.wikidata.org/entity/Q2007090,en,literal,Central Bank of India,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1911-12-21T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q129286,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
35,uri,http://www.wikidata.org/entity/Q106482880,en,literal,Shaalaa,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-04-30T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1191,literal,,,,,,,,,,,wd:Q668
36,uri,http://www.wikidata.org/entity/Q7166413,en,literal,Pepperfry.com,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
37,uri,http://www.wikidata.org/entity/Q3764225,en,literal,Godrej Group,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1897-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q778575,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
38,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,18246,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q55,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
39,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,en,literal,Hello Health Group Pte. Ltd,,,,,,,wd:Q668
40,uri,http://www.wikidata.org/entity/Q1023924,en,literal,CNN-News18,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q11030,literal,,literal,,literal,http://www.wikidata.org/entity/Q278204,literal,,,,,,,,,,,wd:Q668
41,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q668
42,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q30,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
43,uri,http://www.wikidata.org/entity/Q105101724,en,literal,Konark Films,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q173799,literal,,literal,http://www.wikidata.org/entity/Q105883003,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
44,uri,http://www.wikidata.org/entity/Q109277720,en,literal,Uvamai Niche Tourism,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q49389,literal,,literal,,literal,http://www.wikidata.org/entity/Q15201,literal,,,,,,,,,,,wd:Q668
45,uri,http://www.wikidata.org/entity/Q2767170,en,literal,Life Insurance Corporation of India,http://www.w3.org/2001/XMLSchema#decimal,literal,114498,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
46,uri,http://www.wikidata.org/entity/Q683146,en,literal,LexisNexis,http://www.w3.org/2001/XMLSchema#decimal,literal,10000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1973-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q145,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q60,literal,,,,,,,,,,,wd:Q668
47,uri,http://www.wikidata.org/entity/Q102449800,en,literal,WhiteHat Jr,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,"http://www.wikidata.org/entity/Q86478515, http://www.wikidata.org/entity/Q21157865",literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
48,uri,http://www.wikidata.org/entity/Q5324510,en,literal,ET Now,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
49,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q971,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,zh-hans,literal,世界卫生组织,,,,,,,wd:Q668
50,uri,http://www.wikidata.org/entity/Q7669310,en,literal,TANLA,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q418,literal,,literal,,literal,http://www.wikidata.org/entity/Q1361,literal,,,,,,,,,,,wd:Q668
51,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#decimal,literal,351,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,en,literal,Hello Health Group Pte. Ltd,,,,,,,wd:Q668
52,uri,http://www.wikidata.org/entity/Q51907318,en,literal,Gets Services,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-07-17T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
53,uri,http://www.wikidata.org/entity/Q61326789,en,literal,Softhub,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q668
54,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q29,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q668
55,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q183,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
56,uri,http://www.wikidata.org/entity/Q138133,en,literal,RWE,http://www.w3.org/2001/XMLSchema#decimal,literal,19792,http://www.w3.org/2001/XMLSchema#dateTime,literal,1898-04-25T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1569000000,http://www.w3.org/2001/XMLSchema#decimal,literal,28327000000,uri,http://www.wikidata.org/entity/Q29,literal,"http://www.wikidata.org/entity/Q2151621, http://www.wikidata.org/entity/Q1341477, http://www.wikidata.org/entity/Q1326594",literal,"http://www.wikidata.org/entity/Q15842921, http://www.wikidata.org/entity/Q2078625, http://www.wikidata.org/entity/Q108936810",literal,http://www.wikidata.org/entity/Q110984154,literal,http://www.wikidata.org/entity/Q2066,literal,"http://www.wikidata.org/entity/Q155718, http://www.wikidata.org/entity/Q874430, http://www.wikidata.org/entity/Q6571804, http://www.wikidata.org/entity/Q1230458",,,,,,,,,,wd:Q668
57,uri,http://www.wikidata.org/entity/Q746413,en,literal,Elsevier BV,http://www.w3.org/2001/XMLSchema#decimal,literal,6900,http://www.w3.org/2001/XMLSchema#dateTime,literal,1880-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,600000000,,,,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,"http://www.wikidata.org/entity/Q2662373, http://www.wikidata.org/entity/Q1345",literal,,,,,,,,,,,wd:Q668
58,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q79,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,es,literal,Organización Mundial de la Salud,,,,,,,wd:Q668
59,uri,http://www.wikidata.org/entity/Q7817,en,literal,World Health Organization,http://www.w3.org/2001/XMLSchema#decimal,literal,7000,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-04-07T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q29584363,literal,,literal,,literal,http://www.wikidata.org/entity/Q71,literal,,zh-hans,literal,世界卫生组织,,,,,,,wd:Q668
60,uri,http://www.wikidata.org/entity/Q3547550,en,literal,UTV Motion Pictures,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,uri,http://www.wikidata.org/entity/Q668,literal,http://www.wikidata.org/entity/Q932586,literal,,literal,,literal,http://www.wikidata.org/entity/Q1156,literal,,,,,,,,,,,wd:Q668
