,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,equity.datatype,equity.type,equity.value,country
10,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
11,uri,http://www.wikidata.org/entity/Q63642510,en,literal,Hilton Ras Al Khaimah Beach Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,en,literal,Hilton Ras Al Khaimah Resort & Spa,,,,wd:Q878
12,uri,http://www.wikidata.org/entity/Q63642510,en,literal,Hilton Ras Al Khaimah Beach Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,ar,literal,هيلتون رأس الخيمة بيتش ريزورت,,,,wd:Q878
13,uri,http://www.wikidata.org/entity/Q5372577,en,literal,Emirates Post,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3021334,literal,,,,,,,,,,,,,,,,,wd:Q878
14,uri,http://www.wikidata.org/entity/Q848754,en,literal,Saudi Oger,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q385378,literal,http://www.wikidata.org/entity/Q21662949,literal,http://www.wikidata.org/entity/Q296771,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,,,,,,,wd:Q878
15,uri,http://www.wikidata.org/entity/Q30147522,en,literal,Hilton Dubai Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1495452,literal,,literal,,literal,,literal,,,,,,,,,,,en,literal,Hilton Dubai Jumeirah,,,,wd:Q878
16,uri,http://www.wikidata.org/entity/Q3272753,en,literal,MBC 1,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,,,,,,,,,,,,,,,,wd:Q878
17,uri,http://www.wikidata.org/entity/Q5372575,en,literal,Emirates NBD,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-10-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
18,uri,http://www.wikidata.org/entity/Q4115940,en,literal,Abu Dhabi Media,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1960,,,,,,,,,,,,,wd:Q878
19,uri,http://www.wikidata.org/entity/Q110209236,en,literal,Bessern,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1068473,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
20,uri,http://www.wikidata.org/entity/Q858759,en,literal,Cartoon Network Arabic,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q613,literal,,,,,,,,,,,,,,,,,wd:Q878
21,uri,http://www.wikidata.org/entity/Q4118549,en,literal,OSN,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q209588,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
22,uri,http://www.wikidata.org/entity/Q124453575,en,literal,Aster Pharmacy,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
23,uri,http://www.wikidata.org/entity/Q5310498,en,literal,Dubai Aerospace Enterprise,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
24,uri,http://www.wikidata.org/entity/Q30147522,en,literal,Hilton Dubai Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1495452,literal,,literal,,literal,,literal,,,,,,,,,,,ar,literal,هيلتون دبي جميرا,,,,wd:Q878
25,uri,http://www.wikidata.org/entity/Q2896740,en,literal,Bentham Science Publishers,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q188810,literal,,,,,,,,,,,,,,,,,wd:Q878
26,uri,http://www.wikidata.org/entity/Q1617128,en,literal,Majid Al Futtaim Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-05-11T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,27000,,,,,,,,,,,,,wd:Q878
27,uri,http://www.wikidata.org/entity/Q310172,en,literal,Al Arabiya,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-03-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q11030,literal,,literal,,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,,,,,,,,,,,,,wd:Q878
28,uri,http://www.wikidata.org/entity/Q33262691,en,literal,Bollywood Parks Dubai,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-11-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
29,uri,http://www.wikidata.org/entity/Q7908474,en,literal,Etihad Rail,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q3565868,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,120,,,,,,,,,,,,,wd:Q878
30,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
31,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,,,,,,,,,,,,,,,,wd:Q878
32,uri,http://www.wikidata.org/entity/Q17521121,en,literal,Al Bayan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-05-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q3972943,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,http://www.wikidata.org/entity/Q54837,,,,,,,,,,,,,,,,wd:Q878
33,uri,http://www.wikidata.org/entity/Q111978940,en,literal,Akhbar Al Aan,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
34,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q928,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
35,uri,http://www.wikidata.org/entity/Q4116209,en,literal,MBC 2,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,,,,,,,,,,,,,,,,wd:Q878
36,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
37,uri,http://www.wikidata.org/entity/Q1262868,en,literal,Dubai Electricity and Water Authority,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1951366,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
38,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q334,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
39,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
40,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
41,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
42,uri,http://www.wikidata.org/entity/Q111174569,en,literal,1X1 Art Gallery,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
43,uri,http://www.wikidata.org/entity/Q4262826,en,literal,Sama Dubai,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
44,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
45,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,,,,,,,,,,,,,,,,wd:Q878
46,uri,http://www.wikidata.org/entity/Q63642510,en,literal,Hilton Ras Al Khaimah Beach Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,en,literal,Hilton Ras Al Khaimah Beach Resort,,,,wd:Q878
47,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
48,uri,http://www.wikidata.org/entity/Q858759,en,literal,Cartoon Network Arabic,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q613,literal,,,,,,,,,,,,,,,,,wd:Q878
49,uri,http://www.wikidata.org/entity/Q406798,en,literal,Air Arabia,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q289693,literal,,,,,,,,,,,,,,,,,wd:Q878
50,uri,http://www.wikidata.org/entity/Q6972890,en,literal,National Geographic Farsi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q794,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,,,,,,,,,,,,,,,,wd:Q878
51,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q398,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,,,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q878
52,uri,http://www.wikidata.org/entity/Q5321415,en,literal,e-Junior,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q878,literal,,,,,,,,,,,,,,,,,wd:Q878
53,uri,http://www.wikidata.org/entity/Q22809043,en,literal,Informa Middle East,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q2344609,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
54,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q851,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,,,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q878
55,uri,http://www.wikidata.org/entity/Q22948684,en,literal,Tashkeel Dubai,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
56,uri,http://www.wikidata.org/entity/Q63226508,en,literal,khair jalees,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
57,uri,http://www.wikidata.org/entity/Q2819353,en,literal,AREP,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q846,literal,http://www.wikidata.org/entity/Q112166047,literal,,literal,,literal,http://www.wikidata.org/entity/Q90,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1060,,,,,,,,,,,,,wd:Q878
58,uri,http://www.wikidata.org/entity/Q22688437,en,literal,Souq.com,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-10-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
59,uri,http://www.wikidata.org/entity/Q5310582,en,literal,Dubai Media,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q122968930,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
60,uri,http://www.wikidata.org/entity/Q30590075,en,literal,Warner Bros. World Abu Dhabi,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-07-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
61,uri,http://www.wikidata.org/entity/Q1331200,en,literal,Jumeirah,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q27686,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
62,uri,http://www.wikidata.org/entity/Q4165383,en,literal,Dubai One,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q740893,literal,,,,,,,,,,,,,,,,,wd:Q878
63,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
64,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
65,uri,http://www.wikidata.org/entity/Q96754685,en,literal,World Wide Films,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q96754766,literal,,,,,,,,,,,,,,,,,wd:Q878
66,uri,http://www.wikidata.org/entity/Q64732479,en,literal,EDGE Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-11-05T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q1985622,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
67,uri,http://www.wikidata.org/entity/Q1349140,en,literal,Thuraya,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
68,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,,,,uri,http://www.wikidata.org/entity/Q817,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
69,uri,http://www.wikidata.org/entity/Q28016149,en,literal,TECOM Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,http://www.wikidata.org/entity/Q24572514,literal,,literal,http://www.wikidata.org/entity/Q3781293,literal,,,,,,,,,,,,,,,,,wd:Q878
70,uri,http://www.wikidata.org/entity/Q1163521,en,literal,Masdar,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q99513382, http://www.wikidata.org/entity/Q4116742, http://www.wikidata.org/entity/Q12705",literal,,literal,http://www.wikidata.org/entity/Q17148626,literal,http://www.wikidata.org/entity/Q1519,literal,,,,,,,,,,,,,,,,,wd:Q878
71,uri,http://www.wikidata.org/entity/Q5310570,en,literal,Dubai Islamic Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1975-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171",literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
72,uri,http://www.wikidata.org/entity/Q56071912,en,literal,Aquaventure,,,,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
73,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,,,,,,,,,,,,,,,,wd:Q878
74,uri,http://www.wikidata.org/entity/Q120799993,en,literal,Magic Planet,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q878
75,uri,http://www.wikidata.org/entity/Q12242596,en,literal,Dr. Sulaiman Al Habib Medical Services Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-11-25T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q31207,literal,,literal,http://www.wikidata.org/entity/Q7635956,literal,http://www.wikidata.org/entity/Q3692,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8467304000,,,,ar,literal,مجموعة الدكتور سليمان الحبيب للخدمات الطبية,http://www.w3.org/2001/XMLSchema#decimal,literal,4393877000,wd:Q878
76,uri,http://www.wikidata.org/entity/Q3045998,en,literal,ENOC,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q878,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q612,literal,,,,,,,,,,,,,,,,,wd:Q878
