,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
10,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
11,uri,http://www.wikidata.org/entity/Q310842,en,literal,Al-Mustansiriya University,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1227-01-01T00:00:00Z,,,,,,,wd:Q796
12,uri,http://www.wikidata.org/entity/Q6432127,en,literal,Korek Telecom,uri,http://www.wikidata.org/entity/Q796,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q132754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,wd:Q796
13,uri,http://www.wikidata.org/entity/Q3673747,en,literal,Kurdsat,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,,,,,,,wd:Q796
14,uri,http://www.wikidata.org/entity/Q4120421,en,literal,AsiaCell,uri,http://www.wikidata.org/entity/Q796,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q191204,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2936,http://www.w3.org/2001/XMLSchema#decimal,literal,243618000000,wd:Q796
15,uri,http://www.wikidata.org/entity/Q1450490,en,literal,Koya University,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,435,,,,wd:Q796
16,uri,http://www.wikidata.org/entity/Q550376,en,literal,University of Baghdad,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1530,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1957-08-21T00:00:00Z,,,,,,,wd:Q796
17,uri,http://www.wikidata.org/entity/Q7895102,en,literal,University of Babylon,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-01-01T00:00:00Z,,,,,,,wd:Q796
18,uri,http://www.wikidata.org/entity/Q12233575,en,literal,Alanwar TV,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,wd:Q796
19,uri,http://www.wikidata.org/entity/Q7896464,en,literal,University of Tikrit,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,,,,,,,wd:Q796
20,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q1049,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
21,uri,http://www.wikidata.org/entity/Q3668446,en,literal,University of Kurdistan Hewler,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,24,,,,wd:Q796
22,uri,http://www.wikidata.org/entity/Q15627503,en,literal,WAAR TV,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q152831,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,,,,,,,wd:Q796
23,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q79,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
24,uri,http://www.wikidata.org/entity/Q15261242,en,literal,Slemani Polytechnic University,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q191204,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,2368,,,,wd:Q796
25,uri,http://www.wikidata.org/entity/Q3666590,en,literal,Hawler Medical University,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q132754,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,,,,,,,wd:Q796
26,uri,http://www.wikidata.org/entity/Q12251168,en,literal,Iraqi News Agency,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1530,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-03-01T00:00:00Z,,,,,,,wd:Q796
27,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
28,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,wd:Q796
29,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q810,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
30,uri,http://www.wikidata.org/entity/Q110535173,en,literal,Radio Al-Salam,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q796
31,uri,http://www.wikidata.org/entity/Q28485540,en,literal,Alahad satellite channel,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,wd:Q796
32,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q817,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
33,uri,http://www.wikidata.org/entity/Q6080223,en,literal,Tishk International University,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,,,,wd:Q796
34,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
35,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q974,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
36,uri,http://www.wikidata.org/entity/Q738149,en,literal,Suroyo TV,uri,http://www.wikidata.org/entity/Q822,literal,,literal,,literal,,literal,"http://www.wikidata.org/entity/Q26518, http://www.wikidata.org/entity/Q858, http://www.wikidata.org/entity/Q822, http://www.wikidata.org/entity/Q796",literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,,,,,,,wd:Q796
37,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q842,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
38,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q846,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
39,uri,http://www.wikidata.org/entity/Q25830822,en,literal,Babylon FM,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q796
40,uri,http://www.wikidata.org/entity/Q7370229,en,literal,Rotana Hotels,uri,http://www.wikidata.org/entity/Q398,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1519,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,,,,,,,wd:Q796
41,uri,http://www.wikidata.org/entity/Q44856953,en,literal,Public Opinion News Agency,uri,http://www.wikidata.org/entity/Q796,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,,,,,,,wd:Q796
