,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,markcap.datatype,markcap.type,markcap.value,employees.datatype,employees.type,employees.value,country
25,uri,http://www.wikidata.org/entity/Q123398305,en,literal,Ōtara Markets,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1976-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
26,uri,http://www.wikidata.org/entity/Q74243823,en,literal,College of Nurses Aotearoa New Zealand,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
27,uri,http://www.wikidata.org/entity/Q94207821,en,literal,Sportsfuel Supplements,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q200028,literal,,,,,,,,wd:Q664
28,uri,http://www.wikidata.org/entity/Q107803402,en,literal,Wow! Productions,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q133073,literal,,,,,,,,wd:Q664
29,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,wd:Q664
30,uri,http://www.wikidata.org/entity/Q120563657,en,literal,Kākano Gallery,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2022-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
31,uri,http://www.wikidata.org/entity/Q63557330,en,literal,Kennards Hire,,,,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3224,literal,,,,,,,,wd:Q664
32,uri,http://www.wikidata.org/entity/Q606140,en,literal,University of Waikato,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1964-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2300,wd:Q664
33,uri,http://www.wikidata.org/entity/Q75371691,en,literal,Forrester Gallery,en,literal,Forrester Gallery,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-05-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q75500289,,,,,,,wd:Q664
34,uri,http://www.wikidata.org/entity/Q23462014,en,literal,Te Mata Estate,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q847452,literal,,,,,,,,wd:Q664
35,uri,http://www.wikidata.org/entity/Q4984311,en,literal,Buddle Findlay,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1895-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
36,uri,http://www.wikidata.org/entity/Q7690961,en,literal,Te Reo,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
37,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,wd:Q664
38,uri,http://www.wikidata.org/entity/Q110923243,en,literal,Peaches & Cream,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
39,uri,http://www.wikidata.org/entity/Q116936836,en,literal,Heron Construction,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q1433502,literal,,literal,,literal,http://www.wikidata.org/entity/Q207756,literal,,,,,,,,wd:Q664
40,uri,http://www.wikidata.org/entity/Q116784479,en,literal,Just Cuts,en,literal,Just Cuts Franchising Pty Ltd,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-09-15T00:00:00Z,uri,http://www.wikidata.org/entity/Q145,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2733536,literal,,,,,,,,wd:Q664
41,uri,http://www.wikidata.org/entity/Q22271877,en,literal,FreshChoice,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q79990,literal,,,,,,,,wd:Q664
42,uri,http://www.wikidata.org/entity/Q111080173,en,literal,Early Settler,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
43,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q229,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,23,wd:Q664
44,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q16,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
45,uri,http://www.wikidata.org/entity/Q28182690,en,literal,Top Energy,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1935-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q844861,literal,,literal,,literal,http://www.wikidata.org/entity/Q1185949,literal,,,,,,,,wd:Q664
46,uri,http://www.wikidata.org/entity/Q48782120,en,literal,Chemist Warehouse,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,,,,,,,wd:Q664
47,uri,http://www.wikidata.org/entity/Q111427512,en,literal,Doyle Sails,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
48,uri,http://www.wikidata.org/entity/Q95947430,en,literal,Oderings,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1929-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q79990,literal,,,,,,,,wd:Q664
49,uri,http://www.wikidata.org/entity/Q1022343,en,literal,Māori Television,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q37100,literal,,,,,,,,wd:Q664
50,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q258,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
51,uri,http://www.wikidata.org/entity/Q1048626,en,literal,Lincoln University,en,literal,Lincoln University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1878-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
52,uri,http://www.wikidata.org/entity/Q855988,en,literal,Super Rugby,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
53,uri,http://www.wikidata.org/entity/Q4045612,en,literal,OTOY,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,,literal,http://www.wikidata.org/entity/Q107615005,literal,,literal,http://www.wikidata.org/entity/Q65,literal,,,,,,,,wd:Q664
54,uri,http://www.wikidata.org/entity/Q2018133,en,literal,Three,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
55,uri,http://www.wikidata.org/entity/Q109929910,en,literal,Balancing Monkey Games,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q133073,literal,,,,,,,,wd:Q664
56,uri,http://www.wikidata.org/entity/Q18472511,en,literal,ZooMoo,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-09-10T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
57,uri,http://www.wikidata.org/entity/Q26863794,en,literal,Radio Active,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
58,uri,http://www.wikidata.org/entity/Q23461804,en,literal,My Food Bag,en,literal,MY FOOD BAG GROUP LIMITED,,,,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q37100,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,315168781,,,,wd:Q664
59,uri,http://www.wikidata.org/entity/Q1494550,en,literal,Reserve Bank of New Zealand,en,literal,Reserve Bank of New Zealand,http://www.w3.org/2001/XMLSchema#dateTime,literal,1934-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,"http://www.wikidata.org/entity/Q16151548, http://www.wikidata.org/entity/Q109550782",literal,http://www.wikidata.org/entity/Q23661,literal,,,,,,,,wd:Q664
60,uri,http://www.wikidata.org/entity/Q116694781,en,literal,Ideal,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
61,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
62,uri,http://www.wikidata.org/entity/Q110288298,en,literal,99 Bikes,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q4950813,literal,,,,,,,,wd:Q664
63,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q189,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,wd:Q664
64,uri,http://www.wikidata.org/entity/Q113580688,en,literal,International Institute of Modern Letters,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23661,literal,http://www.wikidata.org/entity/Q1150437,,,,,,,wd:Q664
65,uri,http://www.wikidata.org/entity/Q115565445,en,literal,Awa Press,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q23661,literal,,,,,,,,wd:Q664
66,uri,http://www.wikidata.org/entity/Q122420123,en,literal,Bridgestone Select Tyre & Auto,en,literal,Bridgestone Australia Ltd.,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
67,uri,http://www.wikidata.org/entity/Q109783503,en,literal,JOLT,,,,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
68,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,22,wd:Q664
69,uri,http://www.wikidata.org/entity/Q4849261,en,literal,Bakers Delight,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q2934668,literal,,,,,,,,wd:Q664
70,uri,http://www.wikidata.org/entity/Q22907222,en,literal,3ZB,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
71,uri,http://www.wikidata.org/entity/Q109626935,en,literal,Baby Bunting,en,literal,Baby Bunting Group Limited,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,768059931,,,,wd:Q664
72,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,21,wd:Q664
73,uri,http://www.wikidata.org/entity/Q124152842,en,literal,Loop Recordings Aot(ear)oa,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
74,uri,http://www.wikidata.org/entity/Q122979450,en,literal,The White Lady,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
75,uri,http://www.wikidata.org/entity/Q116822130,en,literal,Art+Object,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
76,uri,http://www.wikidata.org/entity/Q118464703,en,literal,Blue Illusion,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
77,uri,http://www.wikidata.org/entity/Q122691785,en,literal,Sculptureum,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-04-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
78,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q229,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,18,wd:Q664
79,uri,http://www.wikidata.org/entity/Q7752980,en,literal,New Zealand Opera,en,literal,The National Business Review New Zealand Opera,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3365637,literal,,,,,,,,wd:Q664
80,uri,http://www.wikidata.org/entity/Q107105690,en,literal,Hāpai Productions,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-07-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
81,uri,http://www.wikidata.org/entity/Q123488316,en,literal,The Designers Foundry,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q79990,literal,,,,,,,,wd:Q664
82,uri,http://www.wikidata.org/entity/Q111018938,en,literal,BedsRus,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
83,uri,http://www.wikidata.org/entity/Q28180466,en,literal,95bFM,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
84,uri,http://www.wikidata.org/entity/Q114353097,en,literal,Storage King,,,,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
85,uri,http://www.wikidata.org/entity/Q110628692,en,literal,LifeCovered,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-04-12T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,http://www.wikidata.org/entity/Q285759,literal,,literal,,literal,http://www.wikidata.org/entity/Q200028,literal,,,,,,,,wd:Q664
86,uri,http://www.wikidata.org/entity/Q116825899,en,literal,Burnsco,en,literal,Hauraki Marine Limited,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
87,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,,,,,,,wd:Q664
88,uri,http://www.wikidata.org/entity/Q116825053,en,literal,Lollipops Playland,,,,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,wd:Q664
