,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
17,uri,http://www.wikidata.org/entity/Q116056738,en,literal,TUARON,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-12-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q1344174, http://www.wikidata.org/entity/Q281940, http://www.wikidata.org/entity/Q173799",literal,http://www.wikidata.org/entity/Q119890249,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,213,en,literal,"TUARON, LTD",,,,,,,wd:Q211
18,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lv,literal,Latvijas Augstskola,,,,,,,wd:Q211
19,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q55,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
20,uri,http://www.wikidata.org/entity/Q7389564,en,literal,SEB Unibanka,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
21,uri,http://www.wikidata.org/entity/Q20402089,en,literal,Jāņa sēta,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q29585658, http://www.wikidata.org/entity/Q483130, http://www.wikidata.org/entity/Q42515",literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,30,lv,literal,Jāņa sēta,,,,,,,wd:Q211
22,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
23,uri,http://www.wikidata.org/entity/Q4037918,en,literal,Ecolines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q7590,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
24,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q214,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
25,uri,http://www.wikidata.org/entity/Q124621253,en,literal,Eloking,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-10-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q107022968, http://www.wikidata.org/entity/Q29585681, http://www.wikidata.org/entity/Q300920",literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
26,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q213,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
27,uri,http://www.wikidata.org/entity/Q118851570,,literal,Q118851570,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-16T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
28,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lv,literal,Pētera Stučkas Latvijas Valsts Universitāte,,,,,,,wd:Q211
29,uri,http://www.wikidata.org/entity/Q61121615,en,literal,Balticom,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
30,uri,http://www.wikidata.org/entity/Q61397000,en,literal,F.O.R.M.A.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-06-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
31,uri,http://www.wikidata.org/entity/Q116486446,en,literal,Neverjam,,,,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
32,uri,http://www.wikidata.org/entity/Q12047031,en,literal,Prisma,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q159,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
33,uri,http://www.wikidata.org/entity/Q104428259,en,literal,Baltcom,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
34,uri,http://www.wikidata.org/entity/Q124516426,,literal,Q124516426,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
35,uri,http://www.wikidata.org/entity/Q112916316,en,literal,Rija Films,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-10-27T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
36,uri,http://www.wikidata.org/entity/Q61122043,,literal,Q61122043,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
37,uri,http://www.wikidata.org/entity/Q61122036,en,literal,SIA Aerones Engineering,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
38,uri,http://www.wikidata.org/entity/Q59275384,en,literal,Printful,,,,uri,http://www.wikidata.org/entity/Q30,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
39,uri,http://www.wikidata.org/entity/Q18615317,en,literal,Latvijas Radio 5,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1807092,,,,,,,,,,,,,wd:Q211
40,uri,http://www.wikidata.org/entity/Q6514414,en,literal,Narvesen,http://www.w3.org/2001/XMLSchema#dateTime,literal,1894-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q20,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
41,uri,http://www.wikidata.org/entity/Q124538673,,literal,Q124538673,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q166684,literal,,,,,,,,,,,,,,wd:Q211
42,uri,http://www.wikidata.org/entity/Q62562792,en,literal,BENU,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q236,literal,http://www.wikidata.org/entity/Q13107184,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
43,uri,http://www.wikidata.org/entity/Q16363314,en,literal,Mego,http://www.w3.org/2001/XMLSchema#dateTime,literal,1999-09-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
44,uri,http://www.wikidata.org/entity/Q16350315,,literal,Q16350315,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
45,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q28,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
46,uri,http://www.wikidata.org/entity/Q16350284,,literal,Q16350284,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
47,uri,http://www.wikidata.org/entity/Q15806753,en,literal,Drogas,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-11-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29585605,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
48,uri,http://www.wikidata.org/entity/Q6514414,en,literal,Narvesen,http://www.w3.org/2001/XMLSchema#dateTime,literal,1894-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q37,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
49,uri,http://www.wikidata.org/entity/Q3741108,en,literal,Rimi Baltic,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q18043413, http://www.wikidata.org/entity/Q7361709",literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
50,uri,http://www.wikidata.org/entity/Q12047031,en,literal,Prisma,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q33,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
51,uri,http://www.wikidata.org/entity/Q110678345,en,literal,ACME Film Latvija,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
52,uri,http://www.wikidata.org/entity/Q21011154,en,literal,Sadales tīkls,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-07-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q844861,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
53,uri,http://www.wikidata.org/entity/Q124619856,en,literal,Magebit,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q2029911, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q386275, http://www.wikidata.org/entity/Q11661",literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,120,,,,,,,,,,wd:Q211
54,uri,http://www.wikidata.org/entity/Q100392934,en,literal,Darkflow Software,,,,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
55,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
56,uri,http://www.wikidata.org/entity/Q65588459,en,literal,Depo DIY,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-12-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q29585564,literal,,literal,,literal,http://www.wikidata.org/entity/Q5306895,literal,,,,,,,,,,,,,,wd:Q211
57,uri,http://www.wikidata.org/entity/Q12047031,en,literal,Prisma,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q191,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
58,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q191,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
59,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q37,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
60,uri,http://www.wikidata.org/entity/Q4041942,en,literal,Just5,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
61,uri,http://www.wikidata.org/entity/Q124538635,,literal,Q124538635,http://www.w3.org/2001/XMLSchema#dateTime,literal,2018-03-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
62,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,ru,literal,Высшая школа Латвии,,,,,,,wd:Q211
63,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,lv,literal,Latvijas Universitāte,,,,,,,wd:Q211
64,uri,http://www.wikidata.org/entity/Q122374673,,literal,Q122374673,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
65,uri,http://www.wikidata.org/entity/Q59275384,en,literal,Printful,,,,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
66,uri,http://www.wikidata.org/entity/Q96047373,en,literal,Amic Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q36,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
67,uri,http://www.wikidata.org/entity/Q96047373,en,literal,Amic Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q37,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
68,uri,http://www.wikidata.org/entity/Q111020507,en,literal,Baltijas Mediju Alianse,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,,,,,,,,,,,,,wd:Q211
69,uri,http://www.wikidata.org/entity/Q6514414,en,literal,Narvesen,http://www.w3.org/2001/XMLSchema#dateTime,literal,1894-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
70,uri,http://www.wikidata.org/entity/Q4034923,en,literal,Bauskas alus,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q869095,literal,,literal,,literal,http://www.wikidata.org/entity/Q4992787,literal,,,,,,,,,,,,,,wd:Q211
71,uri,http://www.wikidata.org/entity/Q4050627,en,literal,TV6,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-04-22T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
72,uri,http://www.wikidata.org/entity/Q96047373,en,literal,Amic Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q40,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
73,uri,http://www.wikidata.org/entity/Q498407,en,literal,University of Latvia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1919-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,ru,literal,Латвийский Государственный университет,,,,,,,wd:Q211
74,uri,http://www.wikidata.org/entity/Q5134411,en,literal,Clique,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q374,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
75,uri,http://www.wikidata.org/entity/Q12047031,en,literal,Prisma,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
76,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
77,uri,http://www.wikidata.org/entity/Q665537,en,literal,RBS TV,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-12-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q289,literal,,literal,,literal,http://www.wikidata.org/entity/Q40269,literal,,,,,,,,,,,,,,wd:Q211
78,uri,http://www.wikidata.org/entity/Q1586376,en,literal,SmartLynx Airlines,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-03-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,"http://www.wikidata.org/entity/Q29585641, http://www.wikidata.org/entity/Q2055808",literal,,literal,,literal,http://www.wikidata.org/entity/Q110029686,literal,,,,,,,,,,,,,,wd:Q211
79,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q214,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
80,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q212,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
81,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q218,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
82,uri,http://www.wikidata.org/entity/Q14239556,en,literal,Citadele banka,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-06-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,http://www.wikidata.org/entity/Q22687,literal,,literal,,literal,http://www.wikidata.org/entity/Q1773,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,1625,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2642642800,wd:Q211
83,uri,http://www.wikidata.org/entity/Q120651326,en,literal,Piana Vyshnia,,,,uri,http://www.wikidata.org/entity/Q217,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
84,uri,http://www.wikidata.org/entity/Q96047373,en,literal,Amic Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q211,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
85,uri,http://www.wikidata.org/entity/Q796010,en,literal,BITĖ Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q37,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q216,literal,,,,,,,,,,,,,,wd:Q211
86,uri,http://www.wikidata.org/entity/Q96047373,en,literal,Amic Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q212,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q211
