,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,country
10,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q865,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,351,en,literal,Hello Health Group Pte. Ltd,,,,wd:Q869
11,uri,http://www.wikidata.org/entity/Q16306127,en,literal,PPTV HD,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
12,uri,http://www.wikidata.org/entity/Q5570097,en,literal,Global Alliance Against Traffic in Women,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,,,,,,,wd:Q869
13,uri,http://www.wikidata.org/entity/Q4923294,en,literal,GMM Grammy,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q10302058, http://www.wikidata.org/entity/Q11033",literal,http://www.wikidata.org/entity/Q16307519,literal,http://www.wikidata.org/entity/Q16140407,literal,http://www.wikidata.org/entity/Q33842255,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1983-11-11T00:00:00Z,,,,,,,,,,wd:Q869
14,uri,http://www.wikidata.org/entity/Q2165702,en,literal,State Railway of Thailand,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1025838,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1897-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,26412,,,,,,,wd:Q869
15,uri,http://www.wikidata.org/entity/Q2413520,en,literal,The Pizza Company,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q41958,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,,,,,,,,,,wd:Q869
16,uri,http://www.wikidata.org/entity/Q118616705,en,literal,AstralSeal,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2023-01-01T00:00:00Z,,,,,,,,,,wd:Q869
17,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,351,en,literal,Hello Health Group Pte. Ltd,,,,wd:Q869
18,uri,http://www.wikidata.org/entity/Q543925,en,literal,Thai Rung Union Car,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1967-01-01T00:00:00Z,,,,,,,,,,wd:Q869
19,uri,http://www.wikidata.org/entity/Q2038986,en,literal,Siam Commercial Bank,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718, http://www.wikidata.org/entity/Q43183, http://www.wikidata.org/entity/Q2038986, http://www.wikidata.org/entity/Q1416657",literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1907-01-30T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,20000,,,,,,,wd:Q869
20,uri,http://www.wikidata.org/entity/Q4039161,en,literal,GMM Tai Hub,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q1407228, http://www.wikidata.org/entity/Q932586",literal,,literal,,literal,http://www.wikidata.org/entity/Q15735821,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-04-29T00:00:00Z,,,,,,,,,,wd:Q869
21,uri,http://www.wikidata.org/entity/Q7825140,en,literal,Tops Supermarket,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q1076291,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,,,,,,,,,,wd:Q869
22,uri,http://www.wikidata.org/entity/Q1810389,en,literal,PTT Public Company Limited,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q15735843,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1977-12-29T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,10630,,,,,,,wd:Q869
23,uri,http://www.wikidata.org/entity/Q109295941,en,literal,bTaskee,uri,http://www.wikidata.org/entity/Q881,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,wd:Q869
24,uri,http://www.wikidata.org/entity/Q115714934,en,literal,Matata Bay Cafe,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
25,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q424,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,351,en,literal,Hello Health Group Pte. Ltd,,,,wd:Q869
26,uri,http://www.wikidata.org/entity/Q28412981,en,literal,Line TV,uri,http://www.wikidata.org/entity/Q865,literal,http://www.wikidata.org/entity/Q220499,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-04-01T00:00:00Z,,,,,,,,,,wd:Q869
27,uri,http://www.wikidata.org/entity/Q15818414,en,literal,NokScoot,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-07-25T00:00:00Z,,,,,,,,,,wd:Q869
28,uri,http://www.wikidata.org/entity/Q20576660,en,literal,Thai Parliament Television,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-08-12T00:00:00Z,,,,,,,,,,wd:Q869
29,uri,http://www.wikidata.org/entity/Q55429944,en,literal,Lanta Haven Waterpark,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
30,uri,http://www.wikidata.org/entity/Q17064015,en,literal,Radio Thailand World Service,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-01-01T00:00:00Z,,,,,,,,,,wd:Q869
31,uri,http://www.wikidata.org/entity/Q962865,en,literal,Krungthai Bank,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718, http://www.wikidata.org/entity/Q22687",literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,29000,,,,,,,wd:Q869
32,uri,http://www.wikidata.org/entity/Q28412981,en,literal,Line TV,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q220499,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-04-01T00:00:00Z,,,,,,,,,,wd:Q869
33,uri,http://www.wikidata.org/entity/Q61747202,en,literal,Nang Sabai German Bakery,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
34,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q881,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,351,en,literal,Hello Health Group Pte. Ltd,,,,wd:Q869
35,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,wd:Q869
36,uri,http://www.wikidata.org/entity/Q2378901,en,literal,Lotus's,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,,,,,,,wd:Q869
37,uri,http://www.wikidata.org/entity/Q13015358,en,literal,True Spark,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
38,uri,http://www.wikidata.org/entity/Q38573292,en,literal,Amanpuri,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,wd:Q869
39,uri,http://www.wikidata.org/entity/Q83981657,en,literal,Tencent (Thailand) Company Limited,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q56611700, http://www.wikidata.org/entity/Q56611639",literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-09-14T00:00:00Z,,,,,,,,,,wd:Q869
40,uri,http://www.wikidata.org/entity/Q20574161,en,literal,GMM 25,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q33842255,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2014-05-25T00:00:00Z,,,,,,,,,,wd:Q869
41,uri,http://www.wikidata.org/entity/Q16307555,en,literal,One31,uri,http://www.wikidata.org/entity/Q869,literal,,literal,http://www.wikidata.org/entity/Q13015198,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-12-01T00:00:00Z,,,,,,,,,,wd:Q869
42,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q817,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
43,uri,http://www.wikidata.org/entity/Q20581272,en,literal,Mono 29,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,,,,,,,,,,,,,wd:Q869
44,uri,http://www.wikidata.org/entity/Q1189248,en,literal,Thai Smile,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,wd:Q869
45,uri,http://www.wikidata.org/entity/Q118608511,en,literal,Chao Doi,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
46,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,wd:Q869
47,uri,http://www.wikidata.org/entity/Q108049683,en,literal,Six Senses Hotels Resorts Spas,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q1495452,literal,http://www.wikidata.org/entity/Q117461768,literal,,literal,http://www.wikidata.org/entity/Q24036139,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,,,,,,,,,,wd:Q869
48,uri,http://www.wikidata.org/entity/Q3050569,en,literal,Electricity Generating Authority of Thailand,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q15199204,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,,,,,,,,,,wd:Q869
49,uri,http://www.wikidata.org/entity/Q40736405,en,literal,Nanyang,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
50,uri,http://www.wikidata.org/entity/Q1155797,en,literal,DTAC,uri,http://www.wikidata.org/entity/Q869,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-08-31T00:00:00Z,,,,,,,,,,wd:Q869
51,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,uri,http://www.wikidata.org/entity/Q148,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,,,,,,,,,,wd:Q869
52,uri,http://www.wikidata.org/entity/Q357922,en,literal,Royal Thai Army Radio and Television Channel 5,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q999098,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1958-01-25T00:00:00Z,,,,,,,,,,wd:Q869
53,uri,http://www.wikidata.org/entity/Q855730,en,literal,Chulalongkorn University,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1917-01-01T00:00:00Z,,,,,,,,,,wd:Q869
54,uri,http://www.wikidata.org/entity/Q59156498,,literal,Q59156498,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
55,uri,http://www.wikidata.org/entity/Q6026518,en,literal,Indorama Ventures,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q1364904,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,14000,,,,,,,wd:Q869
56,uri,http://www.wikidata.org/entity/Q118640408,en,literal,Mikucha,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
57,uri,http://www.wikidata.org/entity/Q17056215,en,literal,Toyota Motor Thailand,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q476440,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-10-05T00:00:00Z,,,,,,,,,,wd:Q869
58,uri,http://www.wikidata.org/entity/Q2603792,en,literal,Thai Public Broadcasting Service,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1008352,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,,,,,,,,,,wd:Q869
59,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q833,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
60,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q148,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
61,uri,http://www.wikidata.org/entity/Q38116375,en,literal,Voyagin,uri,http://www.wikidata.org/entity/Q334,literal,,literal,http://www.wikidata.org/entity/Q17229042,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,wd:Q869
62,uri,http://www.wikidata.org/entity/Q4013942,en,literal,Virgin Active,uri,http://www.wikidata.org/entity/Q963,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q84,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1998-01-01T00:00:00Z,,,,,,,,,,wd:Q869
63,uri,http://www.wikidata.org/entity/Q13018783,en,literal,Suan Sunandha Rajabhat University,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
64,uri,http://www.wikidata.org/entity/Q6901486,en,literal,VERY TV,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,wd:Q869
65,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q842,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
66,uri,http://www.wikidata.org/entity/Q2378901,en,literal,Lotus's,uri,http://www.wikidata.org/entity/Q833,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,,,,,,,,,,wd:Q869
67,uri,http://www.wikidata.org/entity/Q62083729,en,literal,Bajen Pizzeria,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
68,uri,http://www.wikidata.org/entity/Q13021991,en,literal,Spring News,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-03-05T00:00:00Z,,,,,,,,,,wd:Q869
69,uri,http://www.wikidata.org/entity/Q60178765,en,literal,Pangea Beach Bar,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
70,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,uri,http://www.wikidata.org/entity/Q833,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,wd:Q869
71,uri,http://www.wikidata.org/entity/Q7071686,en,literal,O'Briens Cafe,uri,http://www.wikidata.org/entity/Q148,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1761,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,,,,,,,,,,wd:Q869
72,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q846,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
73,uri,http://www.wikidata.org/entity/Q38116375,en,literal,Voyagin,uri,http://www.wikidata.org/entity/Q252,literal,,literal,http://www.wikidata.org/entity/Q17229042,literal,,literal,http://www.wikidata.org/entity/Q1490,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,wd:Q869
74,uri,http://www.wikidata.org/entity/Q2378901,en,literal,Lotus's,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,,,,,,,,,,wd:Q869
75,uri,http://www.wikidata.org/entity/Q110959120,en,literal,Tyreplus,uri,http://www.wikidata.org/entity/Q398,literal,"http://www.wikidata.org/entity/Q190117, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
76,uri,http://www.wikidata.org/entity/Q110797634,en,literal,House of HEALS,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
77,uri,http://www.wikidata.org/entity/Q6579719,en,literal,Bangchak Petroleum Public Company Limited,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q862571,literal,,literal,,literal,http://www.wikidata.org/entity/Q15735843,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,,,,,,,,,,wd:Q869
78,uri,http://www.wikidata.org/entity/Q60685137,en,literal,Why Not Bar,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
79,uri,http://www.wikidata.org/entity/Q113644053,en,literal,Poom 3,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q869
80,uri,http://www.wikidata.org/entity/Q1571768,en,literal,Channel 3,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1970-03-26T00:00:00Z,,,,,,,,,,wd:Q869
81,uri,http://www.wikidata.org/entity/Q109295941,en,literal,bTaskee,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,wd:Q869
82,uri,http://www.wikidata.org/entity/Q699142,en,literal,Din Tai Fung,uri,http://www.wikidata.org/entity/Q17,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q1867,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1991-05-07T00:00:00Z,,,,,,,,,,wd:Q869
83,uri,http://www.wikidata.org/entity/Q6128861,en,literal,Major Cineplex,uri,http://www.wikidata.org/entity/Q869,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-12-01T00:00:00Z,,,,,,,,,,wd:Q869
84,uri,http://www.wikidata.org/entity/Q105640480,en,literal,CGMatic,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2010-01-01T00:00:00Z,,,,,,,,,,wd:Q869
85,uri,http://www.wikidata.org/entity/Q7419002,en,literal,Sansiri,uri,http://www.wikidata.org/entity/Q869,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q1861,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-09-28T00:00:00Z,,,,,,,,,,wd:Q869
86,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,uri,http://www.wikidata.org/entity/Q928,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,351,en,literal,Hello Health Group Pte. Ltd,,,,wd:Q869
