,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,markcap.datatype,markcap.type,markcap.value,country
60,uri,http://www.wikidata.org/entity/Q13098263,en,literal,Muhammadiyah University Purwokerto,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-07-26T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
61,uri,http://www.wikidata.org/entity/Q109295941,en,literal,bTaskee,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q334,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
62,uri,http://www.wikidata.org/entity/Q3267815,en,literal,Bina Nusantara University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1996-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
63,uri,http://www.wikidata.org/entity/Q12472352,en,literal,Aquarius Musikindo,http://www.w3.org/2001/XMLSchema#dateTime,literal,1969-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q746359,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,ms,literal,Aquarius,,,,,,,,,,wd:Q252
64,uri,http://www.wikidata.org/entity/Q6127003,en,literal,Jalur Nugraha Ekakurir,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,,,,,,,,,,,,,wd:Q252
65,uri,http://www.wikidata.org/entity/Q121037504,en,literal,Magnum,http://www.w3.org/2001/XMLSchema#dateTime,literal,2100-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q695829,literal,,literal,,literal,http://www.wikidata.org/entity/Q6448304,literal,http://www.wikidata.org/entity/Q1610285,en,literal,Magnum Estate,,,,,,,,,,wd:Q252
66,uri,http://www.wikidata.org/entity/Q116825053,en,literal,Lollipops Playland,,,,uri,http://www.wikidata.org/entity/Q664,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
67,uri,http://www.wikidata.org/entity/Q4200297,en,literal,Sriwijaya University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-10-29T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
68,uri,http://www.wikidata.org/entity/Q19724200,en,literal,Bank Jateng,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q11025,literal,,,,,,,,,,,,,,wd:Q252
69,uri,http://www.wikidata.org/entity/Q12523320,en,literal,Nuswantoro Dian University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
70,uri,http://www.wikidata.org/entity/Q25104745,en,literal,Digital Happiness,http://www.w3.org/2001/XMLSchema#dateTime,literal,2013-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q10389,literal,,,,,,,,,,,,,,wd:Q252
71,uri,http://www.wikidata.org/entity/Q19729764,en,literal,Hilton Bali Resort,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-12-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,en,literal,Hilton Bali Resort,,,,,,,,,,wd:Q252
72,uri,http://www.wikidata.org/entity/Q25462243,en,literal,Amanah Surga Productions,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
73,uri,http://www.wikidata.org/entity/Q4630986,en,literal,21 Cineplex,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
74,uri,http://www.wikidata.org/entity/Q113858405,en,literal,Hello Health Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q928,literal,"http://www.wikidata.org/entity/Q46994, http://www.wikidata.org/entity/Q12147",literal,http://www.wikidata.org/entity/Q115477903,literal,,literal,http://www.wikidata.org/entity/Q334,literal,,en,literal,Hello Health Group Pte. Ltd,http://www.w3.org/2001/XMLSchema#decimal,literal,351,,,,,,,wd:Q252
75,uri,http://www.wikidata.org/entity/Q12499045,en,literal,Motion Radio,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q252
76,uri,http://www.wikidata.org/entity/Q18148009,en,literal,CNN Indonesia,,,,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q193011,literal,,,,,,,,,,,,,,wd:Q252
77,uri,http://www.wikidata.org/entity/Q2882611,en,literal,Bank Negara Indonesia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1946-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718, http://www.wikidata.org/entity/Q1416657",literal,,literal,,literal,"http://www.wikidata.org/entity/Q3630, http://www.wikidata.org/entity/Q2361543",literal,,id,literal,PT Bank Negara Indonesia (Persero) Tbk,http://www.w3.org/2001/XMLSchema#decimal,literal,25344,,,,,,,wd:Q252
78,uri,http://www.wikidata.org/entity/Q12522214,en,literal,Toyota-Astra Motor,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,,,,,,,,,,,,,wd:Q252
79,uri,http://www.wikidata.org/entity/Q98687155,en,literal,Universal Music Indonesia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1987-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q252,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3630,literal,,id,literal,Universal Music Indonesia,,,,,,,,,,wd:Q252
