,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,country
10,uri,http://www.wikidata.org/entity/Q1723591,en,literal,Kanal D,http://www.w3.org/2001/XMLSchema#dateTime,literal,1993-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q746516,literal,,,,,,,,,,,,,,wd:Q43
11,uri,http://www.wikidata.org/entity/Q89044739,en,literal,Yaşar Kekeva Plakçılık A.Ş.,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,tr,literal,"Yaşar Kekeva Plakçılık, Kasetçilik Sanayi ve Ticaret A.Ş.",,,,,,,,,,wd:Q43
12,uri,http://www.wikidata.org/entity/Q2352604,en,literal,TaleWorlds,http://www.w3.org/2001/XMLSchema#dateTime,literal,2005-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
13,uri,http://www.wikidata.org/entity/Q1278023,en,literal,Pamukkale University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,2438,,,,,,,wd:Q43
14,uri,http://www.wikidata.org/entity/Q28940707,en,literal,Cafe Kandilli,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
15,uri,http://www.wikidata.org/entity/Q28940580,en,literal,İşbir beds,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
16,uri,http://www.wikidata.org/entity/Q7671959,en,literal,TTNET,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-04-21T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,"http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q11371",literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
17,uri,http://www.wikidata.org/entity/Q3238417,en,literal,BeIN Sports (Türkiye),http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43,literal,,tr,literal,Lig TV,,,,,,,,,,wd:Q43
18,uri,http://www.wikidata.org/entity/Q17508051,en,literal,Aksigorta,http://www.w3.org/2001/XMLSchema#dateTime,literal,1960-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
19,uri,http://www.wikidata.org/entity/Q6089196,en,literal,Bartın University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q211805,literal,,,,,,,,,,,,,,wd:Q43
20,uri,http://www.wikidata.org/entity/Q6906414,en,literal,Dicle News Agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-04-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
21,uri,http://www.wikidata.org/entity/Q6528815,en,literal,NTV Spor,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q1050148,literal,,,,,,,,,,,,,,wd:Q43
22,uri,http://www.wikidata.org/entity/Q263700,en,literal,Türk Telekom,http://www.w3.org/2001/XMLSchema#dateTime,literal,1995-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q25245117,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
23,uri,http://www.wikidata.org/entity/Q29840121,en,literal,puhutv,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q220499,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
24,uri,http://www.wikidata.org/entity/Q110013577,en,literal,Stormling Studios,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
25,uri,http://www.wikidata.org/entity/Q6063939,en,literal,Showmax,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
26,uri,http://www.wikidata.org/entity/Q4765940,en,literal,Anka news agency,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
27,uri,http://www.wikidata.org/entity/Q11136363,en,literal,Karabük University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q483168,literal,,,,,,,,,,,,,,wd:Q43
28,uri,http://www.wikidata.org/entity/Q1306571,en,literal,Koç Holding,http://www.w3.org/2001/XMLSchema#dateTime,literal,1938-05-31T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q778575,literal,,literal,http://www.wikidata.org/entity/Q6045741,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
29,uri,http://www.wikidata.org/entity/Q98456772,en,literal,Tesco Express,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
30,uri,http://www.wikidata.org/entity/Q3400973,en,literal,Powertürk TV,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
31,uri,http://www.wikidata.org/entity/Q122834688,en,literal,BESAS,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
32,uri,http://www.wikidata.org/entity/Q6072196,en,literal,NTV Radyo,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
33,uri,http://www.wikidata.org/entity/Q28940632,en,literal,Bolulu Hasan Usta,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
34,uri,http://www.wikidata.org/entity/Q100250512,en,literal,Exxen,http://www.w3.org/2001/XMLSchema#dateTime,literal,2021-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
35,uri,http://www.wikidata.org/entity/Q192964,en,literal,Istanbul University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
36,uri,http://www.wikidata.org/entity/Q7236311,en,literal,Power FM,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
37,uri,http://www.wikidata.org/entity/Q6075654,en,literal,Rock FM,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
38,uri,http://www.wikidata.org/entity/Q6100422,en,literal,Ordu University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2006-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q483180,literal,,,,,,,,,,,,,,wd:Q43
39,uri,http://www.wikidata.org/entity/Q6095332,en,literal,Süper FM,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
40,uri,http://www.wikidata.org/entity/Q6043697,en,literal,Takasbank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1988-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
41,uri,http://www.wikidata.org/entity/Q12811293,en,literal,ING Türkiye,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q837171,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,tr,literal,Oyak Bank,http://www.w3.org/2001/XMLSchema#decimal,literal,3442,,,,,,,wd:Q43
42,uri,http://www.wikidata.org/entity/Q1734420,en,literal,Karsan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1966-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q40738,literal,,tr,literal,Karsan Otomotiv Sanayi ve Ticaret A.Ş.,,,,,,,,,,wd:Q43
43,uri,http://www.wikidata.org/entity/Q6098422,en,literal,Çankırı Karatekin University,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-05-28T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q209925,literal,,,,,,,,,,,,,,wd:Q43
44,uri,http://www.wikidata.org/entity/Q2212029,en,literal,Şahinler Holding,http://www.w3.org/2001/XMLSchema#dateTime,literal,1984-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,"http://www.wikidata.org/entity/Q13405640, http://www.wikidata.org/entity/Q11828862, http://www.wikidata.org/entity/Q1660132, http://www.wikidata.org/entity/Q49389",literal,,literal,http://www.wikidata.org/entity/Q99314,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
45,uri,http://www.wikidata.org/entity/Q272576,en,literal,Çanakkale Onsekiz Mart University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,960,,,,,,,wd:Q43
46,uri,http://www.wikidata.org/entity/Q119993669,en,literal,Kitapyurdu Dogrudan Yayincilik,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q29585658,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
47,uri,http://www.wikidata.org/entity/Q28940551,en,literal,Moda Nisa,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-07-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
48,uri,http://www.wikidata.org/entity/Q580829,en,literal,Central Bank of the Republic of Turkey,http://www.w3.org/2001/XMLSchema#dateTime,literal,1931-10-03T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,http://www.wikidata.org/entity/Q23817662,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
49,uri,http://www.wikidata.org/entity/Q6094691,en,literal,Aras Kargo,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
50,uri,http://www.wikidata.org/entity/Q113739147,en,literal,Southwind Airlines,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
51,uri,http://www.wikidata.org/entity/Q28940729,en,literal,Beyaz Fırın,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
52,uri,http://www.wikidata.org/entity/Q120081084,en,literal,Say Yayinlari,http://www.w3.org/2001/XMLSchema#dateTime,literal,1979-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
53,uri,http://www.wikidata.org/entity/Q119713660,en,literal,Kitapyurdu,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,70,,,,,,,wd:Q43
54,uri,http://www.wikidata.org/entity/Q106803706,en,literal,Bambi Yatak,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
55,uri,http://www.wikidata.org/entity/Q5194072,en,literal,Sivas Cumhuriyet University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1974-02-09T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
56,uri,http://www.wikidata.org/entity/Q118390872,en,literal,Bir Film,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
57,uri,http://www.wikidata.org/entity/Q6096587,en,literal,Meltem TV,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
58,uri,http://www.wikidata.org/entity/Q28098273,en,literal,Reina,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
59,uri,http://www.wikidata.org/entity/Q1790346,en,literal,Ford Otosan,http://www.w3.org/2001/XMLSchema#dateTime,literal,1959-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q190117,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,tr,literal,Ford Otomotiv Sanayi A.Ş.,,,,,,,,,,wd:Q43
60,uri,http://www.wikidata.org/entity/Q120483788,en,literal,Praktiker,,,,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
61,uri,http://www.wikidata.org/entity/Q6045586,en,literal,İzdeniz,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-11-18T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q344490,literal,,,,,,,,,,,,,,wd:Q43
62,uri,http://www.wikidata.org/entity/Q7537545,en,literal,360,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
63,uri,http://www.wikidata.org/entity/Q6101205,en,literal,Turkcell Superonline,http://www.w3.org/2001/XMLSchema#dateTime,literal,2004-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
64,uri,http://www.wikidata.org/entity/Q6944541,en,literal,Muğla University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q123934,literal,,,,,,,,,,,,,,wd:Q43
65,uri,http://www.wikidata.org/entity/Q6064549,en,literal,İSKİ,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
66,uri,http://www.wikidata.org/entity/Q19612892,en,literal,Ulusoy Holding,http://www.w3.org/2001/XMLSchema#dateTime,literal,1937-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
67,uri,http://www.wikidata.org/entity/Q5628993,en,literal,HAVELSAN,http://www.w3.org/2001/XMLSchema#dateTime,literal,1982-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q11650,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
68,uri,http://www.wikidata.org/entity/Q122751853,en,literal,Mugo,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q484847,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
69,uri,http://www.wikidata.org/entity/Q21468030,en,literal,TLC Türkiye,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
70,uri,http://www.wikidata.org/entity/Q3238417,en,literal,BeIN Sports (Türkiye),http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-09-04T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q43,literal,,tr,literal,Işık TV,,,,,,,,,,wd:Q43
71,uri,http://www.wikidata.org/entity/Q1565802,en,literal,TRT Kurdî,http://www.w3.org/2001/XMLSchema#dateTime,literal,2009-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
72,uri,http://www.wikidata.org/entity/Q112131968,en,literal,Dream Games,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
73,uri,http://www.wikidata.org/entity/Q122876098,,literal,Q122876098,http://www.w3.org/2001/XMLSchema#dateTime,literal,2017-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
74,uri,http://www.wikidata.org/entity/Q6034496,en,literal,A101,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q15825471,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
75,uri,http://www.wikidata.org/entity/Q114469584,en,literal,Mavi Klaket,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
76,uri,http://www.wikidata.org/entity/Q1093258,en,literal,Yıldız Technical University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1911-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
77,uri,http://www.wikidata.org/entity/Q12812126,en,literal,Türksat,http://www.w3.org/2001/XMLSchema#dateTime,literal,1990-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q1727518,literal,,literal,,literal,http://www.wikidata.org/entity/Q1020643,literal,,,,,,,,,,,,,,wd:Q43
78,uri,http://www.wikidata.org/entity/Q7862447,en,literal,Turkish Economy Bank,http://www.w3.org/2001/XMLSchema#dateTime,literal,1927-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,"http://www.wikidata.org/entity/Q1416657, http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,tr,literal,Türk Ekonomi Bankası,,,,,,,,,,wd:Q43
79,uri,http://www.wikidata.org/entity/Q17513880,en,literal,Desa,http://www.w3.org/2001/XMLSchema#dateTime,literal,1972-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q534799,literal,,,,,,,,,,,,,,wd:Q43
80,uri,http://www.wikidata.org/entity/Q6090589,en,literal,Eti Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q540912,literal,,literal,,literal,http://www.wikidata.org/entity/Q168866,literal,,,,,,,,,,,,,,wd:Q43
81,uri,http://www.wikidata.org/entity/Q5642504,en,literal,Halk Bankası,http://www.w3.org/2001/XMLSchema#dateTime,literal,1933-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
82,uri,http://www.wikidata.org/entity/Q1784943,en,literal,Vodafone Turkey,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-05-19T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117",literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,3300,,,,,,,wd:Q43
83,uri,http://www.wikidata.org/entity/Q1337011,en,literal,TRT Çocuk,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-11-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
84,uri,http://www.wikidata.org/entity/Q6824570,en,literal,Metro FM,http://www.w3.org/2001/XMLSchema#dateTime,literal,1992-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q43
85,uri,http://www.wikidata.org/entity/Q4902531,en,literal,Bianet,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
86,uri,http://www.wikidata.org/entity/Q2096577,en,literal,TÜBİTAK,http://www.w3.org/2001/XMLSchema#dateTime,literal,1963-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q3640,literal,,,,,,,,,,,,,,wd:Q43
87,uri,http://www.wikidata.org/entity/Q757295,en,literal,Atlasglobal,http://www.w3.org/2001/XMLSchema#dateTime,literal,2001-03-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q406,literal,,,,,,,,,,,,,,wd:Q43
88,uri,http://www.wikidata.org/entity/Q28823222,en,literal,Blu Tv,,,,uri,http://www.wikidata.org/entity/Q43,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q534799,literal,,,,,,,,,,,,,,wd:Q43
